year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	31	1652725	Harris, Garrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652725	Sr	P	26	1				0.00	1.3		7	0	0	5	2		25	19	1					1							5	5				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	29	1546815	Cooper, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546815	So	P	22	7				0.00	8.1		7	0	0	6	9		42	33	1				3	1	0						9	10				3
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	17	1438825	Holland, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1438825	Jr	P	21	0				0.00	4.8		12	0	0	2	1		31	29			1										12	3				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	17	1770940	Hernandez, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770940	Fr	P	20	5				0.00	5.8		7	0	0	9	8		38	28				1									8	6				1
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	16	1770939	Falwell, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770939	Jr	P	17	12				0.00	7.7		8	0	0	6	7		43	33	2		1		1	2	0						13	7				3
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	28	1770943	Worrell, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770943	Fr	P	16	9				0.00	4.6		8	0	0	5	5		31	25	1						0						9	3				1
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	20	1546833	Skapura, Devin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546833	Jr	P	14	12				0.00	10.4		13	0	0	4	7		58	51		1		2	1		1						17	16				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	45	1438823	D'Spain, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1438823	Sr	P	11	3				0.00	0.2		5	0	0	0	1		7	7	3				1									1				1
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	34	1770945	Hanks, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770945	Fr	P	10	2				0.00	0.2		2	0	0	1	0		5	4														2				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	42	1652739	Cornish, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652739	Fr	P	9	0				0.00	1.4		1	0	0	1	2		9	8					2								2	3				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	33	1770944	Blakeley, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770944	Fr	INF	7	1					0.0		0	0	0	1	0		1	0																		
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	1	1770932	Carroll, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770932	Jr	P	6	0				0.00	0.4		5	0	0	0	0		8	7		1	1				0						2	1				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	30	1652724	Lilly, Carter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652724	Fr	P	2	0				0.00	0.1		0	0	0	0	0		1	1														1				
2016	12360	1	vs_lhb	10552	26172	A&M-Corpus Chris	27	1652736	Allec, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652736	Jr	P	2	0				0.00	0.3		0	0	0	0	0		3	2													3					
2016	12360	1	vs_lhb	10552	2	Abilene Christian	20	1767883	Wilks, Braxton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767883	Jr	OF	42	36				0.00	0.1		2	0	0	0	0		3	3				1									1					
2016	12360	1	vs_lhb	10552	2	Abilene Christian	32	1767887	Ruot, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767887	Fr	INF	36	27				0.00	0.4		2	0	0	2	0		8	6													2	2				
2016	12360	1	vs_lhb	10552	2	Abilene Christian	5	1659959	Carroll, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1659959	Sr	SS	31	25				0.00	29.3		41	0	0	7	16		144	131	6	2	1	2		2	0						40	34				8
2016	12360	1	vs_lhb	10552	2	Abilene Christian	26	1420630	Palacios, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1420630	Sr	P	26	0				0.00	4.2		9	0	0	11	6		49	36	1				3		3						12	9				1
2016	12360	1	vs_lhb	10552	2	Abilene Christian	44	1767891	Kornely, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767891	Jr	P	20	0				0.00	1.8		10	0	0	2	5		32	27	2	2			1	2							4	8				2
2016	12360	1	vs_lhb	10552	2	Abilene Christian	25	1547054	Lambright, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547054	Jr	P	19	0				0.00	3.4		7	0	0	3	2		29	25	4	1	1		1		0						7	10				
2016	12360	1	vs_lhb	10552	2	Abilene Christian	34	1547060	Cole, Nate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547060	Sr	P	17	8				0.00	19.3		26	0	0	11	14		99	84				3	1	2	1						25	19				2
2016	12360	1	vs_lhb	10552	2	Abilene Christian	16	1659965	Hanson, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1659965	So	P	16	3				0.00	6.3		8	0	0	8	10		42	33	2			1	1								10	6				2
2016	12360	1	vs_lhb	10552	2	Abilene Christian	24	1659966	Mason, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1659966	Sr	P	15	14				0.00	17.3		19	0	0	3	9		87	78	4	1		2	1	3							34	18				6
2016	12360	1	vs_lhb	10552	2	Abilene Christian	33	1547059	Demeyere, Garrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547059	Sr	P	15	15				0.00	31.1		33	0	0	5	17		148	135	3	2	1	3	2	1							34	54				6
2016	12360	1	vs_lhb	10552	2	Abilene Christian	14	1767869	Goetze, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767869	Fr	P	13	0				0.00	2.7		6	0	0	3	5		29	24		1	1	1		2	0						8	5				1
2016	12360	1	vs_lhb	10552	2	Abilene Christian	17	1767870	Dudley, Collin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767870	So	P	10	0				0.00	0.9		1	0	0	2	1		13	11				1									4	4				
