year	year_id	stat_category	year_stat_category_id	option_name	option_id
2015	12080	hitting	10780	with 2 outs	10280
2015	12080	hitting	10780	vs RHP	10281
2015	12080	hitting	10780	leadoff pct	10282
2015	12080	hitting	10780	RBI3rd	10283
2015	12080	hitting	10780	H-Pinchit	10284
2015	12080	hitting	10780	Adv-Ops	10285
2015	12080	hitting	10780	with runrs	10286
2015	12080	hitting	10780	hits scorepos	10287
2015	12080	hitting	10780	vs LHP	10288
2015	12080	hitting	10780	with runrs2	10292
2015	12080	hitting	10780	with scorepos2	10293
2015	12080	hitting	10780	bases empty	10294
2015	12080	hitting	10780	bases loaded	10295
2015	12080	pitching	10781	leadoff pct	10296
2015	12080	pitching	10781	runners	10297
2015	12080	pitching	10781	vs LHB	10298
2015	12080	pitching	10781	with 2Outs	10299
2015	12080	pitching	10781	emtpy	10300
2015	12080	pitching	10781	with scorepos	10301
2015	12080	pitching	10781	with scorepos2	10302
2015	12080	pitching	10781	with runners2	10303
2015	12080	pitching	10781	bases loaded	10304
2015	12080	pitching	10781	vs RHB	10305
