year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	26172	A&M-Corpus Chris	32	1438825	Holland, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1438825	Sr	P	16	2	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	24	1884353	Brokop, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884353	Jr	INF	16	4	""	0.111	0.200	0.222	1	18	2	""	1	4	""	""	2	""	""	""	12	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	20	1546833	Skapura, Devin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546833	Sr	P	15	12	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	33	1884355	Glover, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884355	Jr	P	13	4	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	38	1884358	Osborn, Drake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884358	Fr	C	12	3	""	0.062	0.118	0.062	1	16	1	""	""	1	""	1	1	""	""	""	6	""	""	""	1	""
2017	12560	1	26172	A&M-Corpus Chris	4	1884315	Mahofski, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884315	Jr	INF	11	4	""	0.062	0.158	0.062	1	16	1	""	""	1	""	1	1	1	1	""	6	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	34	1770945	Hanks, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770945	So	P	10	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	22	1884321	Rhodes, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884321	Jr	P	6	2	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	27	1652736	Allec, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652736	Sr	P	5	2	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	30	1652724	Lilly, Carter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652724	So	P	2	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	31	1770937	Philp, Jesse	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770937	So	P	1	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547029	Sr	INF	56	56	""	0.346	0.414	0.585	45	217	75	22	""	127	10	42	19	10	5	""	43	9	2	""	6	""
2017	12560	1	2	Abilene Christian	12	1767867	Pearson, Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767867	So	SS	56	56	""	0.223	0.278	0.289	27	197	44	10	""	57	1	22	12	4	3	9	37	8	3	""	2	""
2017	12560	1	2	Abilene Christian	7	1767864	Scott, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767864	So	OF	55	55	""	0.297	0.350	0.423	40	222	66	11	1	94	5	25	15	4	2	7	36	1	5	""	18	""
2017	12560	1	2	Abilene Christian	24	1884443	Trevino, Luis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884443	Jr	C	55	55	""	0.366	0.418	0.509	31	224	82	18	1	114	4	43	18	4	3	""	26	8	2	""	1	""
2017	12560	1	2	Abilene Christian	6	1884436	Farkas, Dalon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884436	So	INF	54	51	""	0.248	0.274	0.363	29	226	56	18	1	82	2	22	8	""	""	1	43	5	""	""	4	""
