year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	7	1770934	Anderson, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770934	So	OF	54	53		0.269	0.358	0.428	25	145	39	8	3	62	3	30	19	4	5	2	36	1	2		6	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	11	1884317	Stark, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884317	Jr	OF	54	54		0.338	0.397	0.481	27	154	52	12	2	74	2	25	17		3		34	2	3		4	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	23	1546837	Yates, Dawson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546837	Sr	INF	51	49		0.299	0.393	0.403	39	144	43	4	1	58	3	21	22	1	1	1	27	5	4		7	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	16	1770936	Jozwiak, Cullen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770936	Sr	INF	51	51		0.298	0.380	0.351	24	151	45	6	1	53		24	16	4		4	31	2	5		6	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546814	Sr	SS	48	47		0.303	0.361	0.356	23	132	40	5	1	47		9	12			3	10	7	2		5	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546820	Sr	C	44	35		0.263	0.307	0.325	7	80	21	3	1	26		13	6		2	4	12	4	1			
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	35	1884356	Burts, Itchy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884356	Fr	INF	43	35		0.235	0.260	0.255	19	98	23	2		25		10	2	2	2	6	10	1	3		4	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	12	1884313	Owens, Jackson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884313	Jr	OF	41	35		0.295	0.367	0.523	15	88	26	7	2	46	3	16	5	5			14	6			5	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	8	1770935	Deaver, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770935	Sr	OF	38	26		0.264	0.354	0.292	12	72	19	2		21		10	10			1	7	3	3		3	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	5	1884316	Boudreaux, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884316	Jr	INF	34	19		0.291	0.409	0.382	12	55	16	3	1	21		5	9	2		1	7	2				
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	2	1884359	Marbach, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884359	Fr	INF	33	19		0.341	0.442	0.439	10	41	14	1		18	1	7	6	3	2		8		1		5	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	18	1652734	Balfantz, Scott	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652734	Jr	C	31	17		0.256	0.268	0.359	5	39	10	4		14		9		1	1	3	8	1				
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	15	1770948	DiNicola, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770948	So	P	27	14		0.245	0.293	0.377	8	53	13	3	2	20		7	4		1		14					
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	36	1884354	Djehuti-Mes, Nkosi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884354	So	OF	23	17		0.268	0.333	0.561	3	41	11	4	1	23	2	10	1	3			16	1				
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	42	1884361	Lacaze, Dustin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884361	Fr	P	19	8					1	0	0			0		0										
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	13	1884319	Ruiz, RJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884319	Jr	INF	18	4		0.500	0.600	0.500	0	4	2			2		0	1						1			
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	24	1884353	Brokop, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884353	Jr	INF	16	4		0.000	0.000	0.000	0	4	0			0		0					4					
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	38	1884358	Osborn, Drake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884358	Fr	C	12	3		0.091	0.167	0.091	1	11	1			1		1	1				2				1	
2017	12560	1	vs_rhp	10581	26172	A&M-Corpus Chris	4	1884315	Mahofski, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884315	Jr	INF	11	4		0.000	0.222	0.000	1	6	0			0		1	1	1	1		3					
2017	12560	1	vs_rhp	10581	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547029	Sr	INF	56	56		0.343	0.402	0.550	32	169	58	14		93	7	36	13	7	5		38	9	2		5	
2017	12560	1	vs_rhp	10581	2	Abilene Christian	12	1767867	Pearson, Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767867	So	SS	56	56		0.250	0.306	0.312	24	144	36	6		45	1	20	10	3	3	7	22	6	3		2	
