year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12360	2	30123	Academy of Art	8	1765249	Milone, Payton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765249	Jr	SS	49	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	21	1652673	Strawn, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652673	Sr	SS	49	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	4	1765248	Luna, Erick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765248	Jr	INF	47	44	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	9	1425748	Edmunds, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425748	Sr	INF	47	47	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	24	1765250	Trueblood, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765250	Jr	C	47	47	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	12	1539894	Ivory, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539894	Sr	OF	43	40	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	5	1652668	Adami, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652668	Sr	3B	43	38	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	18	1425753	Marchini, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425753	Sr	OF	40	39	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	2	1765246	Jones, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765246	Jr	OF	37	29	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	27	1765256	Maleski, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765256	N/A	C	35	22	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	3	1765247	Farfan, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765247	Fr	INF	29	23	""	13	9	5.93	57.2	61	45	38	26	33	1	265	224	11	1	""	7	4	9	""	5	""	4	2	891	63	66	2	4	""	9
2016	12360	2	30123	Academy of Art	13	1765252	Thayer, Takis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765252	Fr	C	21	5	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	6	1652666	Barragan, Jacoby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652666	So	OF	21	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	16	1765253	Ball, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765253	Jr	P	20	3	""	20	3	5.84	44.2	52	36	29	32	14	""	217	175	9	3	""	8	4	6	""	25	7	3	1	714	63	45	3	4	2	3
2016	12360	2	30123	Academy of Art	20	1539899	Lopez, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539899	Jr	P	18	4	""	18	4	5.40	50.0	69	35	30	21	17	""	244	205	15	2	""	3	2	8	""	14	6	5	5	611	57	66	3	3	1	3
2016	12360	2	30123	Academy of Art	30	1765258	Martinez, Roman	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765258	Fr	P	17	0	""	17	""	5.84	24.2	25	20	16	11	14	""	115	91	10	""	1	1	3	8	""	21	7	2	3	354	27	29	""	3	1	7
2016	12360	2	30123	Academy of Art	19	1652672	Greenough, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652672	Sr	C	17	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	23	1765254	Villanueva, Robert	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765254	Fr	3B	16	1	""	8	""	8.10	13.1	19	12	12	15	9	""	74	55	4	""	""	""	4	3	""	6	5	1	""	307	15	11	""	""	""	4
2016	12360	2	30123	Academy of Art	14	1539897	Kuisel, Alexander	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539897	Jr	P	16	14	""	15	14	4.78	86.2	99	51	46	29	34	1	381	339	10	4	1	9	9	""	""	""	""	11	2	1176	108	104	3	8	""	11
2016	12360	2	30123	Academy of Art	26	1765255	Bovee, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765255	Jr	P	14	13	""	14	13	4.83	87.2	92	54	47	26	48	2	386	342	16	1	1	9	6	4	""	""	""	6	8	1251	95	105	4	6	1	11
2016	12360	2	30123	Academy of Art	1	1765245	Dawson, Taj	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765245	Fr	OF	14	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	30123	Academy of Art	51	1765259	Verhees, Mason	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765259	Fr	P	12	1	""	12	1	14.54	17.1	28	31	28	26	9	""	114	74	6	1	1	1	6	9	""	5	5	1	4	411	13	26	""	2	""	5
2016	12360	2	30123	Academy of Art	7	1652669	Del Rosario, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652669	So	INF	8	0	""	8	""	10.00	9.0	7	10	10	8	3	""	44	32	1	""	""	3	1	4	""	8	""	""	""	141	10	10	""	""	""	1
2016	12360	2	30123	Academy of Art	11	1765251	Rost, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765251	Jr	P	7	5	""	7	5	7.71	21.0	38	25	18	8	10	""	106	92	8	1	3	2	7	3	""	""	""	2	1	384	29	15	""	4	""	8
2016	12360	2	929	Adams St.	9	1435562	Bollig, Dillion	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435562	Sr	OF	48	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	10	1435576	Moldenhauer, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435576	Sr	INF	48	42	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	18	1762426	Nelson, Deven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1762426	Sr	OF	47	43	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	2	1435587	Thurston, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435587	Sr	2B	47	46	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	21	1762427	Weidner, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1762427	Jr	SS	46	44	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	27	1435568	Granzella, Dillon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435568	Sr	OF	45	36	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	32	1435577	Morley, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435577	Sr	OF	45	44	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	5	1762422	Mares, Thomaslee	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1762422	Jr	SS	43	31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	8	1762423	Downs, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1762423	Jr	C	39	34	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12360	2	929	Adams St.	29	1435589	Wells, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1435589	Sr	1B	28	16	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
