year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	30093	AUM	-	Totals	-	-	-	-	""	""	""	5.11	397.2	""	487	272	226	140	272	2	1831	1607	87	8	6	37	44	48	""	""	""	19	17	""	413	431	""	""	""	80
2017	12560	30093	AUM	-	Opponent Totals	-	-	-	-	""	""	""	4.76	393.1	""	418	273	208	225	249	3	1880	1518	50	5	8	10	36	68	""	""	""	48	18	""	463	390	""	""	""	74
2017	12560	30123	Academy of Art	-	Totals	-	-	-	-	""	""	""	5.07	435.0	""	495	297	245	203	229	1	2001	1675	123	9	6	25	48	49	2	""	""	41	32	""	431	549	""	""	""	63
2017	12560	30123	Academy of Art	-	Opponent Totals	-	-	-	-	""	""	""	2.76	436.1	""	421	182	134	137	331	7	1898	1650	77	7	6	11	42	50	3	""	""	43	17	""	464	440	""	""	""	102
2017	12560	929	Adams St.	-	Totals	-	-	-	-	""	""	""	8.55	363.0	""	541	394	345	217	305	2	1853	1547	93	25	12	39	59	35	10	""	""	34	19	""	417	302	""	""	""	89
2017	12560	929	Adams St.	-	Opponent Totals	-	-	-	-	""	""	""	4.97	376.2	""	434	252	208	147	263	4	1710	1472	79	18	12	20	47	36	4	""	""	41	14	""	438	353	""	""	""	98
2017	12560	3	Adelphi	-	Totals	-	-	-	-	""	""	""	3.79	408.1	""	433	219	172	146	349	4	1811	1591	57	7	7	18	44	45	3	""	""	11	17	""	433	364	""	""	""	104
2017	12560	3	Adelphi	-	Opponent Totals	-	-	-	-	""	""	""	4.75	407.2	""	456	282	215	167	264	5	1873	1607	76	11	3	18	42	50	1	""	""	21	28	""	455	424	""	""	""	75
2017	12560	10	Ala.-Huntsville	-	Totals	-	-	-	-	""	""	""	6.21	391.1	""	459	337	270	196	324	2	1897	1564	83	10	8	42	54	80	""	""	""	27	27	""	348	438	""	""	""	90
2017	12560	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	""	""	""	5.57	397.1	""	469	298	246	148	280	2	1880	1590	67	11	2	32	64	87	5	""	""	34	21	""	448	398	""	""	""	81
2017	12560	13	Albany St. (GA)	-	Totals	-	-	-	-	""	""	""	6.43	398.2	""	519	392	285	258	248	2	1992	1639	90	17	10	46	44	47	1	""	""	22	26	""	424	429	""	""	""	76
2017	12560	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	""	""	""	3.79	398.2	""	433	311	168	200	306	4	1880	1584	91	8	9	21	62	37	1	""	""	42	17	""	470	355	""	""	""	87
