year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	class_year	games_played	games_started
2017	12560	1	26172	A&M-Corpus Chris	27	1652736.0	Allec, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652736.0	P	Sr	5	2
2017	12560	1	26172	A&M-Corpus Chris	7	1770934.0	Anderson, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770934.0	OF	So	54	53
2017	12560	1	26172	A&M-Corpus Chris	18	1652734.0	Balfantz, Scott	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652734.0	C	Jr	31	17
2017	12560	1	26172	A&M-Corpus Chris	5	1884316.0	Boudreaux, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884316.0	INF	Jr	34	19
2017	12560	1	26172	A&M-Corpus Chris	24	1884353.0	Brokop, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884353.0	INF	Jr	16	4
2017	12560	1	26172	A&M-Corpus Chris	10	1546814.0	Burner, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546814.0	SS	Sr	48	47
2017	12560	1	26172	A&M-Corpus Chris	35	1884356.0	Burts, Itchy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884356.0	INF	Fr	43	35
2017	12560	1	26172	A&M-Corpus Chris	1	1884312.0	Carter, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884312.0	P	Jr	17	10
2017	12560	1	26172	A&M-Corpus Chris	29	1546815.0	Cooper, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546815.0	P	Jr	25	6
2017	12560	1	26172	A&M-Corpus Chris	8	1770935.0	Deaver, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770935.0	OF	Sr	38	26
2017	12560	1	26172	A&M-Corpus Chris	15	1770948.0	DiNicola, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770948.0	P	So	27	14
2017	12560	1	26172	A&M-Corpus Chris	36	1884354.0	Djehuti-Mes, Nkosi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884354.0	OF	So	23	17
