year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	1	721	Air Force	37	1653242	Graham, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653242	Fr	OF	1	0	1	0.000	0.000	0.000	1	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2015	12080	1	721	Air Force	29	1653236	Holloway, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653236	Fr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	20	1653235	Wilkie, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653235	Fr	C	1	1	1	0.000	0.000	0.000	2	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	1	721	Air Force	12	1653232	Mize, Shaun	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653232	Fr	INF	1	1	1	0.000	0.000	0.000	4	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	1	721	Air Force	9	1653231	Zabojnik, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653231	Fr	INF	1	1	1	0.500	0.500	1.000	4	 	2	2	 	""	 	2	 	 	 	 	1	 	 	 	 
2015	12080	1	721	Air Force	3	1653228	Hawkins, Benn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653228	Fr	C	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	33	1527639	Haslam, Bradley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527639	So	INF	1	0	1	0.000	0.000	0.000	2	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2015	12080	1	721	Air Force	26	1527637	Hanlin, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527637	So	C	1	0	1	1.000	1.000	2.000	1	 	1	1	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	22	1527636	Jax, Griffin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527636	So	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527634	So	OF	1	1	1	0.000	0.000	0.000	2	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	1	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527628	So	OF	1	1	1	0.333	0.500	0.333	3	 	1	 	 	""	 	1	 	1	 	 	2	 	 	 	 
2015	12080	1	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527627	So	OF	1	1	1	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	3	 	 	 	 
2015	12080	1	721	Air Force	18	1436376	Saleck, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436376	Sr	INF	1	1	1	0.000	0.000	0.000	4	 	 	 	 	""	 	 	 	 	 	 	3	 	 	 	 
2015	12080	1	721	Air Force	25	1422367	Draws, Spencer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1422367	Jr	OF	1	1	1	0.000	0.250	0.000	3	 	 	 	 	""	 	 	1	 	 	 	2	 	 	 	 
2015	12080	1	721	Air Force	24	1308140	Thomas, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308140	Sr	OF	1	0	1	""	""	""	 	1	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	21	1308137	Yokley, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308137	Sr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	721	Air Force	11	1308135	Pierce, Noah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308135	Sr	INF	1	1	1	0.500	0.500	1.000	4	2	2	2	 	""	 	 	 	 	 	 	 	 	1	 	 
2015	12080	1	61	Bethune-Cookman	37	1649149	Wilkes, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1649149	Fr	INF	1	1	1	0.333	0.333	0.333	3	 	1	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2015	12080	1	61	Bethune-Cookman	21	1649130	Bond, Nathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1649130	Jr	OF	1	1	1	0.000	0.333	0.000	2	 	 	 	 	""	 	 	1	 	 	 	 	 	 	 	 
2015	12080	1	61	Bethune-Cookman	8	1649126	Edney, Jameel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1649126	Fr	INF	1	1	1	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	1	61	Bethune-Cookman	7	1649125	Sims, Demetrius	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1649125	Fr	INF	1	1	1	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2015	12080	1	61	Bethune-Cookman	2	1537977	Robinson, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537977	Sr	INF	1	1	1	0.000	0.000	0.000	4	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2015	12080	1	61	Bethune-Cookman	32	1537973	Lindsay, Donte	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537973	So	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	61	Bethune-Cookman	13	1537962	Garcia, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537962	So	INF	1	1	1	0.000	0.000	0.000	4	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
