year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	30093	AUM	-	Totals	-	-	-	-	""	0.275	0.389	0.335	273	1518	418	50	5	508	10	217	225	68	18	48	249	29	23	""	66	""
2017	12560	30093	AUM	-	Opponent Totals	-	-	-	-	""	0.303	0.373	0.436	272	1607	487	87	8	701	37	247	140	48	17	19	272	32	18	""	40	""
2017	12560	30123	Academy of Art	-	Totals	-	-	-	-	""	0.255	0.328	0.330	182	1650	421	77	7	545	11	157	137	50	17	43	331	38	14	""	34	""
2017	12560	30123	Academy of Art	-	Opponent Totals	-	-	-	-	""	0.296	0.381	0.424	297	1675	495	123	9	711	25	272	203	49	32	41	229	43	29	""	60	""
2017	12560	929	Adams St.	-	Totals	-	-	-	-	""	0.295	0.370	0.414	252	1472	434	79	18	609	20	218	147	36	14	41	263	40	12	""	40	""
2017	12560	929	Adams St.	-	Opponent Totals	-	-	-	-	""	0.350	0.436	0.518	394	1547	541	93	25	801	39	355	217	35	19	34	305	24	17	""	51	""
2017	12560	3	Adelphi	-	Totals	-	-	-	-	""	0.284	0.363	0.378	282	1607	456	76	11	608	18	230	167	50	28	21	264	33	25	""	66	""
2017	12560	3	Adelphi	-	Opponent Totals	-	-	-	-	""	0.272	0.347	0.351	219	1591	433	57	7	558	18	189	146	45	17	11	349	42	19	""	36	""
2017	12560	10	Ala.-Huntsville	-	Totals	-	-	-	-	""	0.295	0.381	0.411	298	1590	469	67	11	654	32	269	148	87	21	34	280	37	12	""	54	""
2017	12560	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	""	0.293	0.394	0.440	337	1564	459	83	10	688	42	287	196	80	27	27	324	35	16	""	57	""
2017	12560	13	Albany St. (GA)	-	Totals	-	-	-	-	""	0.273	0.365	0.381	311	1584	433	91	8	603	21	248	200	37	17	42	306	35	16	""	41	""
2017	12560	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	""	0.317	0.418	0.477	392	1639	519	90	17	781	46	341	258	47	26	22	248	32	28	""	94	""
2017	12560	934	Alderson Broaddus	-	Totals	-	-	-	-	""	0.300	0.374	0.408	257	1388	417	83	12	566	14	229	129	45	17	10	233	29	11	""	25	""
