year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	3	vs_lhp	10288	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556318	So	SS	45	45	 	0.393	0.419	0.750	7	28	11	4	 		2	7	2	 	1	 	4	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	14	1556197	Shutes, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556197	Sr	OF	45	45	 	0.379	0.438	0.655	7	29	11	5	 		1	3	3	 	 	 	4	 	2	1	 
2015	12080	3	vs_lhp	10288	4	Adrian	16	1663959	Knorr, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663959	Jr	OF	44	38	 	0.261	0.292	0.348	2	23	6	2	 		 	1	1	 	 	3	1	1	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	29	1663960	Parcher, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663960	Jr	1B	44	40	 	0.292	0.346	0.500	3	24	7	2	 		1	2	2	 	 	 	4	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	10	1448955	Gertley, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1448955	Jr	OF	43	43	 	0.233	0.250	0.433	4	30	7	3	 		1	7	1	 	1	 	4	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	31	1557012	Drzewiecki, Miccoy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557012	So	1B	40	33	 	0.320	0.370	0.480	1	25	8	2	1		 	4	1	1	 	 	4	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	23	1321504	Joseph, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321504	Sr	INF	39	35	 	0.250	0.280	0.250	3	24	6	 	 		 	1	1	 	 	 	2	 	1	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	5	1449370	Andrus, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1449370	Jr	INF	32	25	 	0.182	0.250	0.182	0	11	2	 	 		 	2	1	 	 	1	3	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	11	1434144	Eng, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1434144	Jr	P	30	24	 	0.000	0.111	0.000	0	8	0	 	 		 	0	1	 	 	1	3	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	39	1559643	Cararo, Dakota	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1559643	So	C	30	19	 	0.143	0.333	0.286	0	7	1	1	 		 	0	1	1	 	 	3	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	32	1549581	Glodich, Gunnar	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1549581	Jr	P	26	1	 				2	0	0	 	 		 	0	 	 	 	 	 	 	 	 	 
2015	12080	3	vs_lhp	10288	4	Adrian	20	1663963	Resto, Frank	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663963	Fr	C	25	20	 	0.182	0.308	0.182	1	11	2	 	 		 	1	1	1	 	 	 	 	 	 	 
