year	year_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	30123	Academy of Art	-	Totals	-	-	-	-	48	0.242	0.309	0.302	1,468	146	355	59	6	444	6	128	128	23	16	23	285	39	68	23	 
2014	11620	30123	Academy of Art	-	Opponent Totals	-	-	-	-	48	0.279	0.378	0.370	1,529	299	426	80	9	566	14	255	211	53	30	42	176	32	87	22	 
2014	11620	929	Adams St.	-	Totals	-	-	-	-	50	0.303	0.371	0.437	1,598	285	484	93	16	699	30	267	151	36	23	35	272	47	15	16	 
2014	11620	929	Adams St.	-	Opponent Totals	-	-	-	-	50	0.353	0.421	0.514	1,656	414	585	99	16	851	45	363	186	39	43	31	232	37	128	24	 
2014	11620	3	Adelphi	-	Totals	-	-	-	-	47	0.281	0.336	0.351	1,662	214	467	81	9	584	6	190	119	25	12	24	255	41	60	26	 
2014	11620	3	Adelphi	-	Opponent Totals	-	-	-	-	47	0.275	0.350	0.370	1,637	244	450	83	17	606	13	218	156	43	20	27	344	37	62	20	 
2014	11620	10	Ala.-Huntsville	-	Totals	-	-	-	-	57	0.306	0.398	0.421	1,841	387	564	90	17	775	29	341	210	89	27	53	246	36	50	17	 
2014	11620	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	57	0.277	0.325	0.347	1,831	208	508	79	3	635	14	185	106	34	24	41	303	40	44	15	 
2014	11620	13	Albany St. (GA)	-	Totals	-	-	-	-	49	0.307	0.404	0.401	1,523	376	468	74	13	610	14	343	202	60	23	41	270	25	72	18	 
2014	11620	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	49	0.293	0.383	0.383	1,544	302	453	70	9	592	17	275	188	50	23	16	225	18	74	19	 
2014	11620	934	Alderson Broaddus	-	Totals	-	-	-	-	48	0.289	0.379	0.366	1,463	301	423	65	9	536	10	262	163	65	28	40	237	37	48	10	 
2014	11620	934	Alderson Broaddus	-	Opponent Totals	-	-	-	-	48	0.274	0.375	0.360	1,430	248	392	61	7	515	16	216	172	65	10	27	326	34	55	22	 
