year	year_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	62	Binghamton	-	Totals	-	-	-	-	52	0.276	0.363	0.372	1,744	263	481	85	14	648	18	242	203	48	20	35	309	46	75	13	 
2014	11620	62	Binghamton	-	Opponent Totals	-	-	-	-	52	0.266	0.355	0.355	1,669	236	444	82	11	593	15	213	186	56	19	35	264	41	63	14	 
2014	11620	67	Boston College	-	Totals	-	-	-	-	55	0.244	0.328	0.317	1,866	209	455	90	5	591	12	192	203	40	17	34	351	48	37	23	 
2014	11620	67	Boston College	-	Opponent Totals	-	-	-	-	55	0.261	0.359	0.370	1,818	287	474	108	20	673	17	253	235	59	29	45	352	50	54	27	 
2014	11620	71	Bowling Green	-	Totals	-	-	-	-	52	0.276	0.360	0.344	1,753	273	483	66	15	603	8	231	189	56	25	46	285	46	76	21	 
2014	11620	71	Bowling Green	-	Opponent Totals	-	-	-	-	52	0.267	0.364	0.363	1,701	283	455	77	13	618	20	259	201	70	23	42	259	41	34	26	 
2014	11620	72	Bradley	-	Totals	-	-	-	-	51	0.276	0.367	0.389	1,700	268	469	94	12	662	25	247	182	77	25	40	324	31	75	27	 
2014	11620	72	Bradley	-	Opponent Totals	-	-	-	-	51	0.259	0.353	0.356	1,675	268	434	80	10	597	21	237	185	69	22	34	345	32	58	22	 
2014	11620	80	Brown	-	Totals	-	-	-	-	37	0.254	0.327	0.354	1,159	166	294	55	5	410	17	145	102	30	10	22	256	24	16	11	 
2014	11620	80	Brown	-	Opponent Totals	-	-	-	-	37	0.310	0.377	0.427	1,193	215	370	67	8	510	19	198	97	42	17	19	208	19	33	13	 
2014	11620	81	Bryant	-	Totals	-	-	-	-	58	0.302	0.391	0.436	1,927	386	582	115	13	840	39	338	211	93	35	34	279	47	99	21	 
2014	11620	81	Bryant	-	Opponent Totals	-	-	-	-	58	0.226	0.308	0.284	1,795	199	405	53	8	510	12	165	170	51	19	35	401	56	38	24	 
2014	11620	83	Bucknell	-	Totals	-	-	-	-	53	0.242	0.328	0.319	1,602	222	388	55	19	511	10	195	147	65	16	27	364	26	24	12	 
2014	11620	83	Bucknell	-	Opponent Totals	-	-	-	-	53	0.256	0.326	0.336	1,627	219	417	75	14	547	9	190	125	56	24	42	267	37	54	22	 
2014	11620	86	Buffalo	-	Totals	-	-	-	-	52	0.271	0.374	0.379	1,748	297	473	93	15	662	22	265	242	66	30	53	402	32	72	19	 
2014	11620	86	Buffalo	-	Opponent Totals	-	-	-	-	52	0.262	0.358	0.343	1,727	284	452	64	13	593	17	246	197	76	27	61	330	24	47	22	 
2014	11620	87	Butler	-	Totals	-	-	-	-	50	0.253	0.347	0.336	1,600	215	405	71	11	537	13	189	175	66	19	37	340	43	34	15	 
2014	11620	87	Butler	-	Opponent Totals	-	-	-	-	50	0.296	0.383	0.405	1,677	296	496	89	11	679	24	262	186	69	27	37	323	32	72	18	 
2014	11620	101	CSUN	-	Totals	-	-	-	-	56	0.250	0.319	0.297	1,866	189	467	60	8	555	4	170	144	51	16	49	288	49	44	28	 
2014	11620	101	CSUN	-	Opponent Totals	-	-	-	-	56	0.270	0.353	0.375	1,869	269	504	81	26	700	21	242	181	71	19	43	358	42	52	30	 
2014	11620	90	Cal Poly	-	Totals	-	-	-	-	59	0.296	0.378	0.402	2,027	350	601	103	21	815	23	318	223	60	31	54	345	39	46	21	 
2014	11620	90	Cal Poly	-	Opponent Totals	-	-	-	-	59	13.693	18.054	17.686	1,903	203	454	75	12	589	12	187	193	35	22	50	488	42	30	28	 
2014	11620	97	Cal St. Fullerton	-	Totals	-	-	-	-	58	0.260	0.354	0.336	1,989	274	518	77	13	669	16	248	225	71	14	76	420	44	56	21	 
2014	11620	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	-	58	0.234	0.280	0.300	2,015	177	471	76	11	605	12	160	92	41	13	68	464	21	23	19	 
2014	11620	107	California	-	Totals	-	-	-	-	53	0.241	0.316	0.330	1,713	207	412	74	7	566	22	183	137	56	10	65	290	37	41	25	 
2014	11620	107	California	-	Opponent Totals	-	-	-	-	53	0.247	0.338	0.323	1,760	225	434	65	11	569	16	197	180	73	19	48	332	42	52	17	 
2014	11620	115	Campbell	-	Totals	-	-	-	-	62	0.267	0.353	0.336	2,033	325	543	73	13	684	14	269	162	122	24	66	321	63	80	30	 
2014	11620	115	Campbell	-	Opponent Totals	-	-	-	-	62	0.270	0.346	0.333	2,166	271	585	70	14	722	13	244	206	60	27	42	420	51	36	29	 
2014	11620	116	Canisius	-	Totals	-	-	-	-	56	0.314	0.426	0.432	1,887	410	592	102	25	816	24	360	278	110	26	41	318	40	84	25	 
2014	11620	116	Canisius	-	Opponent Totals	-	-	-	-	56	0.250	0.332	0.332	1,794	241	449	89	12	595	11	202	163	65	16	35	278	37	49	15	 
2014	11620	1004	Central Ark.	-	Totals	-	-	-	-	54	0.270	0.376	0.348	1,841	301	497	74	18	640	11	266	243	82	23	67	406	33	58	18	 
2014	11620	1004	Central Ark.	-	Opponent Totals	-	-	-	-	54	0.256	0.329	0.332	1,877	249	480	79	5	623	18	217	171	41	12	49	291	46	47	18	 
2014	11620	127	Central Conn. St.	-	Totals	-	-	-	-	49	0.257	0.324	0.315	1,532	176	394	44	12	483	7	149	128	31	17	49	253	33	41	14	 
2014	11620	127	Central Conn. St.	-	Opponent Totals	-	-	-	-	49	0.253	0.317	0.334	1,551	179	392	61	13	518	13	159	104	47	12	28	260	41	36	14	 
2014	11620	129	Central Mich.	-	Totals	-	-	-	-	58	0.269	0.368	0.352	1,961	342	527	72	17	690	19	290	240	81	22	58	366	46	93	18	 
2014	11620	129	Central Mich.	-	Opponent Totals	-	-	-	-	58	0.262	0.339	0.334	1,981	276	519	71	12	662	16	240	201	39	18	58	396	27	69	24	 
2014	11620	48	Charleston So.	-	Totals	-	-	-	-	56	0.298	0.365	0.386	1,960	299	584	101	6	757	20	273	179	40	21	54	275	43	45	24	 
2014	11620	48	Charleston So.	-	Opponent Totals	-	-	-	-	56	0.286	0.360	0.372	2,001	304	572	79	12	744	23	283	170	72	21	25	372	40	78	22	 
2014	11620	458	Charlotte	-	Totals	-	-	-	-	51	0.252	0.317	0.330	1,706	198	430	70	9	563	15	183	132	38	14	34	298	53	23	10	 
2014	11620	458	Charlotte	-	Opponent Totals	-	-	-	-	51	0.260	0.342	0.343	1,737	241	451	83	5	595	17	217	157	68	17	40	323	43	31	14	 
2014	11620	136	Chicago St.	-	Totals	-	-	-	-	54	0.275	0.361	0.349	1,836	282	505	82	16	640	7	249	211	49	24	28	319	37	77	33	 
2014	11620	136	Chicago St.	-	Opponent Totals	-	-	-	-	54	0.307	0.399	0.415	1,848	371	568	101	19	767	20	328	232	69	27	38	247	41	57	41	 
2014	11620	140	Cincinnati	-	Totals	-	-	-	-	53	0.257	0.351	0.342	1,712	237	440	80	10	585	15	207	181	78	19	31	339	42	88	36	 
2014	11620	140	Cincinnati	-	Opponent Totals	-	-	-	-	53	0.273	0.357	0.386	1,743	291	476	119	10	672	19	260	191	52	26	41	251	36	52	20	 
2014	11620	141	Citadel	-	Totals	-	-	-	-	58	0.278	0.366	0.361	1,941	294	539	78	3	701	26	268	221	68	34	46	372	57	54	23	 
2014	11620	141	Citadel	-	Opponent Totals	-	-	-	-	58	0.287	0.373	0.404	2,017	372	579	89	15	815	39	337	248	47	31	33	364	41	71	19	 
2014	11620	147	Clemson	-	Totals	-	-	-	-	61	0.274	0.353	0.382	2,086	337	572	116	12	796	28	303	241	30	32	27	336	42	89	29	 
2014	11620	147	Clemson	-	Opponent Totals	-	-	-	-	61	0.243	0.335	0.332	2,070	285	502	87	10	687	26	260	237	60	18	44	496	39	50	20	 
2014	11620	149	Coastal Caro.	-	Totals	-	-	-	-	57	0.252	0.342	0.330	1,898	264	478	79	9	626	17	234	211	60	18	54	354	34	63	20	 
2014	11620	149	Coastal Caro.	-	Opponent Totals	-	-	-	-	57	0.266	0.353	0.335	1,931	290	514	71	7	647	16	243	214	56	18	45	376	46	77	19	 
2014	11620	1014	Col. of Charleston	-	Totals	-	-	-	-	63	0.255	0.340	0.366	2,099	303	535	96	15	769	36	279	228	55	27	38	465	39	52	25	 
2014	11620	1014	Col. of Charleston	-	Opponent Totals	-	-	-	-	63	0.224	0.299	0.307	2,107	207	471	94	9	646	21	189	163	69	10	39	471	41	53	12	 
2014	11620	158	Columbia	-	Totals	-	-	-	-	49	0.264	0.346	0.367	1,604	233	424	79	13	589	20	210	144	68	22	40	295	27	64	19	 
2014	11620	158	Columbia	-	Opponent Totals	-	-	-	-	49	0.234	0.329	0.328	1,514	196	355	72	8	497	18	178	159	60	13	33	343	35	25	21	 
2014	11620	165	Coppin St.	-	Totals	-	-	-	-	46	0.230	0.319	0.286	1,433	173	330	46	8	410	6	155	138	53	10	29	336	40	25	22	 
2014	11620	165	Coppin St.	-	Opponent Totals	-	-	-	-	46	0.320	0.421	0.417	1,529	345	490	97	10	637	10	298	219	71	32	39	263	37	108	23	 
2014	11620	167	Cornell	-	Totals	-	-	-	-	39	0.250	0.337	0.363	1,252	169	313	69	6	454	20	156	128	39	7	17	253	21	48	17	 
2014	11620	167	Cornell	-	Opponent Totals	-	-	-	-	39	0.257	0.342	0.328	1,233	169	317	48	12	404	5	145	117	48	13	30	256	22	44	7	 
2014	11620	169	Creighton	-	Totals	-	-	-	-	50	0.264	0.359	0.370	1,677	272	443	75	18	620	22	250	201	56	18	59	303	18	41	24	 
2014	11620	169	Creighton	-	Opponent Totals	-	-	-	-	50	0.262	0.346	0.343	1,677	223	440	74	11	575	13	210	179	43	16	50	264	43	57	18	 
2014	11620	1045	Dallas Baptist	-	Totals	-	-	-	-	61	0.262	0.371	0.395	2,086	387	546	109	20	824	43	352	291	82	18	32	425	50	45	16	 
2014	11620	1045	Dallas Baptist	-	Opponent Totals	-	-	-	-	61	0.248	0.349	0.337	2,031	283	503	85	9	684	26	253	271	59	26	54	506	41	47	26	 
2014	11620	172	Dartmouth	-	Totals	-	-	-	-	39	0.273	0.340	0.388	1,280	176	350	57	15	497	20	160	107	30	16	17	219	22	26	17	 
2014	11620	172	Dartmouth	-	Opponent Totals	-	-	-	-	39	0.286	0.355	0.421	1,288	203	369	77	9	542	26	191	106	39	15	21	180	28	41	13	 
2014	11620	173	Davidson	-	Totals	-	-	-	-	48	0.303	0.379	0.459	1,699	322	515	100	7	779	50	293	178	46	25	15	410	31	48	15	 
2014	11620	173	Davidson	-	Opponent Totals	-	-	-	-	48	0.264	0.343	0.395	1,670	283	441	96	9	660	35	247	188	30	33	20	336	29	60	20	 
2014	11620	175	Dayton	-	Totals	-	-	-	-	54	0.266	0.351	0.375	1,801	290	479	109	5	676	26	256	157	95	28	41	374	35	92	27	 
2014	11620	175	Dayton	-	Opponent Totals	-	-	-	-	54	0.289	0.376	0.431	1,854	344	535	120	21	799	34	310	217	58	27	29	285	47	68	30	 
2014	11620	180	Delaware	-	Totals	-	-	-	-	53	0.282	0.349	0.395	1,810	290	510	101	10	715	28	269	157	42	24	42	313	40	36	15	 
2014	11620	180	Delaware	-	Opponent Totals	-	-	-	-	53	0.285	0.387	0.441	1,794	322	512	99	18	791	48	282	231	74	14	23	347	58	51	24	 
2014	11620	178	Delaware St.	-	Totals	-	-	-	-	47	0.331	0.431	0.469	1,603	386	531	101	15	752	30	332	213	84	23	36	247	27	89	19	 
2014	11620	178	Delaware St.	-	Opponent Totals	-	-	-	-	47	0.285	0.368	0.377	1,570	282	448	73	7	592	19	248	173	40	14	39	253	34	39	14	 
2014	11620	193	Duke	-	Totals	-	-	-	-	58	0.263	0.360	0.378	1,964	298	517	89	19	743	33	268	262	49	26	25	389	41	58	30	 
2014	11620	193	Duke	-	Opponent Totals	-	-	-	-	58	0.234	0.309	0.306	1,946	224	456	71	6	596	19	199	190	26	15	35	501	43	38	21	 
2014	11620	196	East Carolina	-	Totals	-	-	-	-	59	0.270	0.340	0.345	1,985	244	535	65	6	684	24	218	185	39	21	53	353	54	38	28	 
2014	11620	196	East Carolina	-	Opponent Totals	-	-	-	-	59	0.238	0.315	0.305	1,965	225	467	53	13	600	18	193	163	68	22	38	371	54	34	23	 
2014	11620	198	East Tenn. St.	-	Totals	-	-	-	-	57	0.276	0.340	0.411	1,953	310	540	98	25	802	38	282	158	41	21	39	295	42	53	25	 
2014	11620	198	East Tenn. St.	-	Opponent Totals	-	-	-	-	57	0.310	0.357	0.479	2,064	351	639	113	37	988	54	328	132	32	22	54	326	27	49	20	 
2014	11620	201	Eastern Ill.	-	Totals	-	-	-	-	56	0.284	0.362	0.384	1,974	322	560	93	15	758	25	293	192	64	24	43	344	52	38	24	 
2014	11620	201	Eastern Ill.	-	Opponent Totals	-	-	-	-	56	0.296	0.389	0.435	1,999	380	591	116	18	869	42	342	254	62	18	27	382	40	67	20	 
2014	11620	202	Eastern Ky.	-	Totals	-	-	-	-	55	0.275	0.369	0.413	1,921	323	529	91	12	794	50	302	220	77	21	13	397	61	71	30	 
2014	11620	202	Eastern Ky.	-	Opponent Totals	-	-	-	-	55	0.326	0.399	0.450	1,981	372	645	122	10	892	35	332	193	69	30	42	282	54	39	34	 
2014	11620	204	Eastern Mich.	-	Totals	-	-	-	-	53	0.262	0.359	0.347	1,801	301	472	94	13	625	11	274	225	55	16	31	328	43	92	25	 
2014	11620	204	Eastern Mich.	-	Opponent Totals	-	-	-	-	53	0.304	0.389	0.401	1,844	361	560	101	18	739	14	313	206	69	27	43	306	37	95	29	 
2014	11620	1068	Elon	-	Totals	-	-	-	-	53	0.270	0.364	0.389	1,809	300	489	91	15	703	31	270	228	46	15	27	399	31	58	20	 
2014	11620	1068	Elon	-	Opponent Totals	-	-	-	-	53	13.653	18.680	19.901	1,802	305	474	102	13	692	30	268	209	81	32	40	300	36	44	16	 
2014	11620	219	Evansville	-	Totals	-	-	-	-	55	0.283	0.380	0.380	1,833	330	518	103	12	696	17	297	226	82	32	25	310	47	45	20	 
2014	11620	219	Evansville	-	Opponent Totals	-	-	-	-	55	0.272	0.348	0.375	1,850	267	504	102	11	694	22	242	179	47	19	32	393	47	49	23	 
2014	11620	28755	FGCU	-	Totals	-	-	-	-	61	0.294	0.367	0.416	2,130	356	627	128	15	887	34	327	205	59	33	33	363	42	63	21	 
2014	11620	28755	FGCU	-	Opponent Totals	-	-	-	-	61	0.262	0.329	0.329	2,074	263	544	96	5	683	11	226	164	47	10	58	421	46	56	20	 
2014	11620	231	FIU	-	Totals	-	-	-	-	56	0.288	0.370	0.389	1,901	315	548	86	14	740	26	274	226	35	22	31	300	63	53	14	 
2014	11620	231	FIU	-	Opponent Totals	-	-	-	-	56	0.238	0.312	0.288	1,850	169	440	56	3	532	10	142	175	32	15	35	418	45	40	16	 
2014	11620	220	Fairfield	-	Totals	-	-	-	-	55	0.262	0.351	0.350	1,756	275	460	75	13	615	18	235	201	50	20	43	333	32	77	16	 
2014	11620	220	Fairfield	-	Opponent Totals	-	-	-	-	55	0.279	0.353	0.370	1,765	236	493	83	10	653	19	217	160	52	21	37	276	49	56	13	 
2014	11620	222	Fairleigh Dickinson	-	Totals	-	-	-	-	47	0.268	0.319	0.331	1,465	187	393	68	3	485	6	171	90	25	14	30	230	40	32	15	 
2014	11620	222	Fairleigh Dickinson	-	Opponent Totals	-	-	-	-	47	0.284	0.387	0.392	1,406	259	399	72	4	551	24	235	189	60	21	33	190	46	62	27	 
2014	11620	229	Fla. Atlantic	-	Totals	-	-	-	-	53	0.275	0.352	0.356	1,808	238	498	81	8	643	16	217	183	42	20	36	383	58	39	13	 
2014	11620	229	Fla. Atlantic	-	Opponent Totals	-	-	-	-	53	0.253	0.324	0.320	1,784	215	451	85	4	571	9	179	150	49	24	38	386	30	51	22	 
2014	11620	235	Florida	-	Totals	-	-	-	-	63	0.267	0.351	0.350	2,077	289	554	76	9	726	26	260	229	60	34	60	348	65	57	27	 
2014	11620	235	Florida	-	Opponent Totals	-	-	-	-	63	0.253	0.324	0.347	2,168	240	548	95	4	753	34	225	174	60	12	53	435	56	52	17	 
2014	11620	228	Florida A&M	-	Totals	-	-	-	-	52	0.277	0.360	0.361	1,813	260	502	81	7	654	19	232	201	46	20	26	383	46	52	12	 
2014	11620	228	Florida A&M	-	Opponent Totals	-	-	-	-	52	0.279	0.372	0.381	1,802	320	503	72	12	686	29	285	186	90	16	35	280	34	84	34	 
2014	11620	234	Florida St.	-	Totals	-	-	-	-	60	0.273	0.391	0.379	2,001	393	547	110	12	759	26	363	330	84	42	26	439	53	58	14	 
2014	11620	234	Florida St.	-	Opponent Totals	-	-	-	-	60	0.240	0.313	0.332	2,009	217	482	95	4	666	27	197	182	37	13	40	432	62	26	21	 
2014	11620	236	Fordham	-	Totals	-	-	-	-	54	0.260	0.349	0.339	1,744	261	453	85	12	592	10	235	159	89	17	53	351	33	101	41	 
2014	11620	236	Fordham	-	Opponent Totals	-	-	-	-	54	0.292	0.371	0.404	1,869	327	546	89	26	756	23	285	192	54	20	36	366	51	91	23	 
2014	11620	96	Fresno St.	-	Totals	-	-	-	-	57	0.270	0.352	0.386	1,950	281	527	96	9	752	37	254	209	47	19	62	396	50	41	21	 
2014	11620	96	Fresno St.	-	Opponent Totals	-	-	-	-	57	0.261	0.342	0.338	1,939	253	507	83	12	656	14	219	202	47	23	35	343	52	37	24	 
2014	11620	244	Furman	-	Totals	-	-	-	-	59	0.288	0.369	0.390	2,105	345	607	93	15	820	30	304	233	59	37	25	381	48	89	30	 
2014	11620	244	Furman	-	Opponent Totals	-	-	-	-	59	0.284	0.371	0.398	2,057	367	584	103	15	819	34	333	248	55	33	31	398	58	63	22	 
2014	11620	253	Ga. Southern	-	Totals	-	-	-	-	63	0.286	0.369	0.429	2,190	413	627	116	7	940	61	372	256	49	28	27	445	41	89	34	 
2014	11620	253	Ga. Southern	-	Opponent Totals	-	-	-	-	63	0.252	0.327	0.346	2,159	273	545	95	6	748	32	238	192	53	14	35	491	47	67	30	 
2014	11620	1092	Gardner-Webb	-	Totals	-	-	-	-	55	0.255	0.330	0.341	1,856	249	474	78	10	632	20	217	154	61	15	30	378	29	93	31	 
2014	11620	1092	Gardner-Webb	-	Opponent Totals	-	-	-	-	55	0.257	0.319	0.335	1,840	240	472	87	5	617	16	212	159	19	17	49	395	58	50	11	 
2014	11620	248	George Mason	-	Totals	-	-	-	-	56	0.270	0.360	0.357	1,898	270	512	100	10	677	15	236	224	61	29	37	377	50	39	17	 
2014	11620	248	George Mason	-	Opponent Totals	-	-	-	-	56	0.264	0.324	0.331	1,935	224	511	92	8	640	7	202	141	39	18	52	342	33	58	25	 
2014	11620	249	George Washington	-	Totals	-	-	-	-	50	0.255	0.322	0.305	1,645	200	420	58	6	502	4	176	117	54	17	38	207	45	66	31	 
2014	11620	249	George Washington	-	Opponent Totals	-	-	-	-	50	0.286	0.371	0.387	1,667	261	476	86	16	645	17	234	192	51	28	53	241	47	75	25	 
2014	11620	251	Georgetown	-	Totals	-	-	-	-	48	0.260	0.354	0.328	1,609	219	419	73	3	528	10	205	187	56	19	21	331	32	39	22	 
2014	11620	251	Georgetown	-	Opponent Totals	-	-	-	-	48	0.290	0.394	0.396	1,633	323	473	85	22	647	15	281	231	69	28	41	270	31	81	22	 
2014	11620	257	Georgia	-	Totals	-	-	-	-	56	0.256	0.346	0.320	1,893	253	484	69	7	606	13	210	224	48	17	25	398	45	42	18	 
2014	11620	257	Georgia	-	Opponent Totals	-	-	-	-	56	0.267	0.353	0.349	1,912	293	511	88	6	668	19	271	224	40	21	41	337	53	43	12	 
2014	11620	254	Georgia St.	-	Totals	-	-	-	-	56	0.294	0.379	0.460	1,935	356	569	124	9	891	60	334	213	64	20	38	404	40	60	22	 
