year	year_id	stat_category	year_stat_category_id	option_name	option_id
2014	11620	hitting	10460	with 2 outs	10200
2014	11620	hitting	10460	vs RHP	10201
2014	11620	hitting	10460	leadoff pct	10202
2014	11620	hitting	10460	RBI3rd	10203
2014	11620	hitting	10460	H-Pinchit	10204
2014	11620	hitting	10460	Adv-Ops	10205
2014	11620	hitting	10460	with runrs	10206
2014	11620	hitting	10460	hits scorepos	10207
2014	11620	hitting	10460	vs LHP	10208
2014	11620	hitting	10460	with runrs2	10212
2014	11620	hitting	10460	with scorepos2	10213
2014	11620	hitting	10460	bases empty	10214
2014	11620	hitting	10460	bases loaded	10215
2014	11620	pitching	10461	leadoff pct	10216
2014	11620	pitching	10461	runners	10217
2014	11620	pitching	10461	vs LHB	10218
2014	11620	pitching	10461	with 2Outs	10219
2014	11620	pitching	10461	emtpy	10220
2014	11620	pitching	10461	with scorepos	10221
2014	11620	pitching	10461	with scorepos2	10222
2014	11620	pitching	10461	with runners2	10223
2014	11620	pitching	10461	bases loaded	10224
2014	11620	pitching	10461	vs RHB	10225
