year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	3	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556318	So	SS	45	45	 	0.383	0.464	0.688	43	154	59	13	2	""	10	38	21	5	3	 	25	2	1	1	 
2015	12080	3	4	Adrian	14	1556197	Shutes, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556197	Sr	OF	45	45	 	0.309	0.423	0.449	30	136	42	13	""	""	2	20	26	3	3	4	18	 	6	3	 
2015	12080	3	4	Adrian	16	1663959	Knorr, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663959	Jr	OF	44	38	 	0.238	0.358	0.325	32	126	30	11	""	""	""	6	22	2	1	4	17	3	6	2	 
2015	12080	3	4	Adrian	29	1663960	Parcher, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663960	Jr	1B	44	40	 	0.248	0.303	0.398	15	133	33	11	""	""	3	21	10	1	1	1	19	2	 	1	 
2015	12080	3	4	Adrian	10	1448955	Gertley, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1448955	Jr	OF	43	43	 	0.351	0.413	0.723	39	148	52	18	2	""	11	48	14	5	5	1	27	3	2	2	 
2015	12080	3	4	Adrian	31	1557012	Drzewiecki, Miccoy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557012	So	1B	40	33	 	0.364	0.408	0.555	16	110	40	10	1	""	3	24	9	2	4	 	19	 	3	1	 
2015	12080	3	4	Adrian	23	1321504	Joseph, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321504	Sr	INF	39	35	 	0.323	0.412	0.333	14	99	32	1	""	""	""	11	14	1	 	4	9	 	3	 	 
2015	12080	3	4	Adrian	5	1449370	Andrus, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1449370	Jr	INF	32	25	 	0.208	0.265	0.312	6	77	16	3	1	""	1	9	5	1	 	2	11	4	 	 	 
2015	12080	3	4	Adrian	11	1434144	Eng, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1434144	Jr	P	30	24	 	0.196	0.270	0.214	6	56	11	1	""	""	""	10	6	 	1	5	19	 	4	1	 
2015	12080	3	4	Adrian	39	1559643	Cararo, Dakota	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1559643	So	C	30	19	 	0.233	0.356	0.333	5	60	14	3	""	""	1	6	9	3	1	1	10	1	1	 	 
2015	12080	3	4	Adrian	32	1549581	Glodich, Gunnar	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1549581	Jr	P	26	1	 	0.294	0.455	0.412	8	17	5	2	""	""	""	2	5	 	 	1	3	 	 	 	 
2015	12080	3	4	Adrian	20	1663963	Resto, Frank	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663963	Fr	C	25	20	 	0.291	0.316	0.345	3	55	16	3	""	""	""	9	1	1	 	2	10	 	 	 	 
2015	12080	3	4	Adrian	21	1557011	Mikowski, Ian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557011	So	OF	25	7	 	0.200	0.351	0.200	5	30	6	""	""	""	""	1	7	 	 	2	7	 	3	1	 
2015	12080	3	4	Adrian	19	1321506	Yax, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321506	Sr	INF	22	11	 	0.200	0.237	0.286	6	35	7	""	""	""	1	3	2	 	1	 	8	 	2	 	 
2015	12080	3	4	Adrian	9	1668508	Leach, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1668508	Fr	P	21	10	 	0.317	0.364	0.415	7	41	13	2	1	""	""	7	2	1	 	2	6	 	1	1	 
2015	12080	3	4	Adrian	37	1668513	Korte, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1668513	Fr	P	19	2	 	""	""	""	 	 	 	""	""	""	""	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	17	1321503	Schmidt, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321503	Sr	P	12	12	 	""	""	""	 	 	 	""	""	""	""	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	40	1558776	Frayer, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558776	Jr	P	12	12	 	""	""	""	 	 	 	""	""	""	""	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	18	1663962	Guck, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663962	Fr	3B	12	5	 	0.167	0.250	0.222	1	18	3	1	""	""	""	2	1	1	 	1	5	1	 	 	 
