year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2016	12360	2	vs_rhp	10535	30123	Academy of Art	8	1765249	Milone, Payton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765249	Jr	SS	49	49		0.235	0.273	0.250	12	132	31	2				9	7			6	18	2	3		2	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	21	1652673	Strawn, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652673	Sr	SS	49	49		0.365	0.436	0.467	14	137	50	11			1	14	16	2	1		16	3	2		2	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	4	1765248	Luna, Erick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765248	Jr	INF	47	44		0.239	0.276	0.333	18	138	33	5	1		2	16	6	1		3	13	7			1	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	9	1425748	Edmunds, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425748	Sr	INF	47	47		0.286	0.364	0.352	13	105	30	3	2			11	11	2		7	19	3	3		9	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	24	1765250	Trueblood, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765250	Jr	C	47	47		0.232	0.304	0.288	16	125	29	7				10	11	2		1	27	4			2	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	12	1539894	Ivory, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539894	Sr	OF	43	40		0.234	0.359	0.243	9	107	25	1				10	19	2		3	16		1			
2016	12360	2	vs_rhp	10535	30123	Academy of Art	5	1652668	Adami, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652668	Sr	3B	43	38		0.277	0.364	0.327	10	101	28	3	1			9	14	1	2	1	22	3				
2016	12360	2	vs_rhp	10535	30123	Academy of Art	18	1425753	Marchini, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425753	Sr	OF	40	39		0.279	0.318	0.393	12	122	34	7	2		1	13	7	1	2		16	1	2		2	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	2	1765246	Jones, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765246	Jr	OF	37	29		0.178	0.291	0.219	8	73	13	1	1			2	10	2	1	2	17	3	2		2	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	27	1765256	Maleski, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765256	N/A	C	35	22		0.182	0.230	0.218	5	55	10	2				8	4		2		15					
2016	12360	2	vs_rhp	10535	30123	Academy of Art	3	1765247	Farfan, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765247	Fr	INF	29	23		0.136	0.208	0.159	4	44	6	1				3	2	2			13	1				
2016	12360	2	vs_rhp	10535	30123	Academy of Art	13	1765252	Thayer, Takis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765252	Fr	C	21	5		0.222	0.300	0.222	2	18	4					3	1	1			2		1			
2016	12360	2	vs_rhp	10535	30123	Academy of Art	6	1652666	Barragan, Jacoby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652666	So	OF	21	13		0.317	0.370	0.317	7	41	13					2	3	1	1		7	1	1		1	
2016	12360	2	vs_rhp	10535	30123	Academy of Art	19	1652672	Greenough, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652672	Sr	C	17	2		0.182	0.250	0.182	0	11	2					0	1				2					
2016	12360	2	vs_rhp	10535	30123	Academy of Art	23	1765254	Villanueva, Robert	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765254	Fr	3B	16	1		0.000	0.250	0.000	0	6	0					1	2				2					
2016	12360	2	vs_rhp	10535	30123	Academy of Art	1	1765245	Dawson, Taj	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765245	Fr	OF	14	1		0.000	0.000	0.000	3	5	0					1			1		2				2	
