year	year_id	stat_category	year_stat_category_id	option_name	option_id
2017	12560	hitting	11000	with runrs	10586
2017	12560	hitting	11000	hits scorepos	10587
2017	12560	hitting	11000	vs LHP	10588
2017	12560	hitting	11000	vs RHP	10581
2017	12560	hitting	11000	leadoff pct	10582
2017	12560	hitting	11000	RBI3rd	10583
2017	12560	hitting	11000	H-Pinchit	10584
2017	12560	hitting	11000	Adv-Ops	10585
2017	12560	hitting	11000	with 2 outs	10580
2017	12560	hitting	11000	with runrs2	10592
2017	12560	hitting	11000	with scorepos2	10593
2017	12560	hitting	11000	bases empty	10594
2017	12560	hitting	11000	bases loaded	10595
2017	12560	pitching	11001	leadoff pct	10596
2017	12560	pitching	11001	runners	10597
2017	12560	pitching	11001	vs LHB	10598
2017	12560	pitching	11001	with 2Outs	10599
2017	12560	pitching	11001	emtpy	10600
2017	12560	pitching	11001	with scorepos	10601
2017	12560	pitching	11001	with scorepos2	10602
2017	12560	pitching	11001	with runners2	10603
2017	12560	pitching	11001	bases loaded	10604
2017	12560	pitching	11001	vs RHB	10605
