year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	30123	Academy of Art	5	1878357	Martin, Taylor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878357	Jr	SS	50	49		0.211	0.265	0.248	12	133	28	5		33		10	9	2	3	4	12	5				
2017	12560	2	vs_rhp	10581	30123	Academy of Art	25	1878364	Bauer, Izac	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878364	Jr	OF	50	49		0.319	0.399	0.471	21	138	44	5	2	65	4	21	10	9	1		22	4			4	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	21	1765254	Villanueva, Robert	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1765254	So	3B	43	42		0.209	0.226	0.217	9	115	24	1		25		8	4		5	6	21	2			1	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	28	1878365	Reichel, Marciano	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878365	Jr	C	41	38		0.282	0.372	0.336	8	110	31	6		37		10	14	3	2		25	6				
2017	12560	2	vs_rhp	10581	30123	Academy of Art	2	1765246	Jones, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1765246	Sr	OF	40	34		0.305	0.394	0.354	11	82	25	2	1	29		5	8	4		2	10	2			3	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	8	1878359	Ray, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878359	Jr	OF	36	33		0.235	0.279	0.367	11	98	23	7		36	2	9	3	3			31	1			3	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	1	1765245	Dawson, Taj	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1765245	So	OF	35	12		0.111	0.179	0.194	3	36	4	1	1	7		2	3			1	12		2		1	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	24	1878363	McGraw, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878363	Jr	OF	32	23		0.266	0.298	0.278	6	79	21	1		22		4	3	1	1	2	8	1	2			
2017	12560	2	vs_rhp	10581	30123	Academy of Art	20	1878367	Murphy, Jackson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878367	Jr	OF	31	28		0.221	0.302	0.377	8	77	17	5	2	29	1	7	5	4		1	24	1			2	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	13	1878361	Harry, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878361	Jr	C	30	15		0.231	0.295	0.231	4	39	9			9		4	1	3	1	3	5				1	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	3	1878369	Fernandez, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878369	Jr	P	28	24		0.286	0.394	0.304	14	56	16	1		17		2	7	3			10	2			2	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	7	1878358	Mauchline, Brennan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878358	Jr	INF	20	14		0.333	0.436	0.636	2	33	11	4		21	2	11	4	2			10		1		1	
2017	12560	2	vs_rhp	10581	30123	Academy of Art	14	1539897	Kuisel, Alexander	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1539897	Sr	P	16	2		0.000	0.000	0.000	0	1	0			0		0										
2017	12560	2	vs_rhp	10581	30123	Academy of Art	26	1765255	Bovee, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1765255	Sr	P	15	13		0.000	0.000	0.000	0	1	0			0		0					1					
2017	12560	2	vs_rhp	10581	30123	Academy of Art	6	1652666	Barragan, Jacoby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652666	Jr	OF	11	0		0.222	0.300	0.222	0	9	2			2		0	1				1	1				
2017	12560	2	vs_rhp	10581	929	Adams St.	21	1762427	Weidner, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1762427	Sr	SS	46	44		0.386	0.460	0.553	25	132	51	9	2	73	3	22	17	1			25	6			5	
2017	12560	2	vs_rhp	10581	929	Adams St.	5	1762422	Mares, Thomaslee	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1762422	Sr	SS	45	43		0.357	0.406	0.481	21	129	46	9	2	62	1	23	8	4	2	1	14	5	1		3	
