year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	2	vs_rhp	10281	30123	Academy of Art	21	1652673	Strawn, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652673	Jr	SS	46	46	 	0.183	0.239	0.246	14	126	23	5	 		1	9	6	4	2	 	19	7	 	1	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	18	1425753	Marchini, Joseph	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1425753	Jr	OF	46	46	 	0.311	0.338	0.432	16	148	46	6	3		2	8	6	 	 	2	25	1	8	3	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	12	1539894	Ivory, Greg	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539894	Jr	OF	45	45	 	0.205	0.321	0.248	10	117	24	5	 		 	10	13	7	 	4	15	3	4	2	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	5	1652668	Adami, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652668	Jr	3B	45	38	 	0.167	0.224	0.213	5	108	18	5	 		 	5	6	2	 	1	16	1	 	 	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	9	1425748	Edmunds, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1425748	Jr	INF	44	43	 	0.267	0.308	0.287	9	101	27	 	1		 	4	5	1	 	3	20	1	3	4	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	4	1539903	Cavestany, Chucky	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539903	Sr	C	44	44	 	0.159	0.204	0.243	9	107	17	6	 		1	12	4	2	 	 	19	4	1	1	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	26	1539902	Skinner, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539902	Sr	INF	41	39	 	0.215	0.324	0.290	8	93	20	4	 		1	12	14	2	2	 	30	 	2	1	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	11	1539900	Gutierrez, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539900	So	OF	36	32	 	0.188	0.244	0.237	2	80	15	4	 		 	4	6	 	 	2	29	1	 	1	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	8	1539898	Brady, Maclane	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539898	Sr	P	34	29	 	0.239	0.375	0.261	4	46	11	1	 		 	2	8	2	 	1	11	 	 	 	 
2015	12080	2	vs_rhp	10281	30123	Academy of Art	27	1212776	Singzon, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1212776	Sr	C	34	31	 	0.257	0.317	0.351	5	74	19	4	 		1	10	7	 	1	3	18	3	 	4	 
