year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	1	26172	A&M-Corpus Chris	2	1314523	Lee, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314523	Sr	OF	8	8	 	0.312	0.353	0.375	16	3	5	1	 	""	 	3	 	1	 	 	1	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	24	1652723	Perales, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652723	Jr	1B	8	7	 	0.250	0.250	0.500	12	2	3	1	1	""	 	1	 	 	 	 	3	1	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	12	1652722	Clarke, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652722	Jr	3B	8	7	 	0.278	0.316	0.278	18	2	5	 	 	""	 	2	1	 	 	 	 	1	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	3	1652721	Thomas, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652721	Jr	SS	8	8	 	0.400	0.375	0.533	15	2	6	2	 	""	 	4	 	 	1	 	 	1	 	1	 
2015	12080	1	26172	A&M-Corpus Chris	17	1314588	Danford, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314588	Sr	OF	8	8	 	0.222	0.263	0.389	18	3	4	 	 	""	1	2	1	 	 	 	5	 	2	1	 
2015	12080	1	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546814	So	SS	8	8	 	0.308	0.357	0.385	13	4	4	1	 	""	 	1	1	 	 	 	1	1	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	23	1546835	Ware, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546835	Sr	OF	8	8	 	0.333	0.474	0.533	15	2	5	1	1	""	 	5	4	 	 	 	2	 	 	1	 
2015	12080	1	26172	A&M-Corpus Chris	13	1546817	Geiser, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546817	So	OF	7	2	 	0.200	0.429	0.600	5	2	1	 	1	""	 	2	1	1	 	 	1	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546820	So	C	7	7	 	0.444	0.455	0.444	9	1	4	 	 	""	 	3	1	 	1	 	4	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	22	1546831	Salas, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546831	Sr	1B	7	7	 	0.286	0.286	0.357	14	2	4	1	 	""	 	1	 	 	 	 	 	 	 	1	 
2015	12080	1	26172	A&M-Corpus Chris	35	1652734	Balfantz, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652734	Fr	C	3	1	 	0.000	0.500	0.000	1	1	0	 	 	""	 	0	 	1	 	 	 	 	 	 	 
