year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	2	1314523	Lee, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314523	Sr	OF	53	52	 	0.298	0.381	0.404	19	104	31	5	 		2	15	11	3	 	1	13	1	5	4	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546814	So	SS	53	44	 	0.193	0.253	0.229	12	83	16	1	1		 	5	7	 	1	1	10	1	2	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	17	1314588	Danford, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314588	Sr	OF	53	53	 	0.271	0.345	0.374	16	107	29	1	2		2	17	11	1	 	 	20	1	10	3	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	23	1546835	Ware, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546835	Sr	OF	52	52	 	0.355	0.465	0.559	22	93	33	8	4		1	17	13	7	1	 	14	2	10	5	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	3	1652721	Thomas, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652721	Jr	SS	50	50	 	0.337	0.349	0.416	13	101	34	4	2		 	19	3	 	2	2	13	4	3	1	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546820	So	C	50	47	 	0.246	0.346	0.261	9	69	17	1	 		 	7	11	 	1	1	14	2	 	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	24	1652723	Perales, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652723	Jr	1B	43	38	 	0.217	0.262	0.300	3	60	13	3	1		 	10	4	 	1	 	19	2	1	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	22	1546831	Salas, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546831	Sr	1B	43	32	 	0.264	0.304	0.333	6	72	19	5	 		 	15	5	 	2	2	8	 	1	1	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	18	1438813	Hardy, Zacarias	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438813	Jr	OF	39	30	 	0.234	0.294	0.277	8	47	11	2	 		 	3	3	1	 	 	9	1	1	1	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	12	1652722	Clarke, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652722	Jr	3B	35	29	 	0.224	0.269	0.265	5	49	11	 	1		 	7	2	1	 	 	9	3	 	 	 
