year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_lhp	10588	30093	AUM	1	1871749	Chandler, Donovan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871749	Jr	OF	48	48		0.364	0.512	0.424	12	33	12	2		14		4	8	2		1	11				3	
2017	12560	2	vs_lhp	10588	30093	AUM	4	1871820	Langley, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871820	Jr	INF	48	48		0.212	0.341	0.242	6	33	7	1		8		5	5	2	1		3				4	
2017	12560	2	vs_lhp	10588	30093	AUM	17	1871855	Russell, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871855	Jr	OF	47	45		0.290	0.343	0.516	5	31	9	4		16	1	9	3		1	1	5					
2017	12560	2	vs_lhp	10588	30093	AUM	15	1871853	Davis, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871853	Sr	INF	46	43		0.115	0.281	0.154	6	26	3	1		4		6	6				4		1		1	
2017	12560	2	vs_lhp	10588	30093	AUM	20	1871857	Cosby, John-Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871857	Sr	INF	46	44		0.348	0.414	0.391	4	23	8	1		9		4	3	1	2		2					
2017	12560	2	vs_lhp	10588	30093	AUM	27	1871862	Johnson, Curtiss	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871862	Jr	INF	44	44		0.444	0.500	0.519	9	27	12	2		14		9	4		1		2					
2017	12560	2	vs_lhp	10588	30093	AUM	25	1871860	Flynn, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871860	Sr	INF	44	41		0.381	0.581	0.524	7	21	8			11	1	4	10			4	4					
2017	12560	2	vs_lhp	10588	30093	AUM	2	1871818	Tedford, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871818	Sr	INF	40	36		0.357	0.550	0.357	9	14	5			5		2	6			2	3				1	
2017	12560	2	vs_lhp	10588	30093	AUM	10	1871880	Davenport, Houston	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871880	Sr	C	38	30		0.300	0.533	0.300	1	10	3			3		1	2	3		2		1	1			
2017	12560	2	vs_lhp	10588	30093	AUM	8	1871823	Smith, Scotty	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871823	Jr	OF	36	5		0.000	0.500	0.000	1	1	0			0		0	1				1				1	
2017	12560	2	vs_lhp	10588	30093	AUM	19	1871859	Moman, Parker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871859	Jr	C	25	18		0.357	0.471	0.571	2	14	5			8	1	3	3			1	4	1				
