year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2016	12360	2	vs_lhp	10542	30123	Academy of Art	8	1765249	Milone, Payton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765249	Jr	SS	49	49		0.205	0.280	0.205	6	44	9					3	3	2	1		10	1				
2016	12360	2	vs_lhp	10542	30123	Academy of Art	21	1652673	Strawn, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652673	Sr	SS	49	49		0.146	0.192	0.167	4	48	7	1				4	3		1		12	2			1	
2016	12360	2	vs_lhp	10542	30123	Academy of Art	4	1765248	Luna, Erick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765248	Jr	INF	47	44		0.382	0.475	0.471	4	34	13	3				3	6			3	5	3				
2016	12360	2	vs_lhp	10542	30123	Academy of Art	9	1425748	Edmunds, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425748	Sr	INF	47	47		0.133	0.289	0.133	5	30	4					3	7		1		7	2			3	
2016	12360	2	vs_lhp	10542	30123	Academy of Art	24	1765250	Trueblood, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765250	Jr	C	47	47		0.279	0.347	0.395	4	43	12	5				4	4	1	1		9	2	1			
2016	12360	2	vs_lhp	10542	30123	Academy of Art	12	1539894	Ivory, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539894	Sr	OF	43	40		0.214	0.389	0.214	3	28	6					2	7	1			1	2	2			
2016	12360	2	vs_lhp	10542	30123	Academy of Art	5	1652668	Adami, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652668	Sr	3B	43	38		0.111	0.143	0.185	5	27	3		1			0	1			2	10	1				
2016	12360	2	vs_lhp	10542	30123	Academy of Art	18	1425753	Marchini, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1425753	Sr	OF	40	39		0.371	0.389	0.543	6	35	13	2	2			6	1			2	7	1			2	
2016	12360	2	vs_lhp	10542	30123	Academy of Art	2	1765246	Jones, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765246	Jr	OF	37	29		0.207	0.343	0.310	2	29	6	1	1			2	6			1	8		1		2	
2016	12360	2	vs_lhp	10542	30123	Academy of Art	27	1765256	Maleski, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765256	N/A	C	35	22		0.344	0.432	0.438	3	32	11				1	4	3	2			2		1			
2016	12360	2	vs_lhp	10542	30123	Academy of Art	3	1765247	Farfan, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765247	Fr	INF	29	23		0.500	0.556	0.875	2	8	4				1	1		1			1					
2016	12360	2	vs_lhp	10542	30123	Academy of Art	13	1765252	Thayer, Takis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765252	Fr	C	21	5		0.250	0.417	0.250	2	8	2					1	3		1		2	1				
