year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12360	2	vs_rhb	10559	30123	Academy of Art	3	1765247	Farfan, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765247	Fr	INF	29	23				0.00	38.1		36	0	0	15	27		178	151	7			4	2	6	0						42	45				7
2016	12360	2	vs_rhb	10559	30123	Academy of Art	16	1765253	Ball, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765253	Jr	P	20	3				0.00	25.8		28	0	0	26	8		143	112	4	2		3	2	2	0						44	30				1
2016	12360	2	vs_rhb	10559	30123	Academy of Art	20	1539899	Lopez, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539899	Jr	P	18	4				0.00	29.1		47	0	0	16	11		162	133	11	1				5	0						37	44				1
2016	12360	2	vs_rhb	10559	30123	Academy of Art	30	1765258	Martinez, Roman	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765258	Fr	P	17	0				0.00	10.4		13	0	0	6	7		60	50	3			1	2	2	0						17	14				2
2016	12360	2	vs_rhb	10559	30123	Academy of Art	23	1765254	Villanueva, Robert	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765254	Fr	3B	16	1				0.00	5.4		11	0	0	6	5		39	31	2				2	2							7	6				2
2016	12360	2	vs_rhb	10559	30123	Academy of Art	14	1539897	Kuisel, Alexander	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1539897	Jr	P	16	14				0.00	64.9		74	0	0	21	26		288	258	6	4	1	5	5		0						81	80				8
2016	12360	2	vs_rhb	10559	30123	Academy of Art	26	1765255	Bovee, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765255	Jr	P	14	13				0.00	56.7		58	0	0	16	33		258	232	10		1	6	5	2	0						58	78				7
2016	12360	2	vs_rhb	10559	30123	Academy of Art	51	1765259	Verhees, Mason	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765259	Fr	P	12	1				0.00	7.5		20	0	0	17	4		76	50	5	1		1	4	6	0						9	17				3
2016	12360	2	vs_rhb	10559	30123	Academy of Art	7	1652669	Del Rosario, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652669	So	INF	8	0				0.00	4.7		6	0	0	6	3		32	24	1			3	1	2							6	7				1
2016	12360	2	vs_rhb	10559	30123	Academy of Art	11	1765251	Rost, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1765251	Jr	P	7	5				0.00	12.9		24	0	0	3	7		69	62	5		1	1	4	2	0						22	10				5
2016	12360	2	vs_rhb	10559	929	Adams St.	7	1642811	Garcia, Bailey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1642811	So	P	16	11				0.00	52.7		68	0	0	16	51		252	229	13	2	3	2	2	5	3						54	54				9
