year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	3	vs_rhp	10201	4	Adrian	1	1215226	Fischer, Sam	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215226	Sr	OF	47	47	 	0.375	0.495	0.693	88	29	33	9	2	61	5	25	17	5	1	 	12	1	4	3	 
2014	11620	3	vs_rhp	10201	4	Adrian	18	1215230	Rios, R.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215230	Sr	1B	46	46	 	0.303	0.388	0.360	89	12	27	5	 		 	16	9	4	1	2	12	 	3	2	 
2014	11620	3	vs_rhp	10201	4	Adrian	11	1215228	Stefanski, Mitch	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215228	Sr	INF	46	46	 	0.345	0.463	0.609	87	29	30	6	4	53	3	28	12	8	1	 	20	 	3	1	 
2014	11620	3	vs_rhp	10201	4	Adrian	14	1556197	Shutes, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1556197	Jr	OF	45	45	 	0.286	0.400	0.452	84	18	24	7	2	38	1	15	11	5	 	2	8	 	6	1	 
2014	11620	3	vs_rhp	10201	4	Adrian	29	1446284	Heatherly, Dan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1446284	Sr	OF	44	44	 	0.337	0.406	0.512	86	17	29	6	 		3	20	10	 	 	 	9	2	4	1	 
2014	11620	3	vs_rhp	10201	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1556318	Fr	2B	44	44	 	0.326	0.414	0.523	86	20	28	11	 		2	16	11	2	 	2	9	1	1	 	 
2014	11620	3	vs_rhp	10201	4	Adrian	26	1321506	Yax, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1321506	Jr	INF	38	30	 	0.367	0.400	0.429	49	14	18	1	1		 	14	4	 	2	1	5	 	3	1	 
2014	11620	3	vs_rhp	10201	4	Adrian	13	1448871	Desimone, Corleone	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1448871	So	INF	33	25	 	0.269	0.283	0.385	52	8	14	3	 		1	8	1	 	 	1	5	1	2	 	 
2014	11620	3	vs_rhp	10201	4	Adrian	6	1334709	Craig, Hayden	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1334709	Jr	INF	32	21	 	0.222	0.425	0.333	27	5	6	1	1		 	3	10	1	2	4	3	1	 	2	 
2014	11620	3	vs_rhp	10201	4	Adrian	8	1434144	Eng, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1434144	So	P	31	13	 	0.409	0.567	0.682	22	8	9	2	2		 	6	6	2	 	 	6	 	1	1	 
