year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	2	vs_lhb	10598	30093	AUM	4	1871820	Langley, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871820	Jr	INF	48	48				0.00	2.0		6	0	0	2	5		21	17	4		1		1	1							5	1				2
2017	12560	2	vs_lhb	10598	30093	AUM	8	1871823	Smith, Scotty	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871823	Jr	OF	36	5				0.00	0.1		0	0	0	0	1		1	1																		
2017	12560	2	vs_lhb	10598	30093	AUM	21	1871858	Johnson, Chase	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871858	Sr	P	21	13				0.00	17.8		26	0	0	5	18		88	83	3				1								15	22				6
2017	12560	2	vs_lhb	10598	30093	AUM	36	1871882	Albritton, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871882	Sr	INF	19	4				0.00	0.7		3	0	0	1	0		13	9	1					2							2	5				
2017	12560	2	vs_lhb	10598	30093	AUM	9	1871824	Scott, Hank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871824	Fr	P	19	10				0.00	21.2		17	0	0	8	15		96	86	5			1	1								25	27				5
2017	12560	2	vs_lhb	10598	30093	AUM	30	1871827	Hillyer, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871827	Fr	INF	18	6				0.00	3.5		4	0	0	2	2		20	17													2	9				1
2017	12560	2	vs_lhb	10598	30093	AUM	12	1871826	Arroyo, Seth	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871826	Jr	P	18	7				0.00	7.8		22	0	0	3	7		63	58	3	1	1	2	1	1	0						19	9				2
2017	12560	2	vs_lhb	10598	30093	AUM	18	1871856	Deloney, Garrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871856	Jr	P	16	14				0.00	12.6		17	0	0	3	8		68	64	2					1	0						15	23				4
2017	12560	2	vs_lhb	10598	30093	AUM	32	1871878	Bannister, Wade	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871878	So	P	15	4				0.00	6.8		7	0	0	3	11		37	31	2				4	2							5	8				5
2017	12560	2	vs_lhb	10598	30093	AUM	3	1871819	Gibson, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871819	So	P	11	0				0.00	0.6		2	0	0	2	2		10	8			1	1									3	1				2
