year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2015	12080	2	vs_lhb	10298	30123	Academy of Art	8	1539898	Brady, Maclane	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539898	Sr	P	34	29	 	 	 	0.00	14.0	25	0	0	17	6	 	91	69	8	 	 	1	1	3	0	 	 	 	 	 	18	21	 	 	 	2
2015	12080	2	vs_lhb	10298	30123	Academy of Art	51	1652670	Green, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652670	Jr	P	25	0	 	 	 	0.00	4.0	9	0	0	4	2	 	39	32	1	 	 	 	 	1	 	 	 	 	 	 	5	18	 	 	 	1
2015	12080	2	vs_lhb	10298	30123	Academy of Art	14	1539897	Kuisel, Alexander	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539897	So	P	21	7	 	 	 	0.00	10.9	17	0	0	0	12	 	59	55	3	2	1	5	2	1	 	 	 	 	 	 	11	18	 	 	 	3
2015	12080	2	vs_lhb	10298	30123	Academy of Art	65	1313107	Gercken, Nate	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1313107	Sr	P	14	14	 	 	 	0.00	26.5	34	0	0	13	25	 	134	119	1	2	 	3	 	2	0	 	 	 	 	 	39	18	 	 	 	7
2015	12080	2	vs_lhb	10298	30123	Academy of Art	7	1652669	Del Rosario, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652669	Fr	INF	13	0	 	 	 	0.00	3.6	13	0	0	4	1	 	35	28	1	2	1	2	1	2	 	 	 	 	 	 	6	8	 	 	 	 
2015	12080	2	vs_lhb	10298	30123	Academy of Art	20	1539899	Lopez, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539899	So	P	12	7	 	 	 	0.00	7.6	28	0	0	1	4	 	65	58	8	 	 	1	 	3	0	 	 	 	 	 	16	11	 	 	 	2
2015	12080	2	vs_lhb	10298	30123	Academy of Art	24	1652674	Herron, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652674	Fr	P	12	3	 	 	 	0.00	8.1	13	0	0	9	3	 	51	36	1	1	1	1	 	1	0	 	 	 	 	 	12	13	 	 	 	 
2015	12080	2	vs_lhb	10298	30123	Academy of Art	13	1212773	Giotta, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1212773	Sr	P	11	2	 	 	 	0.00	5.7	11	0	0	8	2	 	44	31	2	1	 	1	 	3	 	 	 	 	 	 	10	9	 	 	 	 
2015	12080	2	vs_lhb	10298	30123	Academy of Art	10	1313106	Uemura, Yoshi	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1313106	Sr	P	5	2	 	 	 	0.00	1.4	2	0	0	1	2	 	15	9	 	 	 	2	 	5	 	 	 	 	 	 	3	2	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	7	1642811	Garcia, Bailey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642811	Fr	P	20	1	 	 	 	0.00	2.1	3	0	0	5	3	 	22	17	1	 	 	 	 	 	 	 	 	 	 	 	4	5	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	37	1539836	Sherry, Dylan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539836	So	P	17	1	 	 	 	0.00	4.2	5	0	0	4	4	 	32	26	2	 	 	 	 	 	 	 	 	 	 	 	4	13	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	14	1539812	Wright, Challis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539812	Sr	P	16	1	 	 	 	0.00	2.8	10	0	0	0	3	 	26	25	2	 	 	1	 	1	 	 	 	 	 	 	7	4	 	 	 	 
