year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	13	1438799	Stephens, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438799	Sr	INF	58	57	 	0.167	0.167	0.200	30	3	5	1	 		 	4	 	 	 	1	3	3	2	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	23	1546835	Ware, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546835	Jr	OF	57	56	 	0.259	0.382	0.407	27	2	7	2	1		 	5	4	2	1	1	6	1	 	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	2	1314523	Lee, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314523	Jr	OF	57	56	 	0.310	0.353	0.345	29	8	9	1	 		 	6	3	 	2	 	1	1	2	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	12	1438801	Tierney, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438801	Sr	INF	56	55	 	0.440	0.548	0.800	25	9	11	4	1	20	1	5	3	3	 	 	1	 	1	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	7	1438798	Vaughan, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438798	Sr	C	56	45	 	0.357	0.550	0.500	14	6	5	2	 		 	5	2	4	 	 	5	 	 	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	17	1314588	Danford, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314588	Jr	OF	53	53	 	0.381	0.435	0.429	21	4	8	1	 		 	7	2	 	 	1	 	 	1	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	8	1546818	Gibson, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546818	Jr	SS	51	39	 	0.417	0.500	0.417	12	2	5	 	 		 	1	 	2	 	 	4	 	 	1	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	4	1546816	Garza, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546816	Jr	SS	49	45	 	0.158	0.227	0.158	19	1	3	 	 		 	1	2	 	1	 	5	 	 	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	24	1546831	Salas, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546831	Jr	1B	42	32	 	0.200	0.333	0.200	10	3	2	 	 		 	1	2	 	 	 	 	 	 	 	 
2014	11620	1	vs_lhp	10208	26172	A&M-Corpus Chris	10	1438811	Hubert, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438811	Sr	OF	41	19	 	0.400	0.471	0.533	15	5	6	2	 		 	2	1	1	 	1	3	1	1	 	 
