year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	7	1770934	Anderson, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770934	So	OF	54	53		0.245	0.351	0.429	7	49	12	1	1	21	2	6	6	2			13	4	1		1	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	11	1884317	Stark, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884317	Jr	OF	54	54		0.293	0.349	0.431	8	58	17	3	1	25	1	7	5				18	2	1		1	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	23	1546837	Yates, Dawson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546837	Sr	INF	51	49		0.366	0.449	0.366	8	41	15			15		6	5	2	1	1	11		2		4	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	16	1770936	Jozwiak, Cullen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770936	Sr	INF	51	51		0.267	0.377	0.400	10	45	12	1	1	18	1	7	7	1		1	8		1			
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546814	Sr	SS	48	47		0.256	0.333	0.302	2	43	11	2		13		5	4	1		2	4				2	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546820	Sr	C	44	35		0.267	0.303	0.500	3	30	8	1		15	2	6	2		1	4	5	1			1	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	35	1884356	Burts, Itchy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884356	Fr	INF	43	35		0.286	0.306	0.314	6	35	10	1		11		2	1			3	4		1			
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	12	1884313	Owens, Jackson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884313	Jr	OF	41	35		0.256	0.304	0.488	5	43	11		2	21	2	11	2	1			13	1	1			
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	8	1770935	Deaver, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770935	Sr	OF	38	26		0.250	0.269	0.333	4	24	6	2		8		2	1		1	1	5					
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	5	1884316	Boudreaux, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884316	Jr	INF	34	19		0.250	0.250	0.250	1	8	2			2		1				1	3	1			1	
