year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2015	12080	3	vs_lhb	10298	4	Adrian	11	1434144	Eng, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1434144	Jr	P	30	24	 	 	 	0.00	2.6	3	0	0	2	1	 	17	15	 	 	 	 	1	 	 	 	 	 	 	 	4	7	 	 	 	1
2015	12080	3	vs_lhb	10298	4	Adrian	37	1668513	Korte, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1668513	Fr	P	19	2	 	 	 	0.00	3.2	8	0	0	0	4	 	25	24	 	 	 	 	 	 	0	 	 	 	 	 	10	3	 	 	 	4
2015	12080	3	vs_lhb	10298	4	Adrian	17	1321503	Schmidt, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321503	Sr	P	12	12	 	 	 	0.00	8.2	3	0	0	2	4	 	27	24	 	 	 	 	 	 	 	 	 	 	 	 	10	8	 	 	 	 
2015	12080	3	vs_lhb	10298	4	Adrian	40	1558776	Frayer, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558776	Jr	P	12	12	 	 	 	0.00	6.9	13	0	0	5	5	 	46	39	3	 	 	1	 	 	0	 	 	 	 	 	12	9	 	 	 	1
2015	12080	3	vs_lhb	10298	4	Adrian	36	1664109	Parsons, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1664109	Fr	P	12	9	 	 	 	0.00	3.6	7	0	0	1	4	 	23	22	 	 	 	 	 	 	 	 	 	 	 	 	6	5	 	 	 	1
2015	12080	3	vs_lhb	10298	4	Adrian	22	1663964	Dunn, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663964	So	P	8	0	 	 	 	0.00	0.1	1	0	0	0	0	 	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	3	vs_lhb	10298	4	Adrian	13	1558777	Hamilton, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558777	Sr	P	8	0	 	 	 	0.00	0.2	0	0	0	0	0	 	2	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 
2015	12080	3	vs_lhb	10298	4	Adrian	35	1668514	Gnodtke, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1668514	Fr	P	7	1	 	 	 		0.0	1	0	0	0	0	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	vs_lhb	10298	4	Adrian	30	1558661	Healy, Shane	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558661	So	P	7	1	 	 	 	0.00	0.1	1	0	0	0	0	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	21	1334153	Pellegrino, Anthony	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1334153	Sr	INF	32	31	 	 	 	0.00	0.2	1	0	0	0	1	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	51	1532063	Gravel, Ted	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1532063	Sr	C	21	13	 	 	 	0.00	0.1	0	0	0	0	0	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	9	1300690	Purgatore, Vinny	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1300690	Sr	INF	16	10	 	 	 	0.00	0.1	0	0	0	0	1	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	17	1532067	Moore, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1532067	So	P	15	0	 	 	 	0.00	0.1	3	0	0	0	0	 	4	4	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	46	1300694	Saunders, Christopher	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1300694	Sr	P	11	0	 	 	 	0.00	0.1	0	0	0	0	0	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	28	1423097	Hughes, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1423097	Jr	P	10	3	 	 	 	0.00	1.0	3	0	0	0	0	 	6	6	1	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	 	 
2015	12080	3	vs_lhb	10298	2798	Albertus Magnus	40	1532060	Criscio, Jon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1532060	So	OF	7	5	 	 	 	0.00	2.2	2	0	0	3	2	 	13	9	1	 	 	1	 	 	 	 	 	 	 	 	4	2	 	 	 	 
