year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	26172	A&M-Corpus Chris	-	Totals	-	-	-	-	""	""	""	5.92	468.0	""	544	371	308	240	354	""	2215	1857	103	13	3	34	47	60	4	""	""	40	18	""	479	485	""	""	""	106
2017	12560	26172	A&M-Corpus Chris	-	Opponent Totals	-	-	-	-	""	""	""	4.65	468.0	""	501	297	242	176	380	2	2085	1812	77	22	4	23	45	36	2	""	""	38	21	""	536	404	""	""	""	102
2017	12560	2	Abilene Christian	-	Totals	-	-	-	-	""	""	""	7.03	483.2	""	618	454	378	326	376	3	2423	1963	109	23	15	48	70	63	2	""	""	33	37	""	423	568	""	""	""	98
2017	12560	2	Abilene Christian	-	Opponent Totals	-	-	-	-	""	""	""	3.99	496.1	""	523	277	220	166	373	3	2180	1915	111	8	5	31	35	30	6	""	""	46	23	""	527	510	""	""	""	90
2017	12560	721	Air Force	-	Totals	-	-	-	-	""	""	""	7.58	463.1	""	636	440	390	270	379	1	2286	1911	140	18	6	62	56	46	4	""	""	28	29	""	530	385	""	""	""	97
2017	12560	721	Air Force	-	Opponent Totals	-	-	-	-	""	""	""	7.49	463.2	""	678	465	386	200	376	""	2274	1969	153	19	6	75	59	56	4	""	""	21	23	""	459	447	""	""	""	100
2017	12560	8	Alabama	-	Totals	-	-	-	-	""	""	""	4.83	484.2	""	516	306	260	260	421	1	2215	1867	86	6	9	27	88	35	17	""	""	27	23	""	510	437	""	""	""	103
2017	12560	8	Alabama	-	Opponent Totals	-	-	-	-	""	""	""	4.51	481.1	""	476	280	241	207	408	1	2134	1812	90	6	9	46	66	52	7	""	""	38	25	""	462	490	""	""	""	111
2017	12560	6	Alabama A&M	-	Totals	-	-	-	-	""	""	""	7.29	470.2	""	609	489	381	320	319	3	2424	1966	111	17	18	38	70	75	2	""	""	32	28	""	442	563	""	""	""	99
2017	12560	6	Alabama A&M	-	Opponent Totals	-	-	-	-	""	""	""	2.55	490.0	""	434	203	139	148	449	4	2072	1851	74	7	3	11	43	31	1	""	""	34	7	""	476	465	""	""	""	124
2017	12560	7	Alabama St.	-	Totals	-	-	-	-	""	""	""	4.59	489.2	""	534	305	250	213	426	2	2244	1912	91	16	7	32	39	55	15	""	""	44	20	""	452	518	""	""	""	105
2017	12560	7	Alabama St.	-	Opponent Totals	-	-	-	-	""	""	""	5.71	490.1	""	561	377	311	232	405	1	2328	1966	110	7	3	50	43	70	2	""	""	29	31	""	504	495	""	""	""	101
2017	12560	14	Albany (NY)	-	Totals	-	-	-	-	""	""	""	5.11	430.0	""	495	301	244	204	283	1	2017	1698	76	16	5	28	30	50	7	""	""	40	25	""	443	489	""	""	""	92
2017	12560	14	Albany (NY)	-	Opponent Totals	-	-	-	-	""	""	""	4.26	435.2	""	442	270	206	207	363	6	1967	1700	73	12	6	31	36	34	2	""	""	9	17	""	435	438	""	""	""	134
2017	12560	17	Alcorn	-	Totals	-	-	-	-	""	""	""	6.68	374.2	""	528	355	278	210	281	1	1907	1580	108	13	3	34	72	53	8	""	""	35	29	""	353	431	""	""	""	73
2017	12560	17	Alcorn	-	Opponent Totals	-	-	-	-	""	""	""	3.73	388.0	""	377	200	161	161	376	6	1724	1497	60	8	5	17	27	34	1	""	""	19	13	""	341	386	""	""	""	115
2017	12560	27	Appalachian St.	-	Totals	-	-	-	-	""	""	""	5.14	473.0	""	559	324	270	204	411	""	2187	1879	87	13	3	48	49	50	4	""	""	33	21	""	480	446	""	""	""	101
2017	12560	27	Appalachian St.	-	Opponent Totals	-	-	-	-	""	""	""	3.89	486.0	""	448	241	210	208	512	5	2122	1829	76	7	4	41	45	40	4	""	""	31	11	""	468	416	""	""	""	173
2017	12560	29	Arizona	-	Totals	-	-	-	-	""	""	""	4.36	522.0	""	546	303	253	207	444	3	2349	2016	111	14	4	27	50	58	29	""	""	44	24	""	536	509	""	""	""	127
2017	12560	29	Arizona	-	Opponent Totals	-	-	-	-	""	""	""	6.69	509.2	""	633	453	379	276	343	2	2485	2055	133	17	7	36	56	70	9	""	""	50	31	""	543	567	""	""	""	102
2017	12560	28	Arizona St.	-	Totals	-	-	-	-	""	""	""	5.53	483.0	""	565	349	297	262	367	1	2279	1907	104	16	5	29	63	52	12	""	""	33	24	""	513	480	""	""	""	104
2017	12560	28	Arizona St.	-	Opponent Totals	-	-	-	-	""	""	""	4.53	482.1	""	506	277	243	162	390	6	2107	1872	89	22	7	38	51	21	8	""	""	23	29	""	497	494	""	""	""	91
2017	12560	2678	Ark.-Pine Bluff	-	Totals	-	-	-	-	""	""	""	6.29	392.1	""	443	359	274	252	212	""	1912	1528	98	18	9	33	47	66	7	""	""	36	29	""	395	488	""	""	""	71
2017	12560	2678	Ark.-Pine Bluff	-	Opponent Totals	-	-	-	-	""	""	""	4.26	410.1	""	381	243	194	180	372	1	1819	1540	69	10	10	26	44	54	1	""	""	31	13	""	353	435	""	""	""	85
2017	12560	31	Arkansas	-	Totals	-	-	-	-	""	""	""	3.61	564.0	""	487	254	226	207	619	7	2397	2095	86	4	5	53	44	56	2	""	""	23	15	""	488	509	""	""	""	179
2017	12560	31	Arkansas	-	Opponent Totals	-	-	-	-	""	""	""	6.24	543.1	""	627	422	377	258	463	3	2571	2194	97	13	8	83	74	63	14	""	""	25	24	""	510	598	""	""	""	116
2017	12560	30	Arkansas St.	-	Totals	-	-	-	-	""	""	""	5.28	487.2	""	501	345	286	281	462	3	2271	1883	93	12	7	30	61	51	8	""	""	29	26	""	452	477	""	""	""	145
2017	12560	30	Arkansas St.	-	Opponent Totals	-	-	-	-	""	""	""	5.44	483.1	""	455	331	292	246	451	4	2215	1792	89	14	8	34	67	100	6	""	""	46	31	""	400	528	""	""	""	127
2017	12560	725	Army West Point	-	Totals	-	-	-	-	""	""	""	5.77	471.0	""	492	356	302	236	402	2	2225	1830	110	10	4	48	74	100	2	""	""	38	19	""	466	475	""	""	""	114
2017	12560	725	Army West Point	-	Opponent Totals	-	-	-	-	""	""	""	4.50	477.2	""	460	307	239	193	398	6	2146	1804	72	13	4	29	62	84	1	""	""	45	19	""	485	466	""	""	""	94
2017	12560	37	Auburn	-	Totals	-	-	-	-	""	""	""	4.36	562.0	""	559	303	272	181	485	7	2439	2148	109	10	5	41	44	45	11	""	""	40	23	""	583	547	""	""	""	113
2017	12560	37	Auburn	-	Opponent Totals	-	-	-	-	""	""	""	4.96	547.2	""	579	363	302	280	445	4	2498	2115	124	13	6	30	61	52	9	""	""	17	32	""	545	543	""	""	""	126
2017	12560	43	Austin Peay	-	Totals	-	-	-	-	""	""	""	6.34	519.2	""	597	416	366	244	466	2	2422	2070	116	8	4	84	51	50	13	""	""	34	22	""	481	541	""	""	""	143
2017	12560	43	Austin Peay	-	Opponent Totals	-	-	-	-	""	""	""	6.03	522.1	""	589	391	350	249	480	1	2415	2051	115	14	8	84	59	61	9	""	""	34	19	""	530	471	""	""	""	127
2017	12560	77	BYU	-	Totals	-	-	-	-	""	""	""	4.76	527.0	""	603	321	279	218	423	2	2387	2080	105	23	12	32	72	39	1	""	""	28	22	""	544	520	""	""	""	137
2017	12560	77	BYU	-	Opponent Totals	-	-	-	-	""	""	""	6.98	520.2	""	696	477	404	242	360	1	2524	2185	122	15	5	75	71	39	3	""	""	18	40	""	484	650	""	""	""	84
2017	12560	47	Ball St.	-	Totals	-	-	-	-	""	""	""	4.55	514.0	""	510	297	260	272	491	3	2347	1950	67	14	7	26	65	61	9	""	""	38	24	""	457	521	""	""	""	141
2017	12560	47	Ball St.	-	Opponent Totals	-	-	-	-	""	""	""	5.03	511.2	""	536	342	286	255	443	5	2337	1960	110	17	6	33	36	49	4	""	""	51	22	""	505	498	""	""	""	138
2017	12560	51	Baylor	-	Totals	-	-	-	-	""	""	""	4.52	501.2	""	526	287	252	254	439	6	2238	1908	91	11	10	47	22	32	1	""	""	18	24	""	393	562	""	""	""	122
2017	12560	51	Baylor	-	Opponent Totals	-	-	-	-	""	""	""	5.75	490.1	""	565	344	313	233	360	4	2248	1913	103	14	2	51	51	42	7	""	""	39	21	""	517	499	""	""	""	96
2017	12560	14927	Belmont	-	Totals	-	-	-	-	""	""	""	5.52	533.0	""	629	379	327	233	497	2	2499	2142	122	5	2	72	53	69	7	""	""	33	22	""	466	565	""	""	""	127
2017	12560	14927	Belmont	-	Opponent Totals	-	-	-	-	""	""	""	5.27	529.1	""	560	358	310	270	434	4	2413	2035	128	9	2	53	53	53	5	""	""	33	21	""	495	559	""	""	""	129
2017	12560	61	Bethune-Cookman	-	Totals	-	-	-	-	""	""	""	4.53	510.2	""	506	307	257	222	345	3	2303	1950	74	4	2	36	65	82	2	""	""	21	26	""	489	613	""	""	""	102
2017	12560	61	Bethune-Cookman	-	Opponent Totals	-	-	-	-	""	""	""	5.02	504.0	""	578	373	281	196	435	1	2340	2006	103	22	5	36	57	68	3	""	""	35	34	""	509	485	""	""	""	103
2017	12560	62	Binghamton	-	Totals	-	-	-	-	""	""	""	3.50	370.2	""	334	170	144	134	275	6	1598	1405	58	10	5	28	21	26	4	""	""	24	9	""	391	405	""	""	""	75
2017	12560	62	Binghamton	-	Opponent Totals	-	-	-	-	""	""	""	5.72	361.2	""	404	253	230	172	266	""	1650	1418	88	9	8	33	33	20	7	""	""	16	24	""	361	406	""	""	""	70
2017	12560	67	Boston College	-	Totals	-	-	-	-	""	""	""	5.32	453.1	""	452	300	268	233	341	3	2054	1705	94	6	13	41	48	62	10	""	""	27	27	""	413	520	""	""	""	103
2017	12560	67	Boston College	-	Opponent Totals	-	-	-	-	""	""	""	4.18	454.0	""	432	248	211	208	420	6	1999	1708	72	6	3	15	57	36	4	""	""	28	19	""	429	437	""	""	""	120
2017	12560	71	Bowling Green	-	Totals	-	-	-	-	""	""	""	6.30	430.0	""	513	366	301	232	286	1	2060	1714	106	15	6	45	39	52	5	""	""	34	28	""	436	491	""	""	""	80
2017	12560	71	Bowling Green	-	Opponent Totals	-	-	-	-	""	""	""	3.73	444.0	""	404	220	184	174	426	6	1940	1666	72	4	5	24	32	51	1	""	""	33	16	""	443	397	""	""	""	114
2017	12560	72	Bradley	-	Totals	-	-	-	-	""	""	""	6.82	435.1	""	519	366	330	210	304	3	2076	1762	116	11	7	62	50	48	5	""	""	35	20	""	393	555	""	""	""	86
2017	12560	72	Bradley	-	Opponent Totals	-	-	-	-	""	""	""	4.84	446.1	""	464	288	240	169	400	""	2016	1733	73	13	4	45	44	60	1	""	""	36	18	""	437	453	""	""	""	93
2017	12560	80	Brown	-	Totals	-	-	-	-	""	""	""	4.35	304.1	""	331	177	147	103	243	1	1351	1193	47	4	3	31	21	31	1	""	""	16	8	""	342	280	""	""	""	69
2017	12560	80	Brown	-	Opponent Totals	-	-	-	-	""	""	""	3.75	310.0	""	311	156	129	149	290	1	1381	1176	54	12	3	18	28	23	2	""	""	18	14	""	258	328	""	""	""	82
2017	12560	81	Bryant	-	Totals	-	-	-	-	""	""	""	4.41	467.2	""	442	291	229	273	398	4	2143	1781	68	11	6	27	57	43	8	""	""	23	22	""	443	481	""	""	""	118
2017	12560	81	Bryant	-	Opponent Totals	-	-	-	-	""	""	""	5.51	473.1	""	510	324	290	248	329	2	2220	1851	94	20	8	34	44	63	4	""	""	32	26	""	523	505	""	""	""	102
2017	12560	83	Bucknell	-	Totals	-	-	-	-	""	""	""	5.54	406.1	""	446	293	250	198	346	6	1886	1568	90	9	10	28	46	72	2	""	""	26	22	""	398	390	""	""	""	92
2017	12560	83	Bucknell	-	Opponent Totals	-	-	-	-	""	""	""	4.50	411.2	""	430	237	206	186	322	2	1869	1609	91	14	5	22	30	41	1	""	""	19	14	""	447	414	""	""	""	85
2017	12560	86	Buffalo	-	Totals	-	-	-	-	""	""	""	6.49	428.1	""	536	360	309	268	344	1	2101	1712	109	18	8	32	45	58	""	""	""	43	20	""	421	440	""	""	""	87
