year	year_id	stat_category	year_stat_category_id	option_name	option_id
2012	10942	hitting	10082	with 2 outs	10092
2012	10942	hitting	10082	vs RHP	10093
2012	10942	hitting	10082	leadoff pct	10094
2012	10942	hitting	10082	RBI3rd	10095
2012	10942	hitting	10082	H-Pinchit	10096
2012	10942	hitting	10082	Adv-Ops	10097
2012	10942	hitting	10082	with runrs	10098
2012	10942	hitting	10082	hits scorepos	10099
2012	10942	hitting	10082	vs LHP	10100
2012	10942	hitting	10082	with runrs2	10104
2012	10942	hitting	10082	with scorepos2	10105
2012	10942	hitting	10082	bases empty	10106
2012	10942	hitting	10082	bases loaded	10107
2012	10942	pitching	10083	leadoff pct	10108
2012	10942	pitching	10083	runners	10109
2012	10942	pitching	10083	vs LHB	10110
2012	10942	pitching	10083	with 2Outs	10111
2012	10942	pitching	10083	emtpy	10112
2012	10942	pitching	10083	with scorepos	10113
2012	10942	pitching	10083	with scorepos2	10114
2012	10942	pitching	10083	with runners2	10115
2012	10942	pitching	10083	bases loaded	10116
2012	10942	pitching	10083	vs RHB	10117
