year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12360	3	vs_lhb	10552	4	Adrian	30	1558661	Healy, Shane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1558661	Jr	P	16	4				0.00	2.5		2	0	0	2	2		15	13													5	4				1
2016	12360	3	vs_lhb	10552	4	Adrian	22	1663964	Dunn, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1663964	Jr	P	15	2				0.00	0.3		2	0	0	0	2		6	6														1				
2016	12360	3	vs_lhb	10552	4	Adrian	44	1780076	Shepherd, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1780076	Jr	P	13	7				0.00	3.6		2	0	0	2	2		16	14					1								5	5				
2016	12360	3	vs_lhb	10552	4	Adrian	8	1777572	Hasse, Parker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1777572	N/A	P	13	0				0.00	0.4		4	0	0	1	0		9	7	1				1								4					
2016	12360	3	vs_lhb	10552	4	Adrian	15	1777578	McComas, Guy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1777578	So	P	13	1					0.0		3	0	0	0	0		3	3	3																	
2016	12360	3	vs_lhb	10552	4	Adrian	36	1664109	Parsons, Tommy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1664109	So	P	13	11				0.00	4.6		6	0	0	1	1		26	25	1												8	9				
2016	12360	3	vs_lhb	10552	4	Adrian	11	1434144	Eng, Tommy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1434144	Sr	P	12	5				0.00	1.3		4	0	0	0	3		10	10													3					
2016	12360	3	vs_lhb	10552	4	Adrian	40	1558776	Frayer, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1558776	Sr	P	10	10				0.00	2.0		4	0	0	0	0		9	8	1												5					
2016	12360	3	vs_lhb	10552	4	Adrian	12	1668515	Rea, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1668515	So	P	7	0				0.00	0.1		0	0	0	0	0		1	1													1					
2016	12360	3	vs_lhb	10552	4	Adrian	45	1783014	Kelley, Dillon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1783014	So	P	6	0					0.0		1	0	0	0	0		1	1	1																	
2016	12360	3	vs_lhb	10552	4	Adrian	35	1668514	Gnodtke, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1668514	So	P	5	1				0.00	0.1		1	0	0	0	0		2	2														1				
2016	12360	3	vs_lhb	10552	4	Adrian	27	1668519	Stevens, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1668519	Jr	P	3	1				0.00	0.1		0	0	0	0	0		1	1													1					
