year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2016	12360	4	Adrian	-	Totals	-	-	-	-	""	0.333	0.438	0.485	366	1380	460	95	15	""	28	320	228	47	24	34	203	37	15	""	66	""
2016	12360	4	Adrian	-	Opponent Totals	-	-	-	-	""	0.279	0.352	0.364	183	1317	367	61	5	""	14	159	131	28	18	29	213	31	17	""	27	""
2016	12360	2798	Albertus Magnus	-	Totals	-	-	-	-	""	0.267	0.344	0.344	141	1005	268	43	10	""	5	123	104	20	9	20	154	23	12	""	36	""
2016	12360	2798	Albertus Magnus	-	Opponent Totals	-	-	-	-	""	0.302	0.398	0.417	248	1043	315	55	19	""	9	204	127	51	17	16	162	21	16	""	51	""
2016	12360	15	Albion	-	Totals	-	-	-	-	""	0.279	0.385	0.378	240	1299	363	57	7	""	19	216	201	29	13	25	225	25	14	""	47	""
2016	12360	15	Albion	-	Opponent Totals	-	-	-	-	""	0.308	0.412	0.417	256	1271	392	74	5	""	18	219	200	38	19	43	236	26	23	""	76	""
2016	12360	16	Albright	-	Totals	-	-	-	-	""	0.234	0.314	0.289	114	1067	250	36	5	""	4	94	110	17	8	6	256	27	7	""	14	""
2016	12360	16	Albright	-	Opponent Totals	-	-	-	-	""	0.344	0.428	0.474	279	1116	384	73	12	""	16	242	144	35	21	23	176	27	12	""	63	""
2016	12360	19	Allegheny	-	Totals	-	-	-	-	""	0.321	0.391	0.468	257	1189	382	72	11	""	27	232	114	28	10	32	156	22	20	""	44	""
2016	12360	19	Allegheny	-	Opponent Totals	-	-	-	-	""	0.283	0.363	0.392	206	1132	320	59	7	""	17	184	118	35	19	19	219	23	18	""	45	""
2016	12360	21	Alma	-	Totals	-	-	-	-	""	0.300	0.387	0.398	254	1302	390	80	12	""	8	222	160	40	22	27	266	17	25	""	69	""
2016	12360	21	Alma	-	Opponent Totals	-	-	-	-	""	0.288	0.363	0.368	213	1309	377	58	7	""	11	193	136	25	13	38	250	31	11	""	33	""
2016	12360	938	Alvernia	-	Totals	-	-	-	-	""	0.321	0.406	0.459	298	1329	427	65	17	""	28	267	164	36	15	45	241	22	11	""	33	""
2016	12360	938	Alvernia	-	Opponent Totals	-	-	-	-	""	0.273	0.339	0.362	173	1255	343	64	7	""	11	142	105	25	10	21	224	37	21	""	31	""
2016	12360	24	Amherst	-	Totals	-	-	-	-	""	0.316	0.395	0.430	251	1295	409	78	11	""	16	218	137	44	19	29	175	35	23	""	50	""
2016	12360	24	Amherst	-	Opponent Totals	-	-	-	-	""	0.256	0.351	0.348	188	1232	315	59	5	""	15	163	137	51	14	18	216	28	14	""	39	""
2016	12360	939	Anderson (IN)	-	Totals	-	-	-	-	""	0.257	0.335	0.375	163	1223	314	70	18	""	13	147	101	48	10	20	266	22	15	""	31	""
2016	12360	939	Anderson (IN)	-	Opponent Totals	-	-	-	-	""	0.263	0.360	0.355	204	1224	322	60	13	""	9	173	163	34	22	35	305	24	13	""	47	""
2016	12360	26	Anna Maria	-	Totals	-	-	-	-	""	0.259	0.333	0.328	149	1073	278	42	10	""	4	124	101	22	7	10	207	28	20	""	53	""
2016	12360	26	Anna Maria	-	Opponent Totals	-	-	-	-	""	0.343	0.461	0.483	317	1117	383	78	14	""	17	268	214	58	31	16	130	24	21	""	94	""
2016	12360	966	Arcadia	-	Totals	-	-	-	-	""	0.297	0.372	0.424	212	1178	350	76	14	""	15	178	104	47	17	17	164	18	16	""	42	""
2016	12360	966	Arcadia	-	Opponent Totals	-	-	-	-	""	0.273	0.352	0.349	166	1146	313	47	11	""	6	139	123	25	15	16	195	21	14	""	44	""
2016	12360	38	Augsburg	-	Totals	-	-	-	-	""	0.324	0.405	0.481	301	1223	396	76	22	""	24	274	144	33	14	11	202	32	18	""	22	""
2016	12360	38	Augsburg	-	Opponent Totals	-	-	-	-	""	0.333	0.394	0.497	246	1209	402	72	17	""	31	231	100	35	20	17	170	28	11	""	41	""
2016	12360	40	Augustana (IL)	-	Totals	-	-	-	-	""	0.309	0.391	0.412	307	1556	481	74	19	""	16	259	171	47	15	39	204	31	17	""	51	""
2016	12360	40	Augustana (IL)	-	Opponent Totals	-	-	-	-	""	0.242	0.335	0.310	205	1459	353	60	5	""	10	170	182	27	9	17	393	39	13	""	45	""
2016	12360	42	Aurora	-	Totals	-	-	-	-	""	0.285	0.370	0.365	259	1465	418	66	4	""	14	219	153	53	16	28	235	44	16	""	33	""
2016	12360	42	Aurora	-	Opponent Totals	-	-	-	-	""	0.280	0.379	0.384	234	1436	402	75	10	""	18	205	173	62	10	20	236	33	20	""	50	""
2016	12360	953	Austin	-	Totals	-	-	-	-	""	0.268	0.361	0.328	157	1058	284	44	5	""	3	130	124	34	9	20	195	23	24	""	40	""
2016	12360	953	Austin	-	Opponent Totals	-	-	-	-	""	0.307	0.405	0.420	240	1106	340	64	6	""	16	203	143	49	15	32	176	17	30	""	64	""
2016	12360	44	Averett	-	Totals	-	-	-	-	""	0.273	0.351	0.355	227	1363	372	68	7	""	10	196	119	51	11	56	287	28	24	""	92	""
2016	12360	44	Averett	-	Opponent Totals	-	-	-	-	""	0.303	0.392	0.391	263	1460	442	89	8	""	8	237	181	43	16	29	292	30	20	""	52	""
2016	12360	45	Babson	-	Totals	-	-	-	-	""	0.298	0.372	0.416	281	1424	425	85	17	""	16	239	141	36	16	19	223	20	29	""	79	""
2016	12360	45	Babson	-	Opponent Totals	-	-	-	-	""	0.274	0.351	0.393	214	1392	382	62	8	""	29	188	123	49	14	14	218	46	12	""	49	""
2016	12360	46	Baldwin Wallace	-	Totals	-	-	-	-	""	0.284	0.376	0.391	290	1482	421	84	9	""	19	251	190	43	24	31	279	30	16	""	55	""
2016	12360	46	Baldwin Wallace	-	Opponent Totals	-	-	-	-	""	0.273	0.352	0.345	217	1445	394	66	6	""	9	188	138	44	11	33	324	34	26	""	44	""
2016	12360	962	Bard	-	Totals	-	-	-	-	""	0.281	0.360	0.350	185	1209	340	43	8	""	8	145	134	25	17	29	207	30	20	""	57	""
2016	12360	962	Bard	-	Opponent Totals	-	-	-	-	""	0.299	0.384	0.410	264	1262	377	67	20	""	11	227	155	29	15	27	148	14	20	""	69	""
2016	12360	58	Baruch	-	Totals	-	-	-	-	""	0.265	0.365	0.351	169	978	259	70	4	""	2	137	115	45	10	15	199	28	13	""	34	""
2016	12360	58	Baruch	-	Opponent Totals	-	-	-	-	""	0.307	0.398	0.411	219	1035	318	55	14	""	8	188	138	29	16	10	181	26	8	""	64	""
2016	12360	50	Bates	-	Totals	-	-	-	-	""	0.281	0.364	0.369	162	1090	306	47	8	""	11	135	107	40	7	46	211	24	18	""	41	""
2016	12360	50	Bates	-	Opponent Totals	-	-	-	-	""	0.246	0.355	0.311	188	1075	264	39	5	""	7	156	133	57	15	30	261	27	9	""	70	""
2016	12360	26107	Becker	-	Totals	-	-	-	-	""	0.300	0.371	0.419	230	1173	352	51	17	""	18	199	119	21	14	10	247	21	20	""	69	""
2016	12360	26107	Becker	-	Opponent Totals	-	-	-	-	""	0.314	0.395	0.420	250	1201	377	56	16	""	13	208	127	47	19	17	154	30	11	""	79	""
2016	12360	53	Beloit	-	Totals	-	-	-	-	""	0.277	0.389	0.362	268	1362	377	73	5	""	11	231	224	43	26	33	219	36	14	""	56	""
2016	12360	53	Beloit	-	Opponent Totals	-	-	-	-	""	0.270	0.334	0.363	187	1355	366	68	8	""	14	160	119	20	16	34	198	27	15	""	24	""
2016	12360	296	Benedictine (IL)	-	Totals	-	-	-	-	""	0.273	0.360	0.354	230	1374	375	44	10	""	16	202	137	57	12	17	213	36	25	""	88	""
2016	12360	296	Benedictine (IL)	-	Opponent Totals	-	-	-	-	""	0.265	0.342	0.348	185	1383	366	55	6	""	16	165	138	30	11	21	244	35	19	""	29	""
2016	12360	973	Berry	-	Totals	-	-	-	-	""	0.302	0.388	0.397	301	1414	427	70	8	""	16	254	162	52	23	43	171	48	25	""	80	""
2016	12360	973	Berry	-	Opponent Totals	-	-	-	-	""	0.312	0.366	0.379	238	1489	464	55	9	""	9	207	97	40	17	28	216	43	13	""	74	""
2016	12360	59	Bethany (WV)	-	Totals	-	-	-	-	""	0.246	0.316	0.307	125	1106	272	36	4	""	8	113	85	31	5	27	198	29	8	""	8	""
2016	12360	59	Bethany (WV)	-	Opponent Totals	-	-	-	-	""	0.320	0.372	0.443	219	1171	375	75	9	""	17	190	83	22	14	20	161	36	11	""	23	""
2016	12360	30038	Bethany Lutheran	-	Totals	-	-	-	-	""	0.298	0.376	0.445	202	962	287	59	5	""	24	185	95	30	10	19	142	16	11	""	34	""
2016	12360	30038	Bethany Lutheran	-	Opponent Totals	-	-	-	-	""	0.339	0.413	0.484	265	1015	344	74	17	""	13	233	94	46	17	17	173	19	10	""	53	""
2016	12360	60	Bethel (MN)	-	Totals	-	-	-	-	""	0.330	0.405	0.446	244	1229	406	80	13	""	12	223	139	29	19	15	153	31	11	""	23	""
2016	12360	60	Bethel (MN)	-	Opponent Totals	-	-	-	-	""	0.296	0.363	0.426	208	1187	351	58	8	""	27	188	95	39	14	18	234	32	13	""	25	""
2016	12360	28593	Birmingham-So.	-	Totals	-	-	-	-	""	0.314	0.386	0.421	356	1776	558	104	13	""	20	311	169	60	33	25	278	42	21	""	104	""
2016	12360	28593	Birmingham-So.	-	Opponent Totals	-	-	-	-	""	0.232	0.322	0.298	204	1653	384	52	7	""	14	161	172	51	11	34	322	55	19	""	61	""
2016	12360	64	Blackburn	-	Totals	-	-	-	-	""	0.309	0.373	0.410	222	1270	392	56	11	""	17	207	112	31	22	17	254	30	13	""	21	""
2016	12360	64	Blackburn	-	Opponent Totals	-	-	-	-	""	0.343	0.424	0.517	334	1340	459	99	18	""	33	294	163	40	19	23	204	21	14	""	67	""
2016	12360	987	Bluffton	-	Totals	-	-	-	-	""	0.246	0.330	0.317	174	1388	342	57	4	""	11	150	149	29	12	29	277	30	14	""	38	""
2016	12360	987	Bluffton	-	Opponent Totals	-	-	-	-	""	0.320	0.404	0.437	301	1453	465	88	11	""	20	264	172	52	30	36	284	31	18	""	47	""
2016	12360	69	Bowdoin	-	Totals	-	-	-	-	""	0.263	0.340	0.357	186	1064	280	54	11	""	8	162	90	43	16	22	240	20	16	""	35	""
2016	12360	69	Bowdoin	-	Opponent Totals	-	-	-	-	""	0.287	0.353	0.379	181	1128	324	75	5	""	6	158	73	49	15	17	183	24	16	""	45	""
2016	12360	73	Brandeis	-	Totals	-	-	-	-	""	0.308	0.360	0.427	223	1260	388	73	16	""	15	191	93	22	21	10	210	27	15	""	33	""
2016	12360	73	Brandeis	-	Opponent Totals	-	-	-	-	""	0.295	0.376	0.390	228	1248	368	84	7	""	7	192	122	48	12	17	205	30	21	""	51	""
2016	12360	75	Bridgewater (VA)	-	Totals	-	-	-	-	""	0.302	0.371	0.398	263	1453	439	76	8	""	16	234	140	31	18	29	214	20	11	""	52	""
2016	12360	75	Bridgewater (VA)	-	Opponent Totals	-	-	-	-	""	10.480	13.457	13.842	219	1414	375	50	10	""	18	198	132	30	10	34	242	36	19	""	48	""
2016	12360	76	Bridgewater St.	-	Totals	-	-	-	-	""	0.270	0.329	0.326	135	1032	279	34	4	""	5	117	65	28	7	23	136	26	10	""	25	""
2016	12360	76	Bridgewater St.	-	Opponent Totals	-	-	-	-	""	0.290	0.371	0.378	162	1046	303	51	4	""	11	141	101	41	10	23	194	27	10	""	42	""
