year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	1	26172	A&M-Corpus Chris	2	1314523	Lee, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314523	Sr	OF	8	8	 	0.500	0.500	0.500	4	1	2	 	 	""	 	1	 	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	24	1652723	Perales, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652723	Jr	1B	8	7	 	0.500	0.500	1.000	2	0	1	1	 	""	 	2	 	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	12	1652722	Clarke, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652722	Jr	3B	8	7	 	1.000	1.000	1.000	1	1	1	 	 	""	 	1	 	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	3	1652721	Thomas, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652721	Jr	SS	8	8	 	0.500	0.667	0.500	2	0	1	 	 	""	 	0	1	 	 	 	1	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	17	1314588	Danford, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314588	Sr	OF	8	8	 	1.000	1.000	1.000	1	2	1	 	 	""	 	1	1	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546814	So	SS	8	8	 	0.000	0.667	0.000	1	1	0	 	 	""	 	1	2	 	 	 	1	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	23	1546835	Ware, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546835	Sr	OF	8	8	 	""	1.000	""	0	0	0	 	 	""	 	0	2	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	13	1546817	Geiser, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546817	So	OF	7	2	 	0.000	0.250	0.000	3	0	0	 	 	""	 	0	1	 	 	 	3	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546820	So	C	7	7	 	0.000	0.500	0.000	1	1	0	 	 	""	 	0	1	 	 	 	 	 	 	 	 
2015	12080	1	26172	A&M-Corpus Chris	22	1546831	Salas, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546831	Sr	1B	7	7	 	0.000	0.000	0.000	1	0	0	 	 	""	 	0	 	 	 	 	1	 	 	 	 
