year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	3	4	Adrian	21	1557011	Mikowski, Ian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557011	So	OF	3	2	3	0.250	0.333	0.250	8	1	2	 	 	""	 	 	1	 	 	 	1	 	 	 	 
2015	12080	3	4	Adrian	26	1321506	Yax, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321506	Sr	INF	3	2	3	0.143	0.143	0.143	7	2	1	 	 	""	 	 	 	 	 	 	3	 	1	 	 
2015	12080	3	4	Adrian	10	1448955	Gertley, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1448955	Jr	OF	3	3	3	0.400	0.500	0.900	10	4	4	2	 	""	1	3	1	2	1	 	2	1	 	 	 
2015	12080	3	4	Adrian	14	1556197	Shutes, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556197	Sr	OF	3	3	3	0.286	0.500	0.286	7	1	2	 	 	""	 	2	3	1	1	 	 	 	 	 	 
2015	12080	3	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1556318	So	SS	3	3	3	0.250	0.357	0.333	12	1	3	1	 	""	 	2	2	 	 	 	4	 	1	 	 
2015	12080	3	4	Adrian	16	1663959	Knorr, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663959	N/A	LF	3	2	3	0.286	0.375	0.429	7	2	2	1	 	""	 	 	1	 	 	 	2	 	 	 	 
2015	12080	3	4	Adrian	29	1663960	Parcher, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663960	N/A	1B	3	3	3	0.273	0.273	0.455	11	1	3	2	 	""	 	1	 	 	 	 	2	 	 	 	 
2015	12080	3	4	Adrian	8	1434144	Eng, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1434144	Jr	P	2	1	2	0.250	0.250	0.250	4	 	1	 	 	""	 	 	 	 	 	 	1	 	 	1	 
2015	12080	3	4	Adrian	39	1559643	Cararo, Dakota	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1559643	So	C	2	2	2	0.333	0.500	0.333	6	 	2	 	 	""	 	 	2	 	 	 	1	 	1	 	 
2015	12080	3	4	Adrian	28	1663961	Wilds, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663961	N/A	PH	2	0	2	0.000	0.500	0.000	1	 	 	 	 	""	 	 	1	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	23	1321504	Joseph, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321504	Sr	INF	2	1	2	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	5	1449370	Andrus, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1449370	Jr	INF	2	1	2	0.000	0.250	0.000	3	 	 	 	 	""	 	 	1	 	 	 	1	 	 	 	 
2015	12080	3	4	Adrian	32	1549581	Glodich, Gunnar	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1549581	Jr	P	2	0	2	0.000	0.000	0.000	2	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	3	1549584	Potter, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1549584	Jr	OF	2	2	2	0.000	0.000	0.000	7	 	 	 	 	""	 	 	 	 	 	 	3	 	 	 	 
2015	12080	3	4	Adrian	31	1557012	Drzewiecki, Miccoy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557012	So	1B	2	0	2	0.500	0.500	1.000	2	 	1	1	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	18	1663962	Guck, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663962	N/A	3B	1	1	1	0.250	0.250	0.500	4	 	1	1	 	""	 	2	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	20	1663963	Resto, Frank	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663963	N/A	C	1	0	1	1.000	1.000	1.000	1	 	1	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	22	1663964	Dunn, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663964	N/A	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	4	1664106	Quincosa, Kristian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1664106	N/A	PH	1	0	1	""	1.000	""	 	 	 	 	 	""	 	 	1	 	 	1	 	 	 	 	 
2015	12080	3	4	Adrian	17	1321503	Schmidt, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321503	Sr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	36	1664109	Parsons, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1664109	N/A	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	6	1334709	Craig, Hayden	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1334709	Sr	INF	1	1	1	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	3	4	Adrian	34	1664107	Knaup, Cole	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1664107	N/A	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	41	1558661	Healy, Shane	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558661	So	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	4	Adrian	40	1558776	Frayer, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558776	Jr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	21	Alma	2	1551336	Carles, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1551336	Jr	OF	4	4	4	0.250	0.438	0.417	12	3	3	2	 	""	 	1	1	3	 	 	3	 	1	 	 
2015	12080	3	21	Alma	24	1316473	Leddy, Blake	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1316473	Sr	OF	4	4	4	0.333	0.429	0.417	12	2	4	1	 	""	 	 	2	 	 	 	5	1	 	 	 
2015	12080	3	21	Alma	8	1551335	Peczynski, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1551335	So	SS	4	4	4	0.200	0.250	0.200	15	2	3	 	 	""	 	2	1	 	 	 	1	 	1	 	 
2015	12080	3	21	Alma	18	1551337	Delrosa, Yoan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1551337	Sr	OF	4	4	4	0.400	0.625	0.400	10	2	4	 	 	""	 	3	6	 	 	 	1	 	2	1	 
2015	12080	3	21	Alma	6	1551338	Domingu, Juan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1551338	Sr	2B	4	4	4	0.250	0.400	0.250	12	3	3	 	 	""	 	3	2	1	 	 	4	 	 	 	 
2015	12080	3	21	Alma	12	1663781	Thoryk, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663781	N/A	3B	4	4	4	0.273	0.357	0.273	11	2	3	 	 	""	 	5	2	 	1	 	3	 	 	 	 
2015	12080	3	21	Alma	22	1664108	Corniel, Jose	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1664108	N/A	CF	3	3	3	0.182	0.182	0.182	11	1	2	 	 	""	 	 	 	 	 	 	5	 	 	 	 
2015	12080	3	21	Alma	11	1663780	San, Dayne	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663780	N/A	DH	3	3	3	0.000	0.444	0.000	5	2	 	 	 	""	 	 	3	1	 	 	1	 	 	 	 
2015	12080	3	21	Alma	15	1446940	Walters, Doug	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1446940	Jr	C	3	3	3	0.273	0.273	0.364	11	2	3	1	 	""	 	2	 	 	 	 	1	1	 	 	 
2015	12080	3	21	Alma	9	1663787	Minaudo, Matthew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1663787	N/A	2B	2	2	2	0.500	0.600	0.750	4	 	2	1	 	""	 	1	 	1	 	1	 	 	 	 	 
2015	12080	3	21	Alma	29	1559642	Soucy, Jean	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1559642	Sr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	21	Alma	27	1446651	Nash, Colin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1446651	Jr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	21	Alma	20	1558069	Finn, Pat	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1558069	So	2B	1	0	1	""	1.000	""	 	 	 	 	 	""	 	1	 	1	 	 	 	 	 	 	 
2015	12080	3	21	Alma	17	1316476	Stricler, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1316476	Sr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	21	Alma	25	1443449	Acton, A.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1443449	Jr	C	1	1	1	0.000	0.000	0.000	3	 	 	 	 	""	 	 	 	 	 	 	2	 	 	 	 
2015	12080	3	21	Alma	28	1446649	Jock, Philip	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1446649	Jr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	21	Alma	4	1552516	Valasek, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1552516	So	OF	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	4	1416672	Swiderski, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416672	Jr	C	4	3	4	0.333	0.375	0.533	15	2	5	3	 	""	 	5	1	 	 	 	2	 	 	 	 
2015	12080	3	40	Augustana (IL)	2	1304867	Jasper, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1304867	Sr	OF	4	4	4	0.471	0.550	0.588	17	3	8	2	 	""	 	1	3	 	 	1	1	 	2	 	 
2015	12080	3	40	Augustana (IL)	9	1304869	Lenihan, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1304869	Sr	INF	4	4	4	0.375	0.412	0.438	16	2	6	1	 	""	 	1	1	 	 	 	3	1	1	 	 
2015	12080	3	40	Augustana (IL)	21	1304873	Fifer, Danny	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1304873	Sr	OF	4	4	4	0.400	0.444	0.400	15	2	6	 	 	""	 	2	2	 	1	1	 	1	 	1	 
2015	12080	3	40	Augustana (IL)	5	1416632	Gingerich, Trace	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416632	Jr	INF	4	4	4	0.333	0.412	0.600	15	3	5	1	 	""	1	3	2	 	 	1	1	 	1	1	 
2015	12080	3	40	Augustana (IL)	3	1416649	Fluehr, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416649	Jr	INF	4	4	4	0.200	0.294	0.400	15	4	3	 	 	""	1	3	2	 	 	 	6	 	 	 	 
2015	12080	3	40	Augustana (IL)	28	1642642	Camalick, Jacques	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642642	Sr	OF	4	3	4	0.308	0.308	0.308	13	1	4	 	 	""	 	1	 	 	 	 	4	2	 	 	 
2015	12080	3	40	Augustana (IL)	18	1642647	Gray, Nathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642647	Jr	OF	4	4	4	0.118	0.211	0.353	17	4	2	1	 	""	1	4	2	 	 	2	1	2	 	 	 
2015	12080	3	40	Augustana (IL)	12	1642650	Kiriakopoulos, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642650	Fr	INF	4	4	4	0.385	0.429	0.538	13	1	5	2	 	""	 	 	1	 	 	 	3	1	 	 	 
2015	12080	3	40	Augustana (IL)	8	1529932	Ruh, Mitchel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1529932	So	C	3	1	3	0.667	0.750	1.000	3	1	2	1	 	""	 	 	1	 	 	 	1	 	 	 	 
2015	12080	3	40	Augustana (IL)	7	1416666	Prior, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416666	Jr	OF	3	1	3	0.600	0.600	0.600	5	3	3	 	 	""	 	3	 	 	 	 	1	 	1	 	 
2015	12080	3	40	Augustana (IL)	34	1529941	SantAmour, Cooper	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1529941	So	P	3	0	3	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	11	1416675	Townsend, Darwin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416675	Jr	P	2	0	2	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	1	1642656	Sagen, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642656	Fr	OF	1	0	1	0.000	0.000	0.000	1	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	40	1416668	Rammel, Jamie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416668	Jr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	43	1416670	Sauer, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416670	Jr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	15	1416677	White, Walter	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416677	Jr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	16	1529935	McGinley, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1529935	So	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	47	1529949	Refka, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1529949	So	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	23	1304874	Davis, Seth	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1304874	Sr	P	1	1	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	27	1642646	Elzinga, Gerrit	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642646	Fr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	25	1416640	Bialek, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416640	Jr	INF	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	24	1304875	Hodgman, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1304875	Sr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	40	Augustana (IL)	29	1642651	Loeffl, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642651	Fr	OF	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2015	12080	3	953	Austin	5	1436309	Halford, Jeremy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436309	Jr	P	3	3	3	0.333	0.385	0.333	12	3	4	 	 	""	 	 	 	1	 	1	4	 	1	 	 
2015	12080	3	953	Austin	9	1332306	Coughennower, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1332306	Sr	DH	3	3	3	0.111	0.200	0.111	9	 	1	 	 	""	 	 	1	 	 	1	1	 	 	 	 
2015	12080	3	953	Austin	34	1549736	Daniel, Gus	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1549736	So	C	3	3	3	0.333	0.429	0.583	12	1	4	3	 	""	 	4	 	2	 	 	2	1	 	 	 
2015	12080	3	953	Austin	19	1332307	Day, Dylan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1332307	Sr	INF	3	3	3	0.250	0.308	0.250	12	3	3	 	 	""	 	2	1	 	 	1	3	 	1	 	 
2015	12080	3	953	Austin	22	1332312	Takabuki, Todd	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1332312	Sr	1B	3	3	3	0.545	0.615	0.909	11	4	6	4	 	""	 	1	2	 	 	 	 	 	 	1	 
2015	12080	3	953	Austin	6	1332311	Schommer, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1332311	Sr	INF	3	3	3	0.400	0.417	0.400	10	 	4	 	 	""	 	4	 	1	1	 	 	 	1	1	 
