year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	31	1652725	Harris, Garrett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652725	Sr	P	26	1				0.00	13.3		11	0	0	9	15		70	56	1		1		1	2	0						17	15				4
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	29	1546815	Cooper, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546815	So	P	22	7				0.00	20.1		26	0	0	11	15		109	92	4			1	3	3							33	17				9
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	17	1438825	Holland, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1438825	Jr	P	21	0				0.00	13.9		10	0	0	6	9		62	50					3	3	1						19	13				4
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	17	1770940	Hernandez, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770940	Fr	P	20	5				0.00	13.0		14	0	0	6	14		63	53					1		0						17	10				2
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	16	1770939	Falwell, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770939	Jr	P	17	12				0.00	23.7		26	0	0	8	26		111	99	7	1			1	3	0						23	24				11
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	28	1770943	Worrell, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770943	Fr	P	16	9				0.00	9.8		10	0	0	7	8		53	43	2	1	1		2	2	0						18	7				1
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	20	1546833	Skapura, Devin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546833	Jr	P	14	12				0.00	23.6		34	0	0	7	17		111	101	5	2		2		1	0						23	28				12
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	45	1438823	D'Spain, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1438823	Sr	P	11	3				0.00	3.6		12	0	0	15	4		44	25				1	2	2							4	6				
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	34	1770945	Hanks, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1770945	Fr	P	10	2				0.00	2.6		6	0	0	3	1		21	18	1												4	7				1
2016	12360	1	vs_rhb	10559	26172	A&M-Corpus Chris	42	1652739	Cornish, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652739	Fr	P	9	0				0.00	3.5		5	0	0	3	4		24	18					2	1							4	6				
