year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	3	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1556318	Sr	SS	47	47	""	0.401	0.471	0.599	50	187	75	15	8	112	2	54	25	5	6	""	12	7	3	""	3	""
2017	12560	3	4	Adrian	21	1557011	Mikowski, Ian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1557011	Sr	OF	47	47	""	0.472	0.580	0.551	68	176	83	6	4	97	""	13	45	2	1	1	19	""	4	""	42	""
2017	12560	3	4	Adrian	20	1671139	Killinger, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1671139	Sr	INF	47	47	""	0.387	0.471	0.520	46	173	67	9	4	90	2	33	21	10	4	16	11	2	5	""	16	""
2017	12560	3	4	Adrian	10	1891432	Rainey, Gunner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891432	Fr	OF	47	47	""	0.319	0.380	0.361	30	166	53	7	""	60	""	24	13	4	1	6	13	7	2	""	""	""
2017	12560	3	4	Adrian	31	1557012	Drzewiecki, Miccoy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1557012	Sr	1B	45	42	""	0.308	0.389	0.552	26	143	44	6	1	79	9	42	16	3	""	""	33	2	""	""	3	""
2017	12560	3	4	Adrian	7	1663963	Resto, Frank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1663963	Jr	C	44	43	""	0.255	0.323	0.277	21	137	35	3	""	38	""	22	12	3	3	7	20	2	""	""	""	""
2017	12560	3	4	Adrian	16	1891438	Richardson, Tristin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891438	Fr	OF	43	42	""	0.381	0.464	0.475	30	139	53	3	2	66	2	30	22	2	3	3	31	2	1	""	8	""
2017	12560	3	4	Adrian	5	1891427	Hayes, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891427	Jr	INF	42	42	""	0.345	0.374	0.524	32	168	58	18	""	88	4	46	9	1	4	1	25	4	""	""	4	""
2017	12560	3	4	Adrian	1	1777571	Darnell, Dugan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777571	So	INF	40	37	""	0.278	0.378	0.361	33	133	37	1	2	48	2	29	15	7	1	5	19	3	2	""	5	""
2017	12560	3	4	Adrian	18	1663962	Guck, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1663962	Jr	3B	26	15	""	0.258	0.293	0.303	9	66	17	1	1	20	""	18	4	1	4	2	9	2	""	""	""	""
2017	12560	3	4	Adrian	3	1559643	Cararo, Dakota	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1559643	Sr	C	18	5	""	0.250	0.484	0.400	2	20	5	""	""	8	1	5	9	1	1	""	2	1	""	""	""	""
2017	12560	3	4	Adrian	39	1777576	Torrento, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777576	So	INF	16	2	""	0.273	0.385	0.455	7	11	3	""	1	5	""	2	2	""	""	1	6	""	""	""	1	""
2017	12560	3	4	Adrian	44	1780076	Shepherd, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1780076	Sr	P	14	4	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
