year	year_id	stat_category	year_stat_category_id	option_name	option_id
2016	12360	hitting	10946	with runrs	10540
2016	12360	hitting	10946	hits scorepos	10541
2016	12360	hitting	10946	vs LHP	10542
2016	12360	hitting	10946	vs RHP	10535
2016	12360	hitting	10946	leadoff pct	10536
2016	12360	hitting	10946	RBI3rd	10537
2016	12360	hitting	10946	H-Pinchit	10538
2016	12360	hitting	10946	Adv-Ops	10539
2016	12360	hitting	10946	with 2 outs	10534
2016	12360	hitting	10946	with runrs2	10546
2016	12360	hitting	10946	with scorepos2	10547
2016	12360	hitting	10946	bases empty	10548
2016	12360	hitting	10946	bases loaded	10549
2016	12360	pitching	10947	leadoff pct	10550
2016	12360	pitching	10947	runners	10551
2016	12360	pitching	10947	vs LHB	10552
2016	12360	pitching	10947	with 2Outs	10553
2016	12360	pitching	10947	emtpy	10554
2016	12360	pitching	10947	with scorepos	10555
2016	12360	pitching	10947	with scorepos2	10556
2016	12360	pitching	10947	with runners2	10557
2016	12360	pitching	10947	bases loaded	10558
2016	12360	pitching	10947	vs RHB	10559
