year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	30	Arkansas St.	-	Totals	-	-	-	-	 	 	3.35	153.0	137	68	57	50	133	1	646	574	25	2	9	6	6	10	 	 	 	9	3	 	146	154	 	 	 	46
2015	12080	30	Arkansas St.	-	Opponent Totals	-	-	-	-	 	 	4.32	152.0	147	90	73	59	119	1	671	566	37	2	7	16	1	25	1	 	 	14	7	 	152	152	 	 	 	34
2015	12080	725	Army	-	Totals	-	-	-	-	 	 	3.03	115.2	93	52	39	66	116	1	505	408	11	2	4	10	2	14	2	 	 	13	4	 	120	85	 	 	 	36
2015	12080	725	Army	-	Opponent Totals	-	-	-	-	 	 	4.45	115.1	113	75	57	53	92	1	533	440	26	2	5	18	3	22	1	 	 	15	3	 	135	102	 	 	 	33
2015	12080	37	Auburn	-	Totals	-	-	-	-	 	 	3.70	175.0	166	87	72	81	178	2	785	676	25	5	5	17	1	13	3	 	 	8	7	 	169	157	 	 	 	48
2015	12080	37	Auburn	-	Opponent Totals	-	-	-	-	 	 	5.07	168.2	188	109	95	81	118	1	780	652	38	6	9	17	2	24	5	 	 	14	9	 	189	163	 	 	 	28
2015	12080	43	Austin Peay	-	Totals	-	-	-	-	 	 	5.07	149.0	161	101	84	55	127	 	678	587	30	5	17	18	 	21	1	 	 	9	6	 	162	137	 	 	 	34
2015	12080	43	Austin Peay	-	Opponent Totals	-	-	-	-	 	 	5.47	148.0	175	115	90	69	150	1	697	591	49	6	7	20	4	17	1	 	 	15	5	 	136	135	 	 	 	46
2015	12080	77	BYU	-	Totals	-	-	-	-	 	 	4.90	182.0	199	111	99	84	139	1	834	696	38	7	7	14	4	28	3	 	 	16	10	 	191	182	 	 	 	33
2015	12080	77	BYU	-	Opponent Totals	-	-	-	-	 	 	4.30	184.1	200	107	88	68	131	1	817	703	36	4	7	17	1	18	2	 	 	19	9	 	206	171	 	 	 	40
2015	12080	94	Bakersfield	-	Totals	-	-	-	-	 	 	3.80	187.0	199	106	79	72	129	 	827	720	33	6	4	24	4	12	4	 	 	13	10	 	229	168	 	 	 	41
2015	12080	94	Bakersfield	-	Opponent Totals	-	-	-	-	 	 	4.16	184.0	182	114	85	84	172	3	841	717	25	8	7	18	2	20	2	 	 	13	7	 	201	156	 	 	 	51
2015	12080	47	Ball St.	-	Totals	-	-	-	-	 	 	4.32	170.2	169	94	82	84	152	1	781	658	13	7	10	29	3	21	2	 	 	11	7	 	150	188	 	 	 	40
2015	12080	47	Ball St.	-	Opponent Totals	-	-	-	-	 	 	5.09	168.0	185	117	95	56	126	1	759	667	39	6	12	14	1	20	1	 	 	9	7	 	180	169	 	 	 	49
2015	12080	51	Baylor	-	Totals	-	-	-	-	 	 	5.15	173.0	205	115	99	71	110	1	806	697	29	8	8	21	 	21	3	 	 	11	5	 	189	190	 	 	 	23
2015	12080	51	Baylor	-	Opponent Totals	-	-	-	-	 	 	3.31	176.2	162	79	65	62	169	1	749	660	34	5	4	21	 	11	2	 	 	7	9	 	157	176	 	 	 	60
2015	12080	14927	Belmont	-	Totals	-	-	-	-	 	 	4.26	150.0	163	88	71	44	152	 	676	591	29	5	10	17	4	22	1	 	 	11	8	 	161	113	 	 	 	57
2015	12080	14927	Belmont	-	Opponent Totals	-	-	-	-	 	 	6.16	146.0	157	121	100	81	116	 	694	567	47	8	17	15	6	26	1	 	 	9	9	 	144	154	 	 	 	41
2015	12080	61	Bethune-Cookman	-	Totals	-	-	-	-	 	 	5.87	204.0	228	173	133	115	161	1	979	798	41	11	9	27	4	35	1	 	 	18	13	 	217	192	 	 	 	44
2015	12080	61	Bethune-Cookman	-	Opponent Totals	-	-	-	-	 	 	3.56	205.0	203	117	81	80	157	5	932	793	37	4	4	16	1	28	1	 	 	22	9	 	246	181	 	 	 	46
2015	12080	62	Binghamton	-	Totals	-	-	-	-	 	 	7.05	97.0	128	91	76	47	63	 	479	405	29	8	5	7	3	19	4	 	 	3	5	 	92	115	 	 	 	24
2015	12080	62	Binghamton	-	Opponent Totals	-	-	-	-	 	 	3.98	104.0	104	64	46	43	97	1	468	405	21	7	2	9	 	12	1	 	 	4	4	 	109	90	 	 	 	35
2015	12080	67	Boston College	-	Totals	-	-	-	-	 	 	6.33	143.2	166	113	101	62	132	 	662	568	49	8	10	20	1	17	1	 	 	8	7	 	134	138	 	 	 	41
2015	12080	67	Boston College	-	Opponent Totals	-	-	-	-	 	 	4.03	152.0	148	77	68	67	123	2	664	590	25	4	6	22	2	3	5	 	 	1	3	 	169	144	 	 	 	49
2015	12080	71	Bowling Green	-	Totals	-	-	-	-	 	 	5.53	125.1	144	99	77	56	80	 	578	489	27	1	14	17	2	21	1	 	 	8	4	 	135	127	 	 	 	26
