year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	26172	A&M-Corpus Chris	13	1438799	Stephens, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438799	Sr	INF	58	57	58	0.276	0.314	0.347	239	33	66	13	2	""	 	32	6	8	2	4	26	7	11	1	 
2014	11620	26172	A&M-Corpus Chris	2	1314523	Lee, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314523	Jr	OF	57	56	57	0.309	0.367	0.404	230	43	71	8	4	93	2	29	23	1	5	2	18	4	18	7	 
2014	11620	26172	A&M-Corpus Chris	23	1546835	Ware, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546835	Jr	OF	57	56	57	0.287	0.386	0.416	209	34	60	6	6	87	3	33	23	13	4	3	41	5	7	1	 
2014	11620	26172	A&M-Corpus Chris	7	1438798	Vaughan, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438798	Sr	C	56	45	56	0.318	0.456	0.437	151	37	48	9	3	66	1	25	33	7	2	1	34	1	6	2	 
2014	11620	26172	A&M-Corpus Chris	12	1438801	Tierney, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438801	Sr	INF	56	55	56	0.341	0.433	0.463	214	36	73	13	2	99	3	32	21	15	2	1	18	5	5	2	 
2014	11620	26172	A&M-Corpus Chris	17	1314588	Danford, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314588	Jr	OF	53	53	53	0.289	0.357	0.338	204	25	59	7	 	""	1	35	19	4	3	2	36	8	12	5	 
2014	11620	26172	A&M-Corpus Chris	8	1546818	Gibson, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546818	Jr	SS	51	39	51	0.269	0.381	0.317	145	24	39	7	 	""	 	11	22	6	3	 	34	2	5	3	 
2014	11620	26172	A&M-Corpus Chris	4	1546816	Garza, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546816	Jr	SS	49	45	49	0.225	0.264	0.268	138	15	31	6	 	""	 	14	6	2	2	8	27	4	1	 	 
2014	11620	26172	A&M-Corpus Chris	24	1546831	Salas, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546831	Jr	1B	42	32	42	0.272	0.376	0.351	114	13	31	6	 	""	1	13	16	3	 	2	12	1	2	1	 
2014	11620	26172	A&M-Corpus Chris	10	1438811	Hubert, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438811	Sr	OF	41	19	41	0.256	0.337	0.317	82	20	21	5	 	""	 	4	4	6	 	4	24	2	3	1	 
2014	11620	26172	A&M-Corpus Chris	19	1438802	Lopez, Dominic	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438802	So	INF	40	17	40	0.187	0.244	0.240	75	6	14	1	 	""	1	15	6	 	1	 	13	6	 	 	 
2014	11620	26172	A&M-Corpus Chris	1	1314594	Dorris, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314594	Jr	P	33	0	33	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	18	1438813	Hardy, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438813	So	OF	33	15	33	0.290	0.308	0.306	62	5	18	1	 	""	 	6	2	 	1	 	8	2	2	1	 
2014	11620	26172	A&M-Corpus Chris	33	1546843	Landgrebe, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546843	Jr	P	32	2	32	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	21	1438826	Keith, Kaleb	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438826	So	P	27	1	27	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	44	1546837	Yates, Dawson	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546837	Fr	INF	26	11	26	0.245	0.315	0.265	49	7	12	1	 	""	 	7	5	 	 	 	15	1	1	 	 
2014	11620	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546820	Fr	C	24	13	24	0.143	0.211	0.143	35	 	5	 	 	""	 	 	3	 	 	 	5	2	 	1	 
2014	11620	26172	A&M-Corpus Chris	45	1438823	D'Spain, Dalton	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438823	So	P	21	6	21	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	42	1438800	Guilford, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438800	Fr	INF	19	2	19	0.154	0.312	0.154	13	4	2	 	 	""	 	4	3	 	 	 	7	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	14	1314576	Schnuriger, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314576	Jr	P	16	2	16	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	27	1546842	Flores, AJ	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546842	Jr	P	16	0	16	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	29	1546833	Skapura, Devin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546833	Fr	P	15	13	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	11	1314586	Danton, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314586	Jr	P	15	15	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	5	1314553	Belicek, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1314553	Jr	P	15	15	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	3	1546814	Burner, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546814	Fr	SS	13	7	13	0.158	0.360	0.211	19	3	3	1	 	""	 	 	6	 	 	 	1	1	 	 	 
2014	11620	26172	A&M-Corpus Chris	32	1438825	Holland, Nolan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438825	Fr	P	9	0	9	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	28	1546836	Williamson, Gavin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546836	Jr	P	6	4	6	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	22	1438810	Longoria, AJ	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438810	Sr	P	6	0	6	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	34	1546829	Jordan, Jared	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546829	Fr	P	5	0	5	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	26172	A&M-Corpus Chris	30	1438814	Casey, Thomas	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1438814	Jr	P	3	0	3	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	8	1311152	Eager, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1311152	Jr	1B	54	54	54	0.294	0.396	0.353	201	28	59	8	2	""	 	23	24	10	 	6	24	7	6	4	 
2014	11620	2	Abilene Christian	6	1420612	Spivey, Seth	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1420612	Sr	INF	52	52	52	0.337	0.432	0.502	205	44	69	13	3	103	5	31	21	14	1	 	26	7	10	4	 
2014	11620	2	Abilene Christian	7	1547027	Grudzielanek, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547027	Fr	OF	52	51	52	0.323	0.359	0.333	201	18	65	2	 	""	 	35	13	 	3	3	31	6	7	6	 
2014	11620	2	Abilene Christian	19	1547039	Buhner, Gunnar	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547039	Fr	INF	51	49	51	0.240	0.313	0.275	171	20	41	4	1	""	 	16	17	3	4	 	36	 	2	3	 
2014	11620	2	Abilene Christian	9	1547018	Draper, Aaron	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547018	Fr	INF	50	49	50	0.309	0.356	0.361	191	27	59	8	1	""	 	21	13	2	2	8	30	3	2	2	 
2014	11620	2	Abilene Christian	18	1547025	Hall, Colton	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547025	Jr	OF	44	43	44	0.265	0.385	0.333	132	23	35	5	2	""	 	14	23	4	2	8	36	1	4	4	 
2014	11620	2	Abilene Christian	20	1547048	Forrester, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547048	Jr	OF	43	32	43	0.192	0.263	0.232	125	16	24	5	 	""	 	5	8	4	 	8	22	3	7	4	 
2014	11620	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547029	Fr	P	42	36	42	0.223	0.301	0.339	121	16	27	5	 	""	3	18	10	4	1	 	34	1	5	 	 
2014	11620	2	Abilene Christian	12	1547030	Litterer, Emil	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547030	So	INF	32	26	32	0.254	0.286	0.307	114	12	29	6	 	""	 	9	4	1	 	1	15	 	3	2	 
2014	11620	2	Abilene Christian	29	1420632	Beasley, Heath	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1420632	So	OF	30	19	30	0.240	0.337	0.360	75	8	18	5	2	""	 	6	9	2	 	2	25	2	 	1	 
2014	11620	2	Abilene Christian	26	1420630	Palacios, Nicholas	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1420630	So	P	26	0	26	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	5	1420613	Giusti, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1420613	Sr	3B	26	24	26	0.333	0.434	0.429	84	19	28	3	1	36	1	19	13	5	4	1	17	2	5	 	 
2014	11620	2	Abilene Christian	33	1547059	Demeyere, Garrett	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547059	So	P	26	24	26	0.083	0.312	0.083	12	 	1	 	 	""	 	 	3	1	 	4	6	 	 	 	 
