year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	3	vs_lhp	10588	4	Adrian	2	1556318	Dorow, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1556318	Sr	SS	47	47		0.488	0.500	0.659	11	41	20	5	1	27		16	2		1				1			
2017	12560	3	vs_lhp	10588	4	Adrian	21	1557011	Mikowski, Ian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1557011	Sr	OF	47	47		0.415	0.489	0.488	12	41	17	1	1	20		1	6				5		1		2	
2017	12560	3	vs_lhp	10588	4	Adrian	20	1671139	Killinger, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1671139	Sr	INF	47	47		0.410	0.467	0.538	12	39	16	3	1	21		5	4	1	1		3		1			
2017	12560	3	vs_lhp	10588	4	Adrian	10	1891432	Rainey, Gunner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891432	Fr	OF	47	47		0.371	0.410	0.429	9	35	13	2		15		4	2	1	1	1	3					
2017	12560	3	vs_lhp	10588	4	Adrian	31	1557012	Drzewiecki, Miccoy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1557012	Sr	1B	45	42		0.423	0.531	0.769	7	26	11	3		20	2	11	5	1			5				1	
2017	12560	3	vs_lhp	10588	4	Adrian	7	1663963	Resto, Frank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1663963	Jr	C	44	43		0.219	0.265	0.250	5	32	7	1		8		4	2			2	3					
2017	12560	3	vs_lhp	10588	4	Adrian	16	1891438	Richardson, Tristin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891438	Fr	OF	43	42		0.360	0.448	0.480	7	25	9			12	1	4	4			1	7		1			
2017	12560	3	vs_lhp	10588	4	Adrian	5	1891427	Hayes, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891427	Jr	INF	42	42		0.447	0.462	0.605	5	38	17	6		23		11	1			1	6					
2017	12560	3	vs_lhp	10588	4	Adrian	1	1777571	Darnell, Dugan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777571	So	INF	40	37		0.360	0.407	0.400	4	25	9	1		10		6	1	1			4				1	
2017	12560	3	vs_lhp	10588	4	Adrian	18	1663962	Guck, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1663962	Jr	3B	26	15		0.316	0.375	0.316	2	19	6			6		4	2	1	2		1	1				
2017	12560	3	vs_lhp	10588	4	Adrian	3	1559643	Cararo, Dakota	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1559643	Sr	C	18	5		0.000	0.667	0.000	1	1	0			0		0	2									
2017	12560	3	vs_lhp	10588	4	Adrian	39	1777576	Torrento, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777576	So	INF	16	2					0	0	0			0		0				1						
2017	12560	3	vs_lhp	10588	4	Adrian	32	1777569	Croci, Jason	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777569	So	OF	14	4		0.250	0.222	0.250	1	8	2			2		1			1		2					
2017	12560	3	vs_lhp	10588	4	Adrian	11	1891439	Wood, Brady	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1891439	Fr	OF	9	1		0.000	0.000	0.000	0	1	0			0		1			1							
2017	12560	3	vs_lhp	10588	4	Adrian	9	1777568	Ajrouche, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1777568	Jr	1B	8	1		0.000	0.250	0.000	0	3	0			0		0	1			1						
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	32	1892333	Scully, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892333	Sr	RF	32	32		0.300	0.462	0.450	3	20	6			9	1	6	6				4		1		1	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	1	1780650	Harris, Tyriq	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1780650	So	OF	31	31		0.286	0.400	0.286	7	21	6			6		1	4				2				4	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	2	1892332	Warren, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892332	Fr	3B	31	30		0.174	0.310	0.217	4	23	4	1		5		1	5		1		7				1	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	11	1782391	Garcia, Roberto	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782391	Jr	INF	30	28		0.158	0.261	0.158	3	19	3			3		4	3		1		4				1	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	27	1782577	Browne, Mike	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782577	So	INF	28	23		0.300	0.364	0.500	1	10	3	2		5		2	1			1					1	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	25	1648503	Crocco, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1648503	Jr	INF	28	17		0.250	0.294	0.250	1	16	4			4		2	1				2					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	6	1892334	Clark, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892334	Fr	C	26	23		0.222	0.417	0.444	1	9	2	2		4		3	3				1					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	30	1782503	Olszyk, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782503	Sr	P	25	19		0.176	0.176	0.294	1	17	3	2		5		2					4					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	40	1895778	Bradley, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1895778	Fr	P	24	17		0.154	0.214	0.385	2	13	2	1	1	5		2	1				3					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	10	1782214	Nunez, Derwin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782214	So	P	23	9		0.400	0.571	0.400	1	5	2			2		2	2									
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	21	1782215	Rodriguez, Justen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782215	So	C	23	16		0.231	0.231	0.308	1	13	3	1		4		2					2					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	4	1892336	Kennedy, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892336	Fr	PR	20	10		0.333	0.429	0.333	2	6	2			2		0	1									
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	26	1648510	Therrien, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1648510	Jr	INF	19	6		0.000	0.200	0.000	0	4	0			0		0	1				1					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	18	1892337	Dumas, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892337	Fr	LF	19	19		0.545	0.615	1.000	3	11	6	2		11	1	3	2				2				1	
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	14	1892335	Tejero, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1892335	Fr	PH/C	17	4		0.000	0.000	0.000	2	6	0			0		0					2					
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	15	1782395	Gullo, Dean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1782395	So	P	13	6		0.000	0.500	0.000	0	1	0			0		0	1									
2017	12560	3	vs_lhp	10588	2798	Albertus Magnus	7	1895756	Masciantonio, Marc	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1895756	So	PH	6	1		0.000	0.500	0.000	1	1	0			0		0	1									
2017	12560	3	vs_lhp	10588	15	Albion	3	1866667	Spilko, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866667	Fr	INF	39	38		0.289	0.312	0.333	7	45	13	2		15		5	2		1		2		1			
2017	12560	3	vs_lhp	10588	15	Albion	19	1552063	Lindemann, Shane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1552063	Sr	OF	39	39		0.278	0.293	0.333	7	54	15	3		18		7	2		2		1				1	
2017	12560	3	vs_lhp	10588	15	Albion	4	1866668	Finney, Jordyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866668	Fr	C	39	37		0.261	0.277	0.391	10	46	12	3		18	1	9	1				5				4	
2017	12560	3	vs_lhp	10588	15	Albion	2	1761588	Turnbull, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761588	So	INF	39	39		0.383	0.463	0.596	12	47	18	4		28	2	7	5	2			4				3	
2017	12560	3	vs_lhp	10588	15	Albion	1	1659173	Dennis, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659173	Jr	INF	35	31		0.207	0.303	0.345	5	29	6	1		10	1	4	3	1			6				1	
2017	12560	3	vs_lhp	10588	15	Albion	8	1866670	Stesiak, Riley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866670	Fr	INF	35	33		0.263	0.356	0.447	6	38	10	4		17	1	9	4	2	1		14				5	
2017	12560	3	vs_lhp	10588	15	Albion	31	1659197	Williams, Ronnie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659197	Jr	C	34	33		0.233	0.281	0.300	2	30	7	2		9		4	1	1			3					
2017	12560	3	vs_lhp	10588	15	Albion	23	1659182	Wyman, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659182	Jr	P	31	31		0.233	0.352	0.372	9	43	10	1	1	16	1	9	8	1	2		9				3	
2017	12560	3	vs_lhp	10588	15	Albion	13	1659178	Priebe, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659178	Jr	INF	22	7		0.455	0.500	0.545	2	11	5	1		6		2	1				1					
2017	12560	3	vs_lhp	10588	15	Albion	37	1761597	Bottomley, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761597	So	OF	20	9		0.200	0.273	0.300	1	10	2	1		3		0	1			1	3					
2017	12560	3	vs_lhp	10588	15	Albion	18	1659180	Bowers, TJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659180	Jr	OF	20	14		0.357	0.357	0.500	4	14	5	2		7		1					1					
2017	12560	3	vs_lhp	10588	15	Albion	14	1761594	Green, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761594	So	OF	16	9		0.400	0.400	0.800	0	5	2	2		4		2					2					
2017	12560	3	vs_lhp	10588	15	Albion	20	1866673	Butler, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866673	Fr	OF	13	8		0.333	0.467	0.333	3	12	4			4		3	2	1			1				1	
2017	12560	3	vs_lhp	10588	15	Albion	33	1552087	Lasceski, Mitch	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1552087	Sr	OF	13	5		0.000	0.000	0.000	0	8	0			0		0					4					
2017	12560	3	vs_lhp	10588	15	Albion	11	1761592	Mehelich, Joey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761592	So	INF	11	4		0.000	0.000	0.000	0	5	0			0		0					3					
2017	12560	3	vs_lhp	10588	15	Albion	7	1761590	Bur, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761590	So	OF	8	7		0.200	0.333	0.300	2	10	2	1		3		0	2				3					
2017	12560	3	vs_lhp	10588	15	Albion	5	1894483	Fleming, J.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1894483	N/A	C	8	6		0.143	0.333	0.143	0	7	1			1		0	1	1			2					
2017	12560	3	vs_lhp	10588	15	Albion	41	1866669	Marino, Brendan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866669	Fr	INF	6	1		0.000	0.333	0.000	1	2	0			0		0	1				1					
2017	12560	3	vs_lhp	10588	15	Albion	34	1866678	Mark, Alec	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866678	Fr	OF	1	0		0.000	0.000	0.000	0	1	0			0		0					1					
2017	12560	3	vs_lhp	10588	16	Albright	4	1552729	Fretz, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1552729	Sr	INF	36	33		0.368	0.455	0.368	3	19	7			7		0	2	1			4				3	
