 game_pk | game_date  | pitch_type |       avg        |       avg        | count 
---------+------------+------------+------------------+------------------+-------
 526517  | 2017-11-01 | CU         | 74.2833333333333 | 2452.66666666667 |     6
 526517  | 2017-11-01 | FF         |  93.052380952381 | 2461.57142857143 |    21
 526517  | 2017-11-01 | FT         |             94.2 | 2463.33333333333 |     3
 526517  | 2017-11-01 | SL         |           88.675 | 2598.91666666667 |    12
 526515  | 2017-10-29 | CU         | 74.0666666666667 | 2453.83333333333 |    12
 526515  | 2017-10-29 | FF         | 92.9714285714286 | 2388.07142857143 |    42
 526515  | 2017-10-29 | FT         |             94.9 |             2425 |     1
 526515  | 2017-10-29 | SL         | 88.8717948717949 | 2575.58974358974 |    39
 526511  | 2017-10-24 | CU         | 74.2916666666667 | 2492.58333333333 |    12
 526511  | 2017-10-24 | FF         | 92.7093023255814 | 2454.95348837209 |    43
 526511  | 2017-10-24 | FT         |             94.6 |             2533 |     1
 526511  | 2017-10-24 | SL         | 89.0851851851852 | 2633.51851851852 |    27
 526508  | 2017-10-19 | CH         |             88.3 |             2316 |     1
 526508  | 2017-10-19 | CU         | 74.4294117647059 | 2481.17647058824 |    17
 526508  | 2017-10-19 | FF         | 93.1390243902439 | 2441.58536585366 |    41
 526508  | 2017-10-19 | FT         |             94.6 |           2475.6 |     5
 526508  | 2017-10-19 | SL         |           88.644 |           2583.6 |    25
 526504  | 2017-10-14 | CU         |            73.99 |           2457.7 |    10
 526504  | 2017-10-14 | FF         | 92.4672727272727 | 2422.03636363636 |    55
 526504  | 2017-10-14 | FT         |           94.475 |          2485.75 |     4
 526504  | 2017-10-14 | SL         | 89.4055555555555 | 2554.77777777778 |    18
 526487  | 2017-10-06 | CH         |             85.7 |             2349 |     2
 526487  | 2017-10-06 | CU         | 74.2133333333333 |           2459.6 |    15
 526487  | 2017-10-06 | FF         | 93.3090909090909 |          2446.75 |    44
 526487  | 2017-10-06 | FT         |             95.1 |             2526 |     1
 526487  | 2017-10-06 | SL         | 88.6394736842105 | 2576.86842105263 |    38
 492506  | 2017-09-30 | CU         | 74.5714285714286 | 2639.14285714286 |     7
 492506  | 2017-09-30 | FF         |        92.621875 |       2440.53125 |    32
 492506  | 2017-09-30 | SL         | 89.3722222222222 | 2645.77777777778 |    18
 492429  | 2017-09-24 | CH         | 86.0666666666667 | 2181.33333333333 |     3
 492429  | 2017-09-24 | CU         | 73.9588235294118 | 2447.82352941176 |    17
 492429  | 2017-09-24 | FF         | 92.6707317073171 |  2363.9756097561 |    41
 492429  | 2017-09-24 | SL         |        89.240625 |       2536.96875 |    32
 492343  | 2017-09-18 | CU         | 73.2941176470588 | 2367.17647058824 |    17
 492343  | 2017-09-18 | FF         | 92.5021276595744 | 2346.68085106383 |    47
 492343  | 2017-09-18 | SL         | 88.3818181818182 | 2503.63636363636 |    33
 492261  | 2017-09-12 | CU         | 73.8666666666667 |          2457.75 |    12
 492261  | 2017-09-12 | FF         | 92.8478260869565 | 2381.84782608696 |    46
 492261  | 2017-09-12 | FT         |             94.9 |             2435 |     1
 492261  | 2017-09-12 | SL         |          88.8125 |       2515.21875 |    32
 492196  | 2017-09-07 | CU         |            73.33 |             2330 |    10
 492196  | 2017-09-07 | FF         | 92.0454545454545 | 2334.54545454545 |    44
 492196  | 2017-09-07 | SL         |         87.81875 |        2487.8125 |    32
 491562  | 2017-07-23 | CU         |             71.7 |             2398 |     1
 491562  | 2017-07-23 | FF         |             92.3 |         2364.375 |     8
 491562  | 2017-07-23 | SL         | 88.4333333333333 |          2410.75 |    12
 491497  | 2017-07-18 | CU         |           73.015 |          2431.35 |    20
 491497  | 2017-07-18 | FF         |  92.602380952381 |  2369.2380952381 |    42
 491497  | 2017-07-18 | SL         | 88.1707317073171 | 2494.90243902439 |    41
 491426  | 2017-07-09 | CU         |         73.40625 |             2336 |    16
 491426  | 2017-07-09 | FF         | 92.5837209302325 | 2307.51162790698 |    43
 491426  | 2017-07-09 | SL         |          88.8375 |          2475.35 |    40
 491348  | 2017-07-04 | CH         |            86.95 |           2226.5 |     2
 491348  | 2017-07-04 | CU         | 73.4454545454546 | 2377.13636363636 |    22
 491348  | 2017-07-04 | FF         | 92.7395833333334 | 2331.72916666667 |    48
 491348  | 2017-07-04 | SL         | 88.3688888888889 | 2461.93333333333 |    45
 491284  | 2017-06-29 | CH         |             85.9 |             2212 |     1
 491284  | 2017-06-29 | CU         | 72.7478260869565 | 2318.17391304348 |    23
 491284  | 2017-06-29 | FF         | 92.1394736842105 | 2333.94736842105 |    38
 491284  | 2017-06-29 | SL         | 87.9838709677419 | 2467.22580645161 |    31
 491216  | 2017-06-24 | CH         |            87.25 |           2254.5 |     2
 491216  | 2017-06-24 | CU         |          73.2125 |         2253.875 |    16
 491216  | 2017-06-24 | FF         | 92.7382978723404 | 2322.36170212766 |    47
 491216  | 2017-06-24 | SL         |             87.7 | 2491.62857142857 |    35
 491150  | 2017-06-19 | CU         |            73.15 | 2321.38461538462 |    26
