1986	29	Paul Assenmacher*	http://www.baseball-reference.com/players/a/assenpa01.shtml	assenpa01	25	1	61	8	6	0	0	0	0	0	0	0	0	2	3	.000	.250	.000	.250	-26	0	0	0	0	0	0
1986	30	Keith Atherton	http://www.baseball-reference.com/players/a/atherke01.shtml	atherke01	27	4	202	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
1986	31	Wally Backman#	http://www.baseball-reference.com/players/b/backmwa01.shtml	backmwa01	26	7	572	2022	1775	272	506	77	13	6	125	86	38	194	243	.285	.355	.353	.708	100	627	30	2	42	9	6
1986	32	Scott Bailes*	http://www.baseball-reference.com/players/b/bailesc01.shtml	bailesc01	24	1	62	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0
1986	33	Mark Bailey#	http://www.baseball-reference.com/players/b/bailema01.shtml	bailema01	24	3	279	987	829	94	188	35	1	23	94	1	4	148	186	.227	.344	.355	.699	101	294	30	3	2	5	23
1986	34	Harold Baines*	http://www.baseball-reference.com/players/b/baineha01.shtml	baineha01	27	7	992	4077	3754	492	1077	182	38	140	589	29	18	263	539	.287	.331	.468	.799	116	1755	97	7	8	45	60
1986	35	Doug Bair	http://www.baseball-reference.com/players/b/bairdo01.shtml	bairdo01	36	11	497	48	45	2	4	0	0	1	4	0	0	0	19	.089	.089	.156	.244	-33	7	0	0	3	0	0
1986	36	Doug Baker#	http://www.baseball-reference.com/players/b/bakerdo01.shtml	bakerdo01	25	3	71	175	159	20	28	6	1	0	13	3	0	9	38	.176	.225	.226	.451	26	36	1	1	6	0	0
1986	37	Dusty Baker	http://www.baseball-reference.com/players/b/bakerdu01.shtml	bakerdu01	37	19	2039	8022	7117	964	1981	320	23	242	1013	137	73	762	926	.278	.347	.432	.779	116	3073	158	30	27	85	52
1986	38	Steve Balboni	http://www.baseball-reference.com/players/b/balbost01.shtml	balbost01	29	6	493	1929	1750	204	412	81	7	100	276	1	1	155	512	.235	.299	.461	.760	106	807	34	10	0	14	11
1986	39	Jay Baller	http://www.baseball-reference.com/players/b/balleja01.shtml	balleja01	25	3	60	16	13	0	0	0	0	0	0	0	0	0	7	.000	.071	.000	.071	-79	0	0	1	2	0	0
