1952,1,Bill Abernathie,/players/a/abernbi01.shtml,abernbi01,23,CLE,2.0,50%,10.0%,0.0%,10.0%,10.0%,25%,,0.50,80%,,,,4,0,0%
1952,2,Luis Aloma,/players/a/alomalu01.shtml,alomalu01,29,CHW,40.0,57%,3.0%,10.7%,6.5%,9.5%,38%,,0.80,76%,,,,34,3,9%
1952,3,James Atkins,/players/a/atkinja01.shtml,atkinja01,31,BOS,10.1,35%,0.0%,4.2%,14.6%,6.3%,27%,,0.71,79%,,,,15,0,0%
1952,4,George Bamberger,/players/b/bambege01.shtml,bambege01,28,NYG,4.0,83%,4.4%,0.0%,26.1%,4.4%,17%,,1.67,70%,,,,2,0,0%
1952,5,Gene Bearden*,/players/b/beardge01.shtml,beardge01,31,SLB,150.2,32%,1.9%,6.7%,11.5%,6.2%,27%,,1.29,78%,,,,100,16,16%
1952,6,Bill Bell,/players/b/bellbi01.shtml,bellbi01,18,PIT,15.2,51%,3.9%,5.2%,16.9%,6.5%,31%,,0.86,73%,,,,10,1,10%
1952,7,Al Benton,/players/b/bentoal01.shtml,bentoal01,41,BOS,37.2,53%,0.6%,12.7%,10.8%,3.8%,16%,,0.96,74%,,,,42,2,5%
1952,8,Vern Bickford,/players/b/bickfve01.shtml,bickfve01,31,BSN,161.1,53%,1.0%,9.0%,9.3%,5.2%,22%,,0.96,79%,,,,135,12,9%
1952,9,Charlie Bishop,/players/b/bishoch01.shtml,bishoch01,28,PHA,30.2,61%,1.4%,11.5%,16.2%,7.4%,38%,,0.69,70%,,,,42,1,2%
1952,10,Bud Black,/players/b/blackbu01.shtml,blackbu01,19,DET,8.0,57%,0.0%,0.0%,11.9%,4.8%,14%,,,86%,,,,4,0,0%
1952,11,Joe Black,/players/b/blackjo02.shtml,blackjo02,28,BRO,142.1,53%,1.6%,15.2%,7.3%,4.8%,27%,,0.80,74%,,,,96,9,9%
1952,12,Ewell Blackwell,/players/b/blackew01.shtml,blackew01,29,TOT,118.0,56%,1.1%,10.3%,13.5%,7.5%,34%,,1.17,72%,,,,124,11,9%
1952,13,Ewell Blackwell,/players/b/blackew01.shtml,blackew01,29,CIN,102.0,55%,1.3%,10.4%,13.0%,8.2%,36%,,1.10,72%,,,,101,9,9%
1952,14,Ewell Blackwell,/players/b/blackew01.shtml,blackew01,29,NYY,16.0,63%,0.0%,9.7%,16.7%,2.8%,17%,,1.67,72%,,,,23,2,9%
1952,15,Ed Blake,/players/b/blakeed01.shtml,blakeed01,26,CIN,3.0,50%,0.0%,0.0%,0.0%,8.3%,33%,,3.50,100%,,,,1,0,0%
1952,16,Dick Bokelmann,/players/b/bokeldi01.shtml,bokeldi01,25,STL,12.2,74%,0.0%,7.7%,10.8%,6.2%,20%,,1.33,78%,,,,12,0,0%
1952,17,Roger Bowman*,/players/b/bowmaro01.shtml,bowmaro01,24,NYG,3.0,39%,0.0%,16.7%,16.7%,0.0%,0%,,0.25,61%,,,,7,0,0%
1952,18,Cloyd Boyer,/players/b/boyercl01.shtml,boyercl01,24,STL,110.1,65%,2.3%,9.3%,9.9%,5.1%,22%,,0.74,77%,,,,71,6,8%
1952,19,Ralph Branca,/players/b/brancra01.shtml,brancra01,26,BRO,61.0,61%,3.2%,10.4%,8.4%,7.6%,37%,,0.95,76%,,,,51,8,16%
1952,20,Al Brazle*,/players/b/brazlal01.shtml,brazlal01,38,STL,109.1,30%,1.4%,12.7%,9.7%,3.2%,19%,,1.34,74%,,,,69,10,14%
1952,21,Harry Brecheen*,/players/b/brechha01.shtml,brechha01,37,STL,100.1,29%,2.9%,13.2%,6.9%,5.4%,27%,,1.32,74%,,,,63,9,14%
1952,22,Ralph Brickner,/players/b/brickra01.shtml,brickra01,27,BOS,33.0,52%,0.7%,6.7%,8.2%,5.2%,22%,,1.11,82%,,,,32,6,19%
1952,23,Lou Brissie*,/players/b/brisslo01.shtml,brisslo01,28,CLE,82.2,44%,1.4%,7.9%,9.6%,5.1%,27%,,1.27,78%,,,,78,5,6%
1952,24,Dick Brodowski,/players/b/brododi01.shtml,brododi01,19,BOS,114.2,49%,2.4%,8.4%,10.0%,5.4%,24%,,1.16,77%,,,,110,11,10%
1952,25,Hal Brown,/players/b/brownha01.shtml,brownha01,27,CHW,72.1,58%,2.6%,9.9%,6.7%,8.0%,31%,,0.80,80%,,,,60,4,7%
1952,26,Lew Burdette,/players/b/burdele01.shtml,burdele01,25,BSN,137.0,57%,1.4%,8.1%,8.1%,5.4%,23%,,1.63,80%,,,,107,15,14%
1952,27,Bud Byerly,/players/b/byerlbu01.shtml,byerlbu01,31,CIN,24.2,69%,0.0%,13.2%,6.6%,7.6%,28%,,1.64,78%,,,,15,1,7%
1952,28,Harry Byrd,/players/b/byrdha01.shtml,byrdha01,27,PHA,228.1,54%,1.2%,11.5%,9.7%,5.1%,21%,,0.89,76%,,,,179,15,8%
1952,29,Tommy Byrne*,/players/b/byrneto01.shtml,byrneto01,32,SLB,196.0,30%,1.8%,10.4%,12.8%,5.3%,25%,,0.77,72%,,,,169,15,9%
1952,30,Bob Cain*,/players/c/cainbo01.shtml,cainbo01,27,SLB,170.0,29%,2.1%,9.8%,8.7%,4.7%,20%,,0.87,77%,,,,93,13,14%
1952,31,Don Carlsen,/players/c/carlsdo01.shtml,carlsdo01,25,PIT,10.0,67%,1.9%,3.8%,9.4%,5.7%,15%,,0.88,85%,,,,9,1,11%
1952,32,Bob Chakales,/players/c/chakabo01.shtml,chakabo01,24,CLE,12.0,48%,3.5%,12.1%,13.8%,5.2%,16%,,1.25,69%,,,,17,5,29%
1952,33,Cliff Chambers*,/players/c/chambcl01.shtml,chambcl01,30,STL,98.1,29%,1.9%,11.0%,7.7%,4.9%,19%,,0.93,78%,,,,71,12,17%
1952,34,Bob Chipman*,/players/c/chipmbo01.shtml,chipmbo01,33,BSN,41.2,58%,2.9%,9.3%,11.6%,5.2%,32%,,1.20,74%,,,,29,3,10%
1952,35,Bubba Church,/players/c/churcbu01.shtml,churcbu01,27,TOT,158.1,58%,3.0%,7.3%,7.1%,7.7%,29%,,0.94,81%,,,,124,11,9%
1952,36,Bubba Church,/players/c/churcbu01.shtml,churcbu01,27,PHI,5.0,61%,0.0%,10.7%,3.6%,7.1%,18%,,1.20,75%,,,,6,0,0%
1952,37,Bubba Church,/players/c/churcbu01.shtml,churcbu01,27,CIN,153.1,58%,3.2%,7.1%,7.3%,7.7%,30%,,0.93,81%,,,,118,11,9%
1952,38,Mike Clark,/players/c/clarkmi01.shtml,clarkmi01,30,STL,25.1,66%,1.7%,8.3%,11.6%,7.4%,28%,,1.33,75%,,,,29,2,7%
