1998	31	Brad Ausmus	http://www.baseball-reference.com/players/a/ausmubr01.shtml	ausmubr01	29	128	466	408	59	107	10	4	6	43	10	3	51	60	.262	.348	.350	.698	49	128	128
1998	32	Steve Avery*	http://www.baseball-reference.com/players/a/averyst01.shtml	averyst01	28	39	1	1	2	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	39	39
1998	33	Manny Aybar	http://www.baseball-reference.com/players/a/aybarma01.shtml	aybarma01	26	20	28	27	4	6	0	0	1	3	0	0	0	9	.222	.222	.333	.556	2	20	20
1998	34	Carlos Baerga#	http://www.baseball-reference.com/players/b/baergca01.shtml	baergca01	29	147	545	506	43	131	26	1	7	50	0	1	23	55	.259	.295	.356	.651	52	147	147
1998	35	Jeff Bagwell	http://www.baseball-reference.com/players/b/bagweje01.shtml	bagweje01	30	147	651	534	117	158	32	1	33	104	18	7	105	90	.296	.415	.545	.960	119	147	147
1998	36	Harold Baines*	http://www.baseball-reference.com/players/b/baineha01.shtml	baineha01	39	104	323	289	37	84	16	0	9	53	0	0	31	40	.291	.359	.439	.799	45	104	104
1998	37	Paul Bako*	http://www.baseball-reference.com/players/b/bakopa01.shtml	bakopa01	26	96	327	300	21	78	11	1	3	27	1	1	22	82	.260	.307	.333	.640	31	96	96
1998	38	James Baldwin	http://www.baseball-reference.com/players/b/baldwja01.shtml	baldwja01	26	37	2	2	0	0	0	0	0	0	0		0	1	.000	.000	.000	.000	0	37	37
1998	39	Jeff Ball	http://www.baseball-reference.com/players/b/ballje01.shtml	ballje01	29	2	4	4	0	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	2	2
1998	40	Brian Banks#	http://www.baseball-reference.com/players/b/banksbr01.shtml	banksbr01	27	24	26	23	3	6	2	0	1	4	0	0	3	7	.261	.346	.478	.824	4	24	24
1998	41	Willie Banks	http://www.baseball-reference.com/players/b/bankswi01.shtml	bankswi01	29	42	1	1	0	0	0	0	0	0	0		0	1	.000	.000	.000	.000	0	42	42
1998	42	Michael Barrett	http://www.baseball-reference.com/players/b/barremi01.shtml	barremi01	21	8	26	22	3	6	2	0	1	2	0	0	3	6	.273	.385	.500	.885	4	8	8
1998	43	Jeff Barry#	http://www.baseball-reference.com/players/b/barryje01.shtml	barryje01	28	15	36	33	3	5	1	0	0	1	0	0	2	11	.152	.194	.182	.376	1	15	15
1998	44	Kimera Bartee#	http://www.baseball-reference.com/players/b/barteki01.shtml	barteki01	25	57	104	97	19	18	5	1	3	14	9	5	6	35	.186	.231	.351	.581	8	57	57
1998	45	Jason Bates#	http://www.baseball-reference.com/players/b/batesja01.shtml	batesja01	27	53	77	71	7	11	2	0	0	2	0	0	6	21	.155	.221	.183	.404	3	53	53
1998	46	Miguel Batista	http://www.baseball-reference.com/players/b/batismi01.shtml	batismi01	27	56	34	32	0	0	0	0	0	0	0		0	21	.000	.000	.000	.000	0	56	56
1998	47	Tony Batista	http://www.baseball-reference.com/players/b/batisto01.shtml	batisto01	24	106	313	289	42	76	15	1	17	38	1	1	17	52	.263	.307	.498	.805	44	106	106
1998	48	Justin Baughman	http://www.baseball-reference.com/players/b/baughju01.shtml	baughju01	23	63	208	193	22	47	8	1	1	18	9	4	6	36	.244	.266	.311	.577	16	63	63
1998	49	Danny Bautista	http://www.baseball-reference.com/players/b/bautida01.shtml	bautida01	26	82	155	143	16	35	11	0	3	16	1	0	7	21	.245	.276	.385	.661	15	82	82
1998	50	Trey Beamon*	http://www.baseball-reference.com/players/b/beamotr01.shtml	beamotr01	24	28	48	42	4	11	4	0	0	2	1	0	5	13	.262	.340	.357	.698	5	28	28
1998	51	Rod Beck	http://www.baseball-reference.com/players/b/beckro01.shtml	beckro01	29	81	1	1	0	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	81	81
1998	52	Rich Becker*	http://www.baseball-reference.com/players/b/beckeri01.shtml	beckeri01	26	128	256	211	34	40	5	2	6	19	5	1	41	76	.190	.327	.318	.644	21	128	128
1998	53	Matt Beech*	http://www.baseball-reference.com/players/b/beechma01.shtml	beechma01	26	21	40	34	3	6	0	0	0	3	0	0	0	10	.176	.176	.176	.353	1	21	21
1998	54	Tim Belcher	http://www.baseball-reference.com/players/b/belchti01.shtml	belchti01	36	34	6	5	0	0	0	0	0	0	0		0	2	.000	.000	.000	.000	0	34	34
1998	55	Stan Belinda	http://www.baseball-reference.com/players/b/belinst01.shtml	belinst01	31	40	1	1	0	0	0	0	0	0	0		0	1	.000	.000	.000	.000	0	40	40
