1991	24	Steve Avery*	http://www.baseball-reference.com/players/a/averyst01.shtml	averyst01	21	88	ATL	2	0	18%	34	1	0	100%	1	0	0	0	0	0	0	0	1	0	0	1	0	3	29%	5	5	0	0	0	0	2	0	2
1991	25	Oscar Azocar*	http://www.baseball-reference.com/players/a/azocaos01.shtml	azocaos01	26	60	SDP	1	0	29%	26	2	0	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	1	33%	2	2	0	0	0	0	4	2	2
1991	26	Wally Backman#	http://www.baseball-reference.com/players/b/backmwa01.shtml	backmwa01	31	220	PHI	3	0	26%	97	3	2	60%	3	2	0	0	0	0	2	0	1	0	0	1	0	3	32%	8	7	1	2	2	0	9	4	5
1991	27	Carlos Baerga#	http://www.baseball-reference.com/players/b/baergca01.shtml	baergca01	22	654	CLE	9	0	32%	279	3	2	60%	3	2	0	0	0	0	0	0	6	0	1	2	3	22	40%	47	35	12	18	12	6	21	4	16
1991	28	Jeff Bagwell	http://www.baseball-reference.com/players/b/bagweje01.shtml	bagweje01	23	650	HOU	8	0	27%	269	7	4	64%	7	4	0	0	0	0	0	0	5	0	2	1	2	23	43%	38	23	14	18	10	8	16	6	9
1991	29	Harold Baines*	http://www.baseball-reference.com/players/b/baineha01.shtml	baineha01	32	566	OAK	2	0	28%	236	0	1	0%	0	1	0	0	0	0	0	0	1	0	0	0	1	14	32%	31	24	7	11	9	2	21	9	11
1991	30	Jeff Banister	http://www.baseball-reference.com/players/b/banisje01.shtml	banisje01	27	1	PIT	0	0	0%	2	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
1991	31	Bret Barberie#	http://www.baseball-reference.com/players/b/barbebr01.shtml	barbebr01	23	162	MON	2	0	21%	83	0	0		0	0	0	0	0	0	0	0	4	0	2	0	2	2	17%	14	12	2	3	2	0	6	3	2
1991	32	Jesse Barfield	http://www.baseball-reference.com/players/b/barfije01.shtml	barfije01	31	321	NYY	1	0	24%	105	1	0	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	4	60%	14	7	7	2	1	1	9	2	7
1991	33	Brian Barnes*	http://www.baseball-reference.com/players/b/barnebr01.shtml	barnebr01	24	59	MON	0	0	9%	9	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	0	0	0	0	0	0	0	0
1991	34	Skeeter Barnes	http://www.baseball-reference.com/players/b/barnesk01.shtml	barnesk01	34	171	DET	3	0	35%	68	10	7	59%	6	2	4	4	0	1	0	0	2	0	1	1	0	10	47%	13	7	5	2	1	1	4	1	3
1991	35	Marty Barrett	http://www.baseball-reference.com/players/b/barrema02.shtml	barrema02	33	17	SDP	0	0	0%	5	0	0		0	0	0	0	0	0	0	0	1	0	0	0	1	0	0%	0	0	0	0	0	0	1	0	0
1991	36	Kevin Bass#	http://www.baseball-reference.com/players/b/basske01.shtml	basske01	32	406	SFG	5	0	29%	111	7	4	64%	6	3	1	1	0	0	0	0	3	0	0	2	1	8	26%	16	12	2	4	3	1	7	2	4
1991	37	Kim Batiste	http://www.baseball-reference.com/players/b/batiski01.shtml	batiski01	23	28	PHI	0	0	25%	8	0	1	0%	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0%	1	1	0	0	0	0	0	0	0
1991	38	Rod Beck	http://www.baseball-reference.com/players/b/beckro01.shtml	beckro01	22	2	SFG	0	0	0%	2	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
