1993	22	Billy Ashley	http://www.baseball-reference.com/players/a/ashlebi01.shtml	ashlebi01	22	39	LAD	39	28%	9	0	0	3	1	0	0	0.59	0	0	1	0	0	0	0	0	0	0		7	0	0%	5	0	0%	23	0	0%	2	0	0%	1	0	0%	0
1993	23	Paul Assenmacher*	http://www.baseball-reference.com/players/a/assenpa01.shtml	assenpa01	32	2	TOT	2	0%	1	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	24	Paul Assenmacher*	http://www.baseball-reference.com/players/a/assenpa01.shtml	assenpa01	32	2	CHC	2	0%	1	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	25	Pedro Astacio	http://www.baseball-reference.com/players/a/astacpe01.shtml	astacpe01	24	69	LAD	69	36%	10	2	1	0	0	0	0		0	0	1	0	0	0	0	0	9	7	78%	15	0	0%	18	2	11%	41	3	7%	1	0	0%	1	0	0%	0
1993	26	Rich Aude	http://www.baseball-reference.com/players/a/auderi01.shtml	auderi01	21	27	PIT	27	52%	3	0	0	6	1	0	1	1.32	0	0	2	0	0	0	0	0	0	0		6	0	0%	4	1	25%	22	5	23%	5	2	40%	0	0		0
1993	27	Brad Ausmus	http://www.baseball-reference.com/players/a/ausmubr01.shtml	ausmubr01	24	167	SDP	167	29%	41	6	3	0	0	0	0		5	0	3	4	1	4	1	0	2	0	0%	30	2	7%	12	4	33%	80	7	9%	2	1	50%	3	2	67%	0
1993	28	Steve Avery*	http://www.baseball-reference.com/players/a/averyst01.shtml	averyst01	23	85	ATL	85	62%	12	2	2	0	0	0	0		0	0	5	0	0	0	0	0	15	8	53%	23	1	4%	20	9	45%	66	6	9%	6	3	50%	8	3	38%	0
1993	29	Bobby Ayala	http://www.baseball-reference.com/players/a/ayalabo01.shtml	ayalabo01	23	23	CIN	23	22%	2	0	0	0	0	0	0		0	0	0	0	0	0	0	0	2	2	100%	2	0	0%	2	2	100%	5	1	20%	0	0		0	0		0
1993	30	Bob Ayrault	http://www.baseball-reference.com/players/a/ayraubo01.shtml	ayraubo01	27	2	TOT	2	50%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		1	0	0%	2	0	0%	1	0	0%	0	0		0
1993	31	Bob Ayrault	http://www.baseball-reference.com/players/a/ayraubo01.shtml	ayraubo01	27	2	PHI	2	50%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		1	0	0%	2	0	0%	1	0	0%	0	0		0
1993	32	Wally Backman#	http://www.baseball-reference.com/players/b/backmwa01.shtml	backmwa01	33	31	SEA	31	100%	4	0	0	1	0	0	0	4.45	0	0	3	0	0	0	0	0	1	1	100%	5	0	0%	3	1	33%	23	0	0%	0	0		2	1	50%	0
1993	33	Carlos Baerga#	http://www.baseball-reference.com/players/b/baergca01.shtml	baergca01	24	680	CLE	680	99%	200	32	7	1	0	0	0	1.41	21	1	9	15	6	8	13	0	9	3	33%	149	17	11%	74	34	46%	439	97	22%	64	42	66%	25	16	64%	0
1993	34	Kevin Baez	http://www.baseball-reference.com/players/b/baezke01.shtml	baezke01	26	143	NYM	143	38%	23	2	0	1	0	0	0	0.01	0	0	4	0	0	0	0	0	6	4	67%	19	1	5%	9	4	44%	68	7	10%	6	3	50%	6	2	33%	0
1993	35	Jeff Bagwell	http://www.baseball-reference.com/players/b/bagweje01.shtml	bagweje01	25	609	HOU	609	35%	171	12	0	2	1	0	2	1.10	20	0	12	10	10	9	11	0	1	0	0%	136	20	15%	55	23	42%	375	75	20%	46	28	61%	25	17	68%	0
1993	36	Harold Baines*	http://www.baseball-reference.com/players/b/baineha01.shtml	baineha01	34	480	BAL	480	78%	130	6	0	6	2	0	1	6.05	20	1	15	16	4	12	8	0	2	1	50%	90	14	16%	33	17	52%	317	63	20%	27	19	70%	16	13	81%	0
1993	37	Steve Balboni	http://www.baseball-reference.com/players/b/balbost01.shtml	balbost01	36	5	TEX	5	0%	3	0	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		1	0	0%	0	0		0	0		0
1993	38	Jeff Ballard*	http://www.baseball-reference.com/players/b/ballaje01.shtml	ballaje01	29	12	PIT	12	67%	4	0	0	0	0	0	0		0	0	1	0	0	0	0	0	1	1	100%	1	0	0%	2	1	50%	9	0	0%	0	0		1	1	100%	0
1993	39	Bret Barberie#	http://www.baseball-reference.com/players/b/barbebr01.shtml	barbebr01	25	424	FLA	424	100%	104	11	2	2	0	0	0	0.95	5	0	7	3	2	2	3	0	7	5	71%	67	7	10%	49	16	33%	230	31	13%	24	12	50%	20	14	70%	0
1993	40	Brian Barnes*	http://www.baseball-reference.com/players/b/barnebr01.shtml	barnebr01	26	23	MON	23	83%	3	0	0	1	0	0	0	0.00	0	0	1	0	0	0	0	0	4	2	50%	7	1	14%	8	0	0%	18	2	11%	0	0		0	0		0
1993	41	Skeeter Barnes	http://www.baseball-reference.com/players/b/barnesk01.shtml	barnesk01	36	180	DET	180	61%	45	6	0	17	6	0	5	1.21	2	0	10	1	1	2	0	0	5	4	80%	40	2	5%	18	10	56%	159	25	16%	18	13	72%	11	9	82%	0
1993	42	Kevin Bass#	http://www.baseball-reference.com/players/b/basske01.shtml	basske01	34	258	HOU	258	100%	65	4	0	52	14	0	5	1.39	3	0	4	1	2	2	1	0	2	2	100%	46	4	9%	14	5	36%	165	35	21%	16	10	63%	8	5	63%	0
1993	43	Rich Batchelor	http://www.baseball-reference.com/players/b/batchri01.shtml	batchri01	26	1	STL	1	0%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	44	Kim Batiste	http://www.baseball-reference.com/players/b/batiski01.shtml	batiski01	25	161	PHI	161	28%	44	8	0	0	0	0	0	0.01	5	1	7	1	4	1	4	0	0	0		27	3	11%	14	4	29%	110	24	22%	10	5	50%	5	2	40%	0
1993	45	Danny Bautista	http://www.baseball-reference.com/players/b/bautida01.shtml	bautida01	21	63	DET	63	29%	19	5	1	0	0	0	0		1	0	1	0	1	0	1	0	0	0		11	1	9%	6	2	33%	45	8	18%	4	2	50%	4	2	50%	0
1993	46	Jose Bautista	http://www.baseball-reference.com/players/b/bautijo01.shtml	bautijo01	28	23	CHC	23	26%	4	2	0	0	0	0	0		0	0	0	0	0	0	0	0	3	2	67%	3	0	0%	5	1	20%	10	1	10%	1	0	0%	1	1	100%	0
1993	47	Bill Bean*	http://www.baseball-reference.com/players/b/beanbi01.shtml	beanbi01	29	192	SDP	192	91%	46	4	0	27	6	0	8	1.63	5	1	7	5	0	4	1	0	2	2	100%	31	4	13%	22	9	41%	109	27	25%	12	8	67%	9	6	67%	0
1993	48	Rod Beck	http://www.baseball-reference.com/players/b/beckro01.shtml	beckro01	24	5	SFG	5	20%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	1	100%	2	0	0%	2	1	50%	4	0	0%	0	0		0	0		0
1993	49	Rich Becker*	http://www.baseball-reference.com/players/b/beckeri01.shtml	beckeri01	21	12	MIN	12	100%	2	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		2	0	0%	0	0		6	0	0%	0	0		0	0		0
1993	50	Steve Bedrosian	http://www.baseball-reference.com/players/b/bedrost01.shtml	bedrost01	35	2	ATL	2	0%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	51	Tim Belcher	http://www.baseball-reference.com/players/b/belchti01.shtml	belchti01	31	54	TOT	54	31%	10	0	0	0	0	0	0		0	0	2	0	0	0	0	0	5	3	60%	10	0	0%	9	3	33%	37	7	19%	4	2	50%	5	2	40%	0
1993	52	Tim Belcher	http://www.baseball-reference.com/players/b/belchti01.shtml	belchti01	31	54	CIN	54	31%	10	0	0	0	0	0	0		0	0	2	0	0	0	0	0	5	3	60%	10	0	0%	9	3	33%	37	7	19%	4	2	50%	5	2	40%	0
1993	53	Stan Belinda	http://www.baseball-reference.com/players/b/belinst01.shtml	belinst01	26	1	TOT	1	100%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	54	Stan Belinda	http://www.baseball-reference.com/players/b/belinst01.shtml	belinst01	26	1	PIT	1	100%	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0		0
1993	55	Derek Bell	http://www.baseball-reference.com/players/b/bellde01.shtml	bellde01	24	585	SDP	585	32%	142	29	1	8	0	0	0	1.27	21	0	16	10	11	12	9	0	2	0	0%	101	7	7%	50	14	28%	385	56	15%	35	14	40%	29	12	41%	0
1993	56	George Bell	http://www.baseball-reference.com/players/b/bellge02.shtml	bellge02	33	436	CHW	436	26%	89	5	0	0	0	0	0		13	1	13	10	3	7	6	0	0	0		90	14	16%	57	20	35%	316	52	16%	42	25	60%	22	12	55%	0
1993	57	Jay Bell	http://www.baseball-reference.com/players/b/bellja01.shtml	bellja01	27	701	PIT	701	33%	187	21	1	0	0	0	0		9	0	9	6	3	3	6	0	15	13	87%	120	16	13%	84	25	30%	343	46	13%	35	14	40%	26	14	54%	0
1993	58	Juan Bell	http://www.baseball-reference.com/players/b/bellju01.shtml	bellju01	25	400	TOT	400	52%	80	9	3	3	1	0	0	1.17	5	0	9	2	3	2	3	0	7	5	71%	80	4	5%	36	14	39%	240	32	13%	25	12	48%	15	8	53%	0
1993	59	Juan Bell	http://www.baseball-reference.com/players/b/bellju01.shtml	bellju01	25	73	PHI	73	100%	13	0	0	1	0	0	0	1.55	0	0	1	0	0	0	0	0	2	2	100%	10	0	0%	8	3	38%	42	7	17%	2	1	50%	4	4	100%	0
1993	60	Juan Bell	http://www.baseball-reference.com/players/b/bellju01.shtml	bellju01	25	327	MIL	327	41%	67	9	3	2	1	0	0	0.98	5	0	8	2	3	2	3	0	5	3	60%	70	4	6%	28	11	39%	198	25	13%	23	11	48%	11	4	36%	0
