1962,26,Ted Bowsfield*,/players/b/bowsfte01.shtml,bowsfte01,27,LAA,139.0,34,9,4,1,1,1,1,0,100%,3,2,11,6,55%,9,.959,6,2,1,4,2,3,6,3,3,6,3,1,3.9,
1962,27,Jim Brewer*,/players/b/breweji01.shtml,breweji01,24,CHC,5.2,6,5,2,0,1,0,0,0,,0,0,7,0,0%,8,1.144,2,0,2,0,2,3,3,2,0,1,1,0,2.4,
1962,28,Marshall Bridges*,/players/b/bridgma01.shtml,bridgma01,31,NYY,71.2,52,52,35,8,4,25,18,7,72%,27,0,51,19,37%,8,1.893,29,11,12,28,12,12,27,25,25,14,25,10,4.1,
1962,29,Ernie Broglio,/players/b/brogler01.shtml,brogler01,26,STL,222.1,34,4,3,1,1,1,0,1,0%,1,0,6,5,83%,9,1.107,2,1,1,2,0,2,3,1,2,1,2,0,11.0,
1962,30,Jim Brosnan,/players/b/brosnji01.shtml,brosnji01,32,CIN,64.2,48,48,34,4,4,18,13,5,72%,23,5,39,16,41%,8,1.496,21,10,16,23,4,21,21,27,22,14,23,6,4.0,
1962,31,Hal Brown,/players/b/brownha01.shtml,brownha01,37,TOT,92.1,24,12,5,2,2,2,1,1,50%,2,0,9,3,33%,,.857,2,6,3,2,0,10,5,7,11,1,11,0,6.9,
1962,32,Hal Brown,/players/b/brownha01.shtml,brownha01,37,BAL,85.2,22,11,4,2,2,2,1,1,50%,2,0,9,3,33%,6,.866,2,5,3,2,0,9,5,6,10,1,10,0,7.0,
1962,33,Hal Brown,/players/b/brownha01.shtml,brownha01,37,NYY,6.2,2,1,1,0,0,0,0,0,,0,0,0,0,,7,.763,0,1,0,0,0,1,0,1,1,0,1,0,6.0,
1962,34,Paul Brown,/players/b/brownpa01.shtml,brownpa01,21,PHI,63.2,23,14,4,0,0,1,1,0,100%,1,0,4,2,50%,6,.815,0,3,10,1,0,13,3,11,9,2,9,1,6.4,
1962,35,Bob Bruce,/players/b/brucebo01.shtml,brucebo01,29,HOU,175.0,32,5,0,1,0,0,0,0,,0,0,1,0,0%,7,.930,0,2,3,0,0,5,1,4,3,0,3,0,8.0,
1962,36,George Brunet*,/players/b/brunege01.shtml,brunege01,27,HOU,54.0,17,6,3,0,0,0,0,0,,1,1,3,0,0%,8,1.137,1,1,4,1,0,5,2,4,2,2,4,2,3.8,
1962,37,Bob Buhl,/players/b/buhlbo01.shtml,buhlbo01,33,TOT,214.0,35,4,3,0,0,0,0,0,,0,0,2,1,50%,,1.086,0,1,3,0,0,4,1,3,2,0,2,0,5.3,
1962,38,Bob Buhl,/players/b/buhlbo01.shtml,buhlbo01,33,CHC,212.0,34,4,3,0,0,0,0,0,,0,0,2,1,50%,9,1.087,0,1,3,0,0,4,1,3,2,0,2,0,5.3,
