1950	27	Gene Bearden*	http://www.baseball-reference.com/players/b/beardge01.shtml	beardge01	29	CLE	AL	14	15	13	2	2	1	1	0	0	0	0	2	2	.154	.267	.385	.651	68	5	0	0	0			1
1950	28	Gene Bearden*	http://www.baseball-reference.com/players/b/beardge01.shtml	beardge01	29	WSH	AL	14	26	22	1	5	1	0	0	0	0	0	3	2	.227	.320	.273	.593	56	6	2	0	1			1/3
1950	29	Wayne Belardi*	http://www.baseball-reference.com/players/b/belarwa01.shtml	belarwa01	19	BRO	NL	10	10	10	0	0	0	0	0	0	0		0	4	.000	.000	.000	.000	-100	0	1	0	0			/3
1950	30	Gus Bell*	http://www.baseball-reference.com/players/b/bellgu01.shtml	bellgu01	21	PIT	NL	111	455	422	62	119	22	11	8	53	4		28	46	.282	.333	.443	.776	100	187	4	4	2			*O9
1950	31	Al Benton	http://www.baseball-reference.com/players/b/bentoal01.shtml	bentoal01	39	CLE	AL	36	16	12	1	1	0	0	0	0	0	0	2	9	.083	.214	.083	.298	-20	1	0	0	2			1
1950	32	Johnny Berardino	http://www.baseball-reference.com/players/b/berarjo01.shtml	berarjo01	33	TOT	MLB	44	158	136	13	29	3	1	1	15	0	0	20	11	.213	.314	.272	.586	54	37	6	0	2			4/5
1950	33	Johnny Berardino	http://www.baseball-reference.com/players/b/berarjo01.shtml	berarjo01	33	CLE	AL	4	6	5	1	2	0	0	0	3	0	0	1	0	.400	.500	.400	.900	137	2	0	0	0			/45
1950	34	Johnny Berardino	http://www.baseball-reference.com/players/b/berarjo01.shtml	berarjo01	33	PIT	NL	40	152	131	12	27	3	1	1	12	0		19	11	.206	.307	.267	.574	51	35	6	0	2			4/5
1950	35	Yogi Berra*	http://www.baseball-reference.com/players/b/berrayo01.shtml	berrayo01	25	NYY	AL	151	656	597	116	192	30	6	28	124	4	2	55	12	.322	.383	.533	.915	135	318	11	4	0			*2
1950	36	Neil Berry	http://www.baseball-reference.com/players/b/berryne01.shtml	berryne01	28	DET	AL	39	47	40	9	10	1	0	0	7	0	0	6	11	.250	.348	.275	.623	59	11	0	0	1			6/45
1950	37	Vern Bickford	http://www.baseball-reference.com/players/b/bickfve01.shtml	bickfve01	29	BSN	NL	40	128	116	9	16	0	0	0	6	0		3	24	.138	.160	.138	.298	-19	16	0	0	9			1
1950	38	Steve Bilko	http://www.baseball-reference.com/players/b/bilkost01.shtml	bilkost01	21	STL	NL	10	37	33	1	6	1	0	0	2	0		4	10	.182	.270	.212	.482	27	7	1	0	0			/3
1950	39	Ewell Blackwell	http://www.baseball-reference.com/players/b/blackew01.shtml	blackew01	27	CIN	NL	40	101	89	7	13	1	0	0	5	0		5	9	.146	.191	.157	.349	-7	14	1	0	7			1
1950	40	Johnny Blatnik	http://www.baseball-reference.com/players/b/blatnjo01.shtml	blatnjo01	29	TOT	NL	11	29	24	0	4	0	0	0	1	0		5	5	.167	.310	.167	.477	28	4	1	0	0			/97
1950	41	Johnny Blatnik	http://www.baseball-reference.com/players/b/blatnjo01.shtml	blatnjo01	29	PHI	NL	4	6	4	0	1	0	0	0	0	0		2	3	.250	.500	.250	.750	106	1	0	0	0			/7O
1950	42	Johnny Blatnik	http://www.baseball-reference.com/players/b/blatnjo01.shtml	blatnjo01	29	STL	NL	7	23	20	0	3	0	0	0	1	0		3	2	.150	.261	.150	.411	9	3	1	0	0			/O97
