 round |   p   
-------+-------
 89    | 1.000
 90    | 1.000
 1     | 0.698
 3s    | 0.667
 1s    | 0.559
 88    | 0.500
 2     | 0.484
 2s    | 0.438
 3     | 0.384
 4     | 0.329
 5     | 0.307
 6     | 0.260
 75    | 0.250
 7     | 0.240
 70    | 0.200
 10    | 0.186
 8     | 0.184
 9     | 0.180
 11    | 0.173
 74    | 0.167
 71    | 0.143
 68    | 0.143
 12    | 0.140
 13    | 0.136
 54    | 0.133
 58    | 0.130
 62    | 0.125
 17    | 0.119
 16    | 0.118
 67    | 0.111
 15    | 0.109
 14    | 0.108
 18    | 0.106
 19    | 0.105
 20    | 0.103
 63    | 0.100
 53    | 0.089
 50    | 0.086
 21    | 0.085
 57    | 0.083
 55    | 0.081
 26    | 0.081
 25    | 0.079
 30    | 0.078
 24    | 0.077
 23    | 0.074
 34    | 0.071
 22    | 0.068
 33    | 0.066
 29    | 0.066
 38    | 0.066
 31    | 0.064
 43    | 0.061
 47    | 0.060
 27    | 0.059
 28    | 0.058
 32    | 0.058
 48    | 0.057
 42    | 0.056
 37    | 0.056
 36    | 0.056
 39    | 0.053
 44    | 0.049
 45    | 0.049
 41    | 0.041
 40    | 0.039
 35    | 0.037
 56    | 0.036
 60    | 0.034
 51    | 0.023
 49    | 0.020
 46    | 0.013
 92    | 0.000
 73    | 0.000
 52    | 0.000
 76    | 0.000
 81    | 0.000
 66    | 0.000
 85    | 0.000
 61    | 0.000
 87    | 0.000
 69    | 0.000
 79    | 0.000
 83    | 0.000
 86    | 0.000
 80    | 0.000
 91    | 0.000
 64    | 0.000
 72    | 0.000
 78    | 0.000
 65    | 0.000
 77    | 0.000
 59    | 0.000
 84    | 0.000
 82    | 0.000
 98    | 0.000
(96 rows)

