 round |   p   
-------+-------
 1     | 0.698
 3s    | 0.667
 1s    | 0.559
 2     | 0.484
 2s    | 0.438
 3     | 0.384
 4     | 0.329
 5     | 0.307
 6     | 0.260
 7     | 0.240
 10    | 0.186
 8     | 0.184
 9     | 0.180
 11    | 0.173
 12    | 0.140
 13    | 0.136
 17    | 0.119
 16    | 0.118
 15    | 0.109
 14    | 0.108
 18    | 0.106
 19    | 0.105
 20    | 0.103
 21    | 0.085
 26    | 0.081
 25    | 0.079
 30    | 0.078
 24    | 0.077
 23    | 0.074
 34    | 0.071
 22    | 0.068
 38    | 0.066
 29    | 0.066
 33    | 0.066
 31    | 0.064
 27    | 0.059
 28    | 0.058
 32    | 0.058
 36    | 0.056
 37    | 0.056
 39    | 0.053
 40    | 0.039
 35    | 0.037
(43 rows)

