 year | team_key | mlb |  n  
------+----------+-----+-----
 2008 | SDP      |  16 |  46
 1990 | NYY      |  16 |  74
 1988 | NYY      |  15 |  72
 1982 | NYM      |  14 |  29
 2005 | DET      |  14 |  49
 1990 | NYM      |  14 |  52
 2008 | BOS      |  14 |  52
 1987 | TEX      |  14 |  53
 1989 | CLE      |  14 |  54
 1993 | MIN      |  14 |  64
 2001 | CHC      |  13 |  50
 2004 | COL      |  13 |  50
 2005 | LAD      |  13 |  51
 2008 | CHC      |  13 |  51
 2002 | OAK      |  13 |  51
 1992 | PIT      |  13 |  52
 2007 | STL      |  13 |  52
 2008 | PHI      |  13 |  53
 2007 | TEX      |  13 |  54
 2006 | BOS      |  13 |  54
 2009 | ARI      |  13 |  55
 1996 | KCR      |  13 |  56
 1996 | SEA      |  13 |  62
 1987 | TOR      |  13 |  71
 1994 | LAD      |  13 |  77
 1994 | HOU      |  13 | 100
 1986 | NYY      |  12 |  29
 2007 | SDP      |  12 |  42
 2003 | STL      |  12 |  47
 1998 | COL      |  12 |  49
 2008 | TEX      |  12 |  50
 2008 | WSN      |  12 |  50
 2003 | TBD      |  12 |  50
 2002 | CHW      |  12 |  50
 2010 | FLA      |  12 |  50
 2003 | LAD      |  12 |  50
 2010 | CLE      |  12 |  50
 2001 | TBD      |  12 |  50
 2011 | NYM      |  12 |  51
 2007 | SFG      |  12 |  52
 2001 | ANA      |  12 |  52
 2009 | TOR      |  12 |  52
 2005 | BOS      |  12 |  53
 2006 | STL      |  12 |  53
 2000 | ATL      |  12 |  55
 1991 | TOR      |  12 |  61
 1990 | ATL      |  12 |  67
 1988 | TOR      |  12 |  73
 1987 | KCR      |  12 |  74
 1966 | CHW      |  11 |  41
 1986 | TOR      |  11 |  44
 2004 | OAK      |  11 |  44
 1972 | TEX      |  11 |  44
 2008 | LAD      |  11 |  45
 1982 | NYY      |  11 |  47
 2000 | TBD      |  11 |  47
 1989 | BAL      |  11 |  47
 2000 | WSN      |  11 |  49
 2006 | NYY      |  11 |  50
 1992 | STL      |  11 |  50
 2009 | CLE      |  11 |  50
 2005 | ANA      |  11 |  51
 2008 | NYY      |  11 |  51
 1987 | WSN      |  11 |  51
 2002 | COL      |  11 |  51
 2007 | ARI      |  11 |  52
 1990 | ANA      |  11 |  53
 2007 | CIN      |  11 |  53
 2003 | ATL      |  11 |  53
 1999 | CHW      |  11 |  54
 1999 | KCR      |  11 |  54
 1990 | OAK      |  11 |  54
 1990 | MIN      |  11 |  57
 1997 | NYM      |  11 |  58
 1990 | CHW      |  11 |  58
 1988 | LAD      |  11 |  61
 1987 | NYM      |  11 |  61
 1994 | STL      |  11 |  63
 1993 | DET      |  11 |  65
 1991 | STL      |  11 |  71
 1965 | HOU      |  11 |  73
 1994 | NYM      |  11 |  79
 1995 | FLA      |  11 |  86
 1997 | TBD      |  11 |  92
 1990 | HOU      |  11 | 100
 1978 | SDP      |  10 |  26
 1986 | PIT      |  10 |  34
 1986 | CIN      |  10 |  38
 1981 | NYY      |  10 |  39
 1983 | NYM      |  10 |  39
 1986 | CLE      |  10 |  40
 1995 | CIN      |  10 |  43
 1996 | BAL      |  10 |  46
 1988 | ANA      |  10 |  46
 1965 | OAK      |  10 |  48
 1987 | MIL      |  10 |  48
 1998 | CIN      |  10 |  48
 2000 | ARI      |  10 |  49
 2001 | PIT      |  10 |  49
 2001 | ARI      |  10 |  50
 1992 | ATL      |  10 |  50
 1992 | COL      |  10 |  50
 2002 | MIN      |  10 |  50
 2008 | ANA      |  10 |  50
 1992 | SEA      |  10 |  50
 2010 | NYY      |  10 |  50
 1992 | DET      |  10 |  50
 1993 | BOS      |  10 |  50
 1992 | BAL      |  10 |  50
 2000 | SFG      |  10 |  50
 2000 | CHC      |  10 |  51
 2006 | MIN      |  10 |  51
 1987 | LAD      |  10 |  51
 1965 | NYM      |  10 |  51
 2008 | STL      |  10 |  51
 2003 | SFG      |  10 |  52
 2005 | ATL      |  10 |  52
 2009 | SEA      |  10 |  52
 2006 | ARI      |  10 |  52
 1999 | TEX      |  10 |  53
 1990 | SDP      |  10 |  53
 2010 | TEX      |  10 |  53
 2001 | NYY      |  10 |  53
 1994 | PHI      |  10 |  53
 2006 | CLE      |  10 |  53
 1999 | BAL      |  10 |  53
 2011 | SDP      |  10 |  53
 1991 | CHW      |  10 |  54
 1987 | SEA      |  10 |  55
 1990 | TOR      |  10 |  56
 2010 | TOR      |  10 |  56
 1996 | CLE      |  10 |  58
 1991 | SDP      |  10 |  58
 1991 | OAK      |  10 |  58
 1989 | MIN      |  10 |  59
 1995 | DET      |  10 |  59
 1989 | NYY      |  10 |  60
 1990 | STL      |  10 |  61
 1991 | KCR      |  10 |  62
 1996 | ARI      |  10 |  62
 1991 | SEA      |  10 |  67
 1997 | NYY      |  10 |  69
 1994 | KCR      |  10 |  71
 1978 | NYY      |   9 |  25
 1981 | CLE      |   9 |  25
 1976 | DET      |   9 |  29
 1965 | CHC      |   9 |  30
 1986 | TEX      |   9 |  30
 1982 | TOR      |   9 |  32
 1982 | DET      |   9 |  33
 1974 | TEX      |   9 |  36
 1974 | ANA      |   9 |  37
 1980 | MIN      |   9 |  38
 1970 | ANA      |   9 |  39
 1990 | SFG      |   9 |  39
 1966 | SFG      |   9 |  40
 2012 | HOU      |   9 |  41
 2001 | OAK      |   9 |  41
 1980 | SFG      |   9 |  41
 1997 | TEX      |   9 |  42
 2012 | BOS      |   9 |  42
 1977 | STL      |   9 |  42
 1987 | MIN      |   9 |  42
 1997 | BAL      |   9 |  43
 1998 | SDP      |   9 |  43
 1986 | NYM      |   9 |  43
 1965 | DET      |   9 |  45
 1994 | ANA      |   9 |  45
 1990 | BAL      |   9 |  45
 1996 | BOS      |   9 |  45
 1996 | WSN      |   9 |  46
 1969 | MIL      |   9 |  46
 1997 | STL      |   9 |  46
 1998 | STL      |   9 |  47
 1995 | TEX      |   9 |  47
 2007 | BOS      |   9 |  47
 1997 | BOS      |   9 |  47
 2006 | SDP      |   9 |  47
 1998 | BOS      |   9 |  47
 2008 | CHW      |   9 |  49
 1993 | CHW      |   9 |  49
 1998 | ATL      |   9 |  49
 2005 | MIL      |   9 |  49
 2005 | CHW      |   9 |  49
 2003 | CHC      |   9 |  49
 2003 | PIT      |   9 |  50
 1993 | OAK      |   9 |  50
 2008 | OAK      |   9 |  50
 2002 | TBD      |   9 |  50
 2003 | WSN      |   9 |  50
 2008 | BAL      |   9 |  50
 2006 | CIN      |   9 |  50
 2002 | FLA      |   9 |  50
 2004 | TBD      |   9 |  50
 2003 | ANA      |   9 |  50
 1992 | WSN      |   9 |  50
 2009 | STL      |   9 |  50
 2008 | CLE      |   9 |  50
 2002 | SFG      |   9 |  50
 2006 | TBD      |   9 |  50
 2000 | COL      |   9 |  50
 2011 | MIL      |   9 |  51
 1999 | SEA      |   9 |  51
 1989 | ANA      |   9 |  51
 1992 | OAK      |   9 |  51
 2004 | TEX      |   9 |  51
 2009 | TEX      |   9 |  51
 2011 | TEX      |   9 |  51
 2011 | SFG      |   9 |  51
 2006 | FLA      |   9 |  52
 2008 | MIN      |   9 |  52
 2002 | LAD      |   9 |  52
 2005 | SDP      |   9 |  52
 2001 | SFG      |   9 |  52
 2004 | LAD      |   9 |  52
 2011 | BOS      |   9 |  53
 1987 | PIT      |   9 |  53
 2001 | ATL      |   9 |  53
 2009 | MIL      |   9 |  53
 1999 | BOS      |   9 |  53
 1987 | BAL      |   9 |  53
 1992 | KCR      |   9 |  53
 2004 | CHW      |   9 |  54
 2010 | TBD      |   9 |  54
 1996 | TEX      |   9 |  54
 2005 | MIN      |   9 |  54
 1991 | ANA      |   9 |  54
 2005 | FLA      |   9 |  55
 2011 | TOR      |   9 |  55
 1995 | CLE      |   9 |  55
 1994 | CHW      |   9 |  56
 1993 | ATL      |   9 |  56
 1996 | MIN      |   9 |  56
 1989 | DET      |   9 |  59
 1990 | CLE      |   9 |  60
 1990 | TEX      |   9 |  60
 1987 | CIN      |   9 |  61
 1988 | CHW      |   9 |  61
 1991 | CLE      |   9 |  62
 1991 | TEX      |   9 |  63
 1991 | DET      |   9 |  63
 1994 | CLE      |   9 |  64
 1993 | MIL      |   9 |  65
 1990 | WSN      |   9 |  71
 1990 | SEA      |   9 |  75
 1995 | SEA      |   9 |  77
 1989 | HOU      |   9 |  89
 1993 | FLA      |   9 |  91
 1996 | TBD      |   9 |  97
 1996 | NYY      |   9 | 100
 1991 | HOU      |   9 | 101
 1965 | ANA      |   8 |  21
 1984 | ANA      |   8 |  22
 1975 | ATL      |   8 |  23
 1984 | BOS      |   8 |  24
 1976 | SDP      |   8 |  26
 1979 | HOU      |   8 |  26
 1985 | ATL      |   8 |  28
 1975 | ANA      |   8 |  28
 1982 | BAL      |   8 |  29
 1973 | MIN      |   8 |  30
 1985 | OAK      |   8 |  30
 1987 | BOS      |   8 |  32
 1978 | DET      |   8 |  32
 1972 | DET      |   8 |  33
 1985 | CHC      |   8 |  33
 1985 | DET      |   8 |  33
 1986 | SFG      |   8 |  33
 1976 | ANA      |   8 |  34
 1982 | PHI      |   8 |  35
 1981 | KCR      |   8 |  35
 1985 | MIL      |   8 |  35
 1978 | OAK      |   8 |  36
 1981 | NYM      |   8 |  37
 1978 | CIN      |   8 |  37
 1975 | SFG      |   8 |  37
 1979 | TEX      |   8 |  38
 1979 | CHC      |   8 |  39
 1970 | WSN      |   8 |  39
 1965 | NYY      |   8 |  40
 1980 | NYM      |   8 |  40
 2005 | OAK      |   8 |  40
 1987 | CHW      |   8 |  40
 1978 | TEX      |   8 |  41
 1990 | PIT      |   8 |  41
 2003 | HOU      |   8 |  41
 1991 | BOS      |   8 |  42
 2012 | OAK      |   8 |  43
 1998 | OAK      |   8 |  43
 1989 | BOS      |   8 |  43
 1987 | CHC      |   8 |  43
 1999 | STL      |   8 |  43
 1997 | PIT      |   8 |  43
 1987 | DET      |   8 |  43
 2000 | HOU      |   8 |  43
 1998 | PHI      |   8 |  44
 1988 | SDP      |   8 |  44
 1986 | KCR      |   8 |  44
 1971 | SFG      |   8 |  44
 1993 | NYM      |   8 |  45
 1988 | BAL      |   8 |  46
 1979 | CIN      |   8 |  46
 1987 | HOU      |   8 |  46
 2007 | MIL      |   8 |  46
 1994 | BOS      |   8 |  46
 1995 | BOS      |   8 |  46
 1998 | TBD      |   8 |  47
 1968 | CLE      |   8 |  48
 2005 | SEA      |   8 |  48
 1991 | MIN      |   8 |  48
 2000 | CLE      |   8 |  48
 1986 | HOU      |   8 |  48
 2005 | WSN      |   8 |  48
 2005 | NYM      |   8 |  48
 2004 | SEA      |   8 |  48
 2001 | HOU      |   8 |  49
 2009 | KCR      |   8 |  49
 1984 | CLE      |   8 |  49
 2005 | PHI      |   8 |  49
 1997 | KCR      |   8 |  49
 1989 | PIT      |   8 |  49
 2009 | OAK      |   8 |  49
 2009 | NYY      |   8 |  49
 1988 | OAK      |   8 |  49
 2006 | NYM      |   8 |  49
 2005 | CIN      |   8 |  50
 2002 | TOR      |   8 |  50
 2000 | LAD      |   8 |  50
 2009 | BOS      |   8 |  50
 2003 | NYY      |   8 |  50
 1968 | BAL      |   8 |  50
 2008 | FLA      |   8 |  50
 2001 | STL      |   8 |  50
 2006 | SEA      |   8 |  50
 2010 | SFG      |   8 |  50
 1998 | NYM      |   8 |  50
 2008 | PIT      |   8 |  50
 1999 | MIN      |   8 |  50
 1992 | SFG      |   8 |  50
 2008 | SFG      |   8 |  50
 2011 | ATL      |   8 |  50
 2007 | NYY      |   8 |  50
 1992 | TEX      |   8 |  50
 1987 | PHI      |   8 |  50
 1995 | SFG      |   8 |  50
 1992 | CLE      |   8 |  50
 2004 | ARI      |   8 |  50
 2005 | TBD      |   8 |  50
 2006 | PIT      |   8 |  50
 1999 | TBD      |   8 |  50
 1967 | DET      |   8 |  51
 2010 | COL      |   8 |  51
 2011 | COL      |   8 |  51
 2010 | DET      |   8 |  51
 2005 | STL      |   8 |  51
 1992 | CIN      |   8 |  51
 2009 | PIT      |   8 |  51
 2003 | KCR      |   8 |  51
