 overall_pick |   p   
         1271 | 0.000
          938 | 0.000
         1050 | 0.000
         1063 | 0.000
         1023 | 0.000
         1140 | 0.000
         1591 | 0.000
         1518 | 0.000
         1312 | 0.000
         1513 | 0.000
         1571 | 0.000
         1194 | 0.000
         1428 | 0.000
         1588 | 0.000
         1690 | 0.000
         1322 | 0.000
          919 | 0.000
         1128 | 0.000
         1386 | 0.000
          687 | 0.000
         1342 | 0.000
         1344 | 0.000
         1418 | 0.000
         1301 | 0.000
         1407 | 0.000
         1213 | 0.000
         1738 | 0.000
         1341 | 0.000
         1270 | 0.000
          868 | 0.000
         1215 | 0.000
          730 | 0.000
         1223 | 0.000
         1232 | 0.000
         1500 | 0.000
         1358 | 0.000
         1276 | 0.000
         1595 | 0.000
         1082 | 0.000
         1258 | 0.000
         1501 | 0.000
         1432 | 0.000
          809 | 0.000
          865 | 0.000
         1359 | 0.000
          928 | 0.000
          728 | 0.000
         1449 | 0.000
         1233 | 0.000
          869 | 0.000
         1524 | 0.000
          837 | 0.000
         1265 | 0.000
         1018 | 0.000
         1599 | 0.000
         1517 | 0.000
         1091 | 0.000
          498 | 0.000
         1321 | 0.000
         1340 | 0.000
          979 | 0.000
          994 | 0.000
         1184 | 0.000
         1357 | 0.000
         1435 | 0.000
         1186 | 0.000
          692 | 0.000
         1387 | 0.000
         1292 | 0.000
          804 | 0.000
         1203 | 0.000
          818 | 0.000
         1602 | 0.000
         1613 | 0.000
          935 | 0.000
         1148 | 0.000
          603 | 0.000
         1506 | 0.000
         1378 | 0.000
         1536 | 0.000
         1001 | 0.000
          759 | 0.000
         1181 | 0.000
         1183 | 0.000
          941 | 0.000
          966 | 0.000
         1370 | 0.000
         1505 | 0.000
         1457 | 0.000
         1678 | 0.000
         1477 | 0.000
         1621 | 0.000
          736 | 0.000
         1549 | 0.000
         1533 | 0.000
         1626 | 0.000
          546 | 0.000
         1382 | 0.000
         1381 | 0.000
         1102 | 0.000
(1593 rows)

