 overall_pick |   p   
          889 | 0.000
         1343 | 0.000
         1491 | 0.000
         1484 | 0.000
         1460 | 0.000
         1211 | 0.000
         1355 | 0.000
         1242 | 0.000
          718 | 0.000
         1486 | 0.000
          609 | 0.000
         1236 | 0.000
          722 | 0.000
         1330 | 0.000
          896 | 0.000
          983 | 0.000
          822 | 0.000
         1516 | 0.000
         1106 | 0.000
          985 | 0.000
         1412 | 0.000
         1402 | 0.000
         1049 | 0.000
         1572 | 0.000
          930 | 0.000
          903 | 0.000
         1332 | 0.000
         1274 | 0.000
          855 | 0.000
         1443 | 0.000
          877 | 0.000
         1672 | 0.000
         1368 | 0.000
         1119 | 0.000
         1607 | 0.000
         1590 | 0.000
         1630 | 0.000
         1131 | 0.000
         1099 | 0.000
         1296 | 0.000
         1603 | 0.000
          871 | 0.000
         1551 | 0.000
         1224 | 0.000
         1529 | 0.000
         1133 | 0.000
         1422 | 0.000
         1631 | 0.000
          439 | 0.000
         1303 | 0.000
         1568 | 0.000
         1480 | 0.000
          515 | 0.000
         1372 | 0.000
          879 | 0.000
         1338 | 0.000
         1470 | 0.000
         1110 | 0.000
          977 | 0.000
          997 | 0.000
         1096 | 0.000
         1453 | 0.000
         1154 | 0.000
          986 | 0.000
         1376 | 0.000
         1346 | 0.000
         1306 | 0.000
         1141 | 0.000
         1429 | 0.000
         1067 | 0.000
          800 | 0.000
          891 | 0.000
          558 | 0.000
          885 | 0.000
         1670 | 0.000
         1385 | 0.000
         1414 | 0.000
         1647 | 0.000
         1463 | 0.000
          946 | 0.000
         1446 | 0.000
          835 | 0.000
          964 | 0.000
         1201 | 0.000
         1216 | 0.000
         1632 | 0.000
         1285 | 0.000
          970 | 0.000
         1458 | 0.000
         1066 | 0.000
          813 | 0.000
          819 | 0.000
         1247 | 0.000
         1325 | 0.000
         1132 | 0.000
         1164 | 0.000
         1374 | 0.000
         1528 | 0.000
          616 | 0.000
         1264 | 0.000
         1317 | 0.000
         1596 | 0.000
         1472 | 0.000
         1026 | 0.000
         1254 | 0.000
         1606 | 0.000
          629 | 0.000
         1287 | 0.000
         1025 | 0.000
         1366 | 0.000
         1507 | 0.000
          478 | 0.000
         1319 | 0.000
         1467 | 0.000
         1217 | 0.000
         1523 | 0.000
         1514 | 0.000
         1569 | 0.000
         1416 | 0.000
         1111 | 0.000
         1389 | 0.000
         1594 | 0.000
         1364 | 0.000
          648 | 0.000
         1112 | 0.000
         1117 | 0.000
         1090 | 0.000
         1380 | 0.000
          900 | 0.000
         1188 | 0.000
         1003 | 0.000
          861 | 0.000
          980 | 0.000
         1021 | 0.000
         1442 | 0.000
          812 | 0.000
         1320 | 0.000
         1204 | 0.000
         1214 | 0.000
          974 | 0.000
         1473 | 0.000
         1425 | 0.000
          839 | 0.000
         1065 | 0.000
         1408 | 0.000
          613 | 0.000
          650 | 0.000
          990 | 0.000
          936 | 0.000
         1166 | 0.000
          998 | 0.000
          754 | 0.000
         1097 | 0.000
         1582 | 0.000
         1295 | 0.000
         1352 | 0.000
         1144 | 0.000
         1260 | 0.000
          768 | 0.000
         1580 | 0.000
         1289 | 0.000
