 overall_pick |   p   | n  
--------------+-------+----
            1 | 0.833 | 42
            2 | 0.756 | 41
            4 | 0.667 | 42
            3 | 0.636 | 44
           11 | 0.558 | 43
           10 | 0.524 | 42
            6 | 0.512 | 43
           17 | 0.500 | 44
           14 | 0.500 | 42
           16 | 0.488 | 43
           22 | 0.476 | 42
           21 | 0.465 | 43
           30 | 0.463 | 41
            7 | 0.463 | 41
           19 | 0.455 | 44
           12 | 0.452 | 42
            5 | 0.450 | 40
            9 | 0.439 | 41
           13 | 0.419 | 43
           20 | 0.419 | 43
           25 | 0.405 | 42
           28 | 0.400 | 40
           29 | 0.385 | 39
           85 | 0.385 | 39
           46 | 0.385 | 39
           18 | 0.381 | 42
           35 | 0.375 | 40
           61 | 0.375 | 40
           32 | 0.375 | 40
           24 | 0.375 | 40
           27 | 0.372 | 43
           57 | 0.357 | 42
            8 | 0.357 | 42
           23 | 0.350 | 40
           37 | 0.350 | 40
           15 | 0.349 | 43
           49 | 0.343 | 35
           36 | 0.326 | 43
           38 | 0.317 | 41
           39 | 0.317 | 41
           69 | 0.316 | 38
           63 | 0.316 | 38
           67 | 0.308 | 39
           74 | 0.300 | 40
           54 | 0.286 | 42
           71 | 0.278 | 36
           34 | 0.275 | 40
           83 | 0.273 | 33
           96 | 0.270 | 37
           80 | 0.268 | 41
           56 | 0.268 | 41
           58 | 0.263 | 38
           72 | 0.262 | 42
           52 | 0.250 | 36
           59 | 0.250 | 36
           79 | 0.250 | 36
           26 | 0.244 | 41
           42 | 0.244 | 41
           53 | 0.244 | 41
           92 | 0.243 | 37
           44 | 0.243 | 37
           78 | 0.238 | 42
           43 | 0.237 | 38
           60 | 0.237 | 38
           47 | 0.233 | 43
           66 | 0.231 | 39
           86 | 0.225 | 40
           50 | 0.225 | 40
           70 | 0.225 | 40
           73 | 0.225 | 40
           97 | 0.222 | 36
           41 | 0.220 | 41
           75 | 0.220 | 41
          100 | 0.219 | 32
           94 | 0.211 | 38
           89 | 0.211 | 38
           48 | 0.211 | 38
           84 | 0.211 | 38
           98 | 0.205 | 39
           95 | 0.205 | 39
           93 | 0.200 | 35
           55 | 0.194 | 36
           62 | 0.194 | 36
           65 | 0.194 | 36
           99 | 0.189 | 37
           68 | 0.189 | 37
           33 | 0.184 | 38
           45 | 0.182 | 44
           64 | 0.179 | 39
           91 | 0.176 | 34
           82 | 0.171 | 41
           40 | 0.167 | 42
           51 | 0.167 | 36
           90 | 0.162 | 37
           31 | 0.154 | 39
           88 | 0.150 | 40
           81 | 0.140 | 43
           76 | 0.132 | 38
           77 | 0.128 | 39
           87 | 0.077 | 39
(100 rows)

