 year | team_key |           s           |         n         
 1994 | LAD      |                  24.5 |              47.2
 1974 | SFG      |                   8.6 |              31.2
 1985 | TOR      |                   0.4 |              22.9
 1970 | TEX      |                  14.7 |              37.1
 1989 | NYM      |                     4 |              26.3
 1984 | BOS      |                  15.7 |              37.9
 1992 | PHI      |                   2.9 |              24.9
 1987 | CHC      |                  12.7 |              34.5
 1996 | SEA      |                  14.7 |              36.5
 1997 | PHI      |                  23.8 |              45.3
 2004 | BAL      |                   3.4 |              24.6
 1976 | CHW      |                  13.1 |              34.3
 1998 | NYY      |                  -1.4 |              19.8
 1995 | CHW      |                    -3 |                18
 1991 | TEX      |                   9.4 |              30.1
 2004 | LAD      |                  11.3 |                32
 2008 | BOS      |                  -2.6 |                18
 1975 | OAK      |                  -0.4 |              20.2
 1965 | HOU      |                  -1.9 |              18.4
 1966 | MIN      |                  17.6 |              37.7
 1994 | CHW      |                     1 |                21
 1983 | NYY      |                   2.7 |              22.7
 2008 | MIN      |                   4.1 |              24.1
 1972 | BAL      |                   3.5 |              23.3
 1977 | SEA      |                  31.5 |              50.8
 1970 | ANA      |                     3 |              22.1
 1973 | MIN      |                  -4.3 |              14.6
 1968 | CLE      |                   7.8 |              26.5
 1992 | MIL      |                   8.8 |              27.2
 1974 | WSN      |                  -0.3 |                18
 1989 | NYY      |                  22.9 |              41.1
 1977 | BOS      |                  -1.1 |              16.4
 1995 | BOS      |                   1.3 |              18.8
 1981 | BAL      |                  -0.4 |              17.1
 1984 | NYM      |                     3 |              20.3
 1992 | ATL      |                   6.1 |              23.4
 1994 | ATL      |                  -2.5 |              14.6
 1991 | PHI      |                   5.9 |              22.8
 1972 | MIN      |                  10.6 |              27.4
 2001 | TBD      |                   1.4 |              18.1
 1967 | ANA      |                     0 |              16.6
 2003 | TBD      |                  11.8 |                28
 1983 | PHI      |                   4.5 |              20.5
 1974 | SDP      |                   4.6 |              20.6
 2000 | HOU      |                   5.8 |              21.7
 1973 | CIN      |                     0 |              15.4
 1979 | MIL      |                   1.6 |              16.9
 1992 | CHW      |                   8.6 |              23.4
 2003 | CHC      |                  10.3 |              25.1
 1966 | CHW      |                  10.1 |              24.9
 1975 | SFG      |                  -1.4 |              13.3
 1968 | NYM      |                  20.5 |              35.2
 1972 | CIN      |                     0 |              14.5
 2001 | ATL      |                  -1.6 |              12.7
 1998 | FLA      |                     0 |              14.1
 1995 | LAD      |                   6.6 |              20.4
 1973 | STL      |                   3.9 |              17.5
 1991 | PIT      |                   2.2 |              15.8
 1993 | FLA      |                  -1.4 |              12.1
 1971 | CHW      |                   1.5 |              14.9
 2000 | SEA      |                  -0.1 |              13.3
 2005 | TBD      |                  10.9 |              23.8
 1995 | BAL      |                   2.9 |              15.7
 1988 | CIN      |                     3 |              15.7
 2004 | CIN      |                   6.8 |              19.5
 1992 | MIN      |                   0.7 |              13.4
 1983 | WSN      |                   9.8 |              22.4
 1991 | HOU      |                   0.1 |              12.6
 2005 | SEA      |                   0.8 |              13.1
 2000 | MIN      |                   1.7 |              13.9
 1991 | ANA      |                   1.7 |              13.9
 1971 | CIN      |                   2.8 |                15
 2003 | HOU      |  2.77555756156289e-17 |              11.9
 1991 | MIL      |                  34.2 |              46.1
 1982 | DET      |                   0.2 |              12.1
 1994 | SFG      |                  33.1 |              44.7
 1989 | WSN      |                  11.3 |              22.6
 1977 | PIT      |                   2.6 |              13.8
 2004 | ATL      |                  -0.8 |              10.3
 1989 | SDP      |                  -1.6 |               9.5
 1988 | NYY      |                   7.7 |              18.7
 1986 | LAD      |                   7.2 |              18.1
 1980 | NYY      |                  -1.6 |               9.3
 1975 | KCR      |                     4 |              14.7
