 year | team_key |           s           |         n         
 1976 | PHI      |                  10.9 |                 0
 1969 | TEX      |                  21.3 |              10.4
 1979 | PIT      |                  16.2 |               5.2
 1997 | CHW      |                  11.6 |               0.6
 1997 | MIN      |                  24.7 |              13.6
 1998 | PIT      |                  10.6 |              -0.5
 2009 | KCR      |                  10.4 |              -0.8
 2010 | ANA      |                  11.5 |               0.3
 2007 | NYM      |                  11.3 |                 0
 1980 | DET      |                  12.4 |               1.1
 2008 | PHI      |                  12.9 |               1.6
 2007 | TEX      |                  16.9 |               5.5
 1998 | WSN      |                  11.5 |                 0
 1992 | BAL      |                  13.1 |               1.5
 1998 | SEA      |                  14.8 |               3.2
 1992 | TOR      |                  28.8 |              17.1
 1982 | CHC      |                  11.8 |               0.1
 1985 | STL      |                  10.8 |              -0.9
 2002 | PIT      |                  11.7 |                 0
 1970 | OAK      |                  11.7 |                 0
 1977 | OAK      |                  10.8 |              -0.9
 1995 | MIL      |                  20.6 |               8.8
 1981 | SFG      |                  11.8 |                 0
 1986 | MIN      |                  11.9 |                 0
 1980 | TEX      |                  11.9 |                 0
 1968 | CIN      |                  13.6 |               1.6
 1990 | PIT      |                  11.4 |              -0.7
 1972 | NYM      |                  11.8 |              -0.3
 1976 | TEX      |                  12.1 |                 0
 1994 | TEX      |                  12.1 |                 0
 2005 | OAK      |                  15.4 |               3.2
 2001 | BAL      |                  15.4 |               3.2
 1994 | CIN      |                  12.6 |               0.3
 1990 | DET      |                  12.5 |               0.1
 1997 | SEA      |                  11.9 |              -0.5
 1984 | MIL      |                  12.4 |                 0
 1984 | KCR      |                  12.4 |                 0
 1988 | BAL      |                  28.8 |              16.4
 2004 | PHI      |                  14.5 |                 2
 1989 | LAD      |                  26.6 |              14.1
 2008 | TEX      |                  20.8 |               8.3
 1966 | STL      |                   9.3 |              -3.3
 1971 | CLE      |                  14.3 |               1.6
 1984 | TEX      |                  12.9 |               0.2
 1993 | MIN      |                    50 |              37.3
 2003 | ARI      |                    13 |               0.1
 2006 | CHC      |                    13 |                 0
 1992 | HOU      |                    25 |              11.9
 1978 | SEA      |                  13.1 |                 0
 1991 | STL      |                  13.1 |                 0
 1970 | HOU      |                  12.8 |              -0.3
 1995 | NYM      |                  32.6 |              19.4
 1984 | DET      |                  13.2 |                 0
 1976 | SDP      |                  13.1 |              -0.1
 1976 | ANA      |                  15.1 |               1.9
 1976 | MIN      |                  12.9 |              -0.4
 2001 | CLE      |                  12.8 |              -0.6
 1974 | BAL      |                  13.4 |                 0
 1992 | WSN      |                  15.8 |               2.4
 1999 | NYM      |                  13.5 |                 0
 1977 | PHI      |                    13 |              -0.5
 2003 | ATL      |                    15 |               1.4
 1998 | ARI      |                  13.5 |              -0.1
 1969 | NYM      |                   7.4 |              -6.2
 1998 | SDP      |                  12.8 |              -0.9
 1969 | SFG      |                  12.3 |              -1.5
 1973 | NYM      |                  17.8 |                 4
 2008 | NYM      |                  13.8 |                 0
 1970 | SDP      |                  12.6 |              -1.3
 2003 | CLE      |                  13.9 |              -0.1
 2007 | ARI      |                  15.2 |               1.2
 2010 | FLA      |                    21 |                 7
 2010 | ARI      |                  14.1 |                 0
 1997 | SFG      |                  14.1 |                 0
 1977 | CIN      |                  14.1 |                 0
 1978 | CHW      |                  18.1 |               3.9
 1987 | MIL      |                  37.1 |              22.9
 2000 | MIL      |                  14.9 |               0.5
 1972 | SDP      |                    22 |               7.6
 1985 | LAD      |                  14.4 |                 0
 1981 | STL      |                  12.8 |              -1.7
 1995 | CLE      |                  13.9 |              -0.6
 1990 | NYM      |                    43 |              28.4
 1996 | PIT      |                  26.7 |                12
 1998 | TOR      |                  14.4 |              -0.5
 1982 | CHW      |                  15.1 |               0.1
 1965 | CLE      |                  14.6 |              -0.4
 1971 | SDP      |                    20 |               4.8
 1983 | TEX      |                  21.9 |               6.6
 1980 | ANA      |                  12.3 |                -3
 1984 | SDP      |                  21.8 |               6.3
 1983 | ATL      |                  37.8 |              22.2
 2002 | CHC      |                    16 |               0.4
 1999 | COL      |                  15.9 |               0.1
 1991 | DET      |                  15.4 |              -0.6
 2005 | NYM      |                  13.1 |              -2.9
 1971 | MIL      |                  15.3 |              -0.7
 2008 | KCR      |                    16 |                 0
 2006 | BOS      |                  34.3 |              18.2
 2005 | DET      |                  32.7 |              16.5
 1985 | NYM      |                  19.4 |               3.1
 1996 | CLE      |                  13.5 |              -2.9
 1984 | PHI      |                  16.4 |                 0
 1976 | MIL      |                  16.3 |              -0.1
 2004 | PIT      |                  19.4 |               2.9
 2000 | OAK      |                  16.6 |                 0
 1985 | PHI      |                    16 |              -0.6
 2003 | PIT      |                    18 |               1.1
 1980 | MIL      |                  17.1 |               0.2
 1995 | SEA      |                  30.7 |              13.7
 2000 | CHC      |                    17 |                 0
 1969 | KCR      |                  16.2 |              -0.9
 1996 | CHC      |                  17.1 |                 0
 1987 | LAD      |                  15.6 |              -1.5
 2000 | BOS      |                  19.4 |               2.2
 1992 | CLE      |                  14.4 |              -2.8
 2008 | DET      |                  17.3 |                 0
 1995 | STL      |                  25.2 |               7.9
 2005 | MIN      |                  24.9 |               7.6
 1980 | PIT      |                  17.4 |                 0
 2002 | CLE      |                  19.7 |               2.3
 1981 | TEX      |                  19.3 |               1.9
 1969 | LAD      |                  19.8 |               2.3
 1988 | PHI      |                  21.8 |               4.3
 1972 | PHI      |                  21.3 |               3.8
 2008 | PIT      |                  18.4 |               0.9
 1994 | KCR      |                  17.1 |              -0.5
 2006 | SFG      |                  17.7 |                 0
 1975 | ATL      |                  19.6 |               1.9
 1972 | CHC      |                  16.7 |              -1.2
 1993 | OAK      |                  17.4 |              -0.6
 1973 | PHI      |                  18.2 |                 0
 2005 | NYY      |                  54.7 |              36.5
 2001 | CHW      |                  17.4 |              -0.8
 1995 | OAK      |                  18.2 |                 0
 1991 | CHC      |                  40.8 |              22.5
 1967 | LAD      |                  17.8 |              -0.5
 2008 | STL      |                  18.4 |                 0
 1996 | ARI      |                    27 |               8.6
 1987 | OAK      |                  20.6 |               2.2
 1982 | SDP      |                  18.4 |                 0
 1980 | KCR      |                  18.5 |                 0
 1986 | CIN      |                  18.8 |               0.3
 1999 | MIN      |                  27.2 |               8.7
 1992 | SFG      |                  18.6 |                 0
 1992 | FLA      |                  18.7 |                 0
 2006 | KCR      |                  20.8 |                 2
 2007 | BOS      |                  28.5 |               9.7
 2003 | MIL      |                  18.9 |                 0
 2009 | CHC      |                  18.9 |                 0
 2004 | WSN      |                    19 |                 0
 1972 | NYY      |                  19.1 |                 0
 1990 | CLE      |                  17.9 |              -1.2
 1988 | SFG      |                  19.2 |                 0
 1993 | CLE      |                  27.7 |               8.4
 2004 | KCR      |                  19.8 |               0.5
 1981 | MIL      |                  18.5 |              -0.9
 2009 | TOR      |                  26.6 |                 7
 1992 | TEX      |                  39.4 |              19.7
 1991 | SDP      |                  19.1 |              -0.9
 1997 | STL      |                  29.4 |               9.4
 1971 | PIT      |                    20 |                 0
 2008 | ARI      |                  20.5 |               0.4
 1987 | NYY      |                  20.5 |               0.2
 1986 | CHC      |                  20.4 |                 0
 2006 | CLE      |                  19.6 |              -0.8
 1983 | PIT      |                  20.4 |              -0.2
 1965 | NYY      |                    21 |               0.3
 1984 | LAD      |                  23.7 |                 3
 1975 | PIT      |                  23.4 |               2.6
 2010 | TBD      |                  24.5 |               3.7
 2009 | WSN      |                  28.7 |               7.8
 2003 | OAK      |                    21 |               0.1
 1984 | SEA      |                  20.9 |                 0
 2007 | MIL      |                    21 |                 0
 1996 | FLA      |                  20.8 |              -0.3
 1998 | CHC      |                  21.2 |               0.1
 2009 | MIL      |                  20.5 |              -0.6
 1995 | MIN      |                  22.1 |               0.9
 1995 | PIT      |                  20.3 |              -0.9
 1996 | COL      |                  19.8 |              -1.4
 2003 | BAL      |                  29.4 |               8.2
 2004 | ARI      |                    26 |               4.7
 1974 | CHW      |                  21.5 |               0.2
 1995 | CIN      |                  26.3 |                 5
 1970 | CIN      |                  21.4 |                 0
 1976 | STL      |                  21.4 |                 0
 1996 | ATL      |                  36.1 |              14.4
 2000 | KCR      |                  21.6 |              -0.2
 1999 | DET      |                  21.8 |                 0
 1996 | CHW      |                  24.5 |               2.7
 1985 | OAK      |                  21.8 |              -0.1
 2009 | SFG      |                  21.9 |                 0
 1973 | KCR      |                  22.5 |               0.6
 1966 | CIN      |                  22.6 |               0.6
 2004 | MIN      |                  21.1 |              -0.9
 1995 | CHC      |                  34.7 |              12.6
 1978 | SDP      |                  25.9 |               3.8
 1995 | TEX      |                  26.7 |               4.6
 1985 | SDP      |                    22 |              -0.2
 1968 | CHC      |                  22.2 |                 0
 1966 | BOS      |                  18.5 |              -3.7
 1994 | MIL      |                  22.6 |               0.4
 2009 | CLE      |                  21.2 |              -1.1
 1994 | CLE      |                  22.4 |                 0
 2002 | FLA      |                  29.1 |               6.7
 2004 | TOR      |                  22.3 |              -0.2
 1976 | PIT      |                  22.1 |              -0.4
 1968 | PIT      |                  32.6 |                10
 2004 | TBD      |                  22.7 |              -0.1
 2009 | COL      |                  31.9 |                 9
 2000 | COL      |                  22.9 |                 0
 2001 | SDP      |                  22.5 |              -0.5
 1987 | ATL      |                  23.2 |                 0
 1991 | NYM      |                  23.1 |              -0.1
 1985 | KCR      |                  28.8 |               5.5
 1976 | WSN      |                  23.2 |              -0.1
 2007 | SDP      |                  25.4 |               2.1
 1999 | MIL      |                  23.5 |                 0
 1993 | COL      |                  23.1 |              -0.4
 1972 | DET      |                  23.4 |              -0.2
 1990 | TEX      |                  23.2 |              -0.4
 1967 | OAK      |                  45.5 |              21.8
 1995 | SFG      |                  37.9 |              14.2
 1968 | KCR      |                  24.2 |               0.5
 1986 | STL      |                  33.4 |               9.6
 1999 | ARI      |                  23.8 |                 0
 1992 | DET      |                  34.2 |              10.3
 2009 | MIN      |                  23.3 |              -0.7
 2007 | ATL      |                  59.7 |              35.6
 1988 | TOR      |                  47.1 |              22.8
 1997 | BOS      |                  20.9 |              -3.5
 1973 | CHC      |                  24.5 |                 0
 2004 | COL      |                  44.1 |              19.5
 1986 | SEA      |                  23.9 |              -0.8
 2008 | MIL      |                  23.5 |              -1.2
 1967 | HOU      |                  24.7 |                 0
 2004 | CHW      |                  24.8 |                 0
 1967 | PIT      |                  24.8 |                 0
 1968 | PHI      |                  26.1 |               1.3
 2009 | HOU      |                  30.1 |               5.3
 1968 | HOU      |                  25.1 |                 0
 1989 | CIN      |                  26.9 |               1.7
 1988 | ATL      |                  22.7 |              -2.5
 1986 | DET      |                  25.3 |                 0
 1972 | BOS      |                  32.5 |                 7
 2000 | TBD      |                  39.8 |              14.2
 1993 | MIL      |                  25.7 |              -0.1
 2006 | LAD      |                  60.5 |              34.6
 1980 | PHI      |                  23.1 |              -2.9
 1975 | LAD      |                  26.4 |               0.2
 1985 | MIL      |                  36.6 |              10.3
 1979 | SFG      |                  25.2 |              -1.2
 1975 | NYY      |                  27.2 |               0.7
 1978 | PIT      |                  26.6 |                 0
 1976 | CIN      |                  34.4 |               7.8
 2001 | MIL      |                  26.1 |              -0.5
 1986 | NYY      |                  28.8 |               2.2
 1999 | FLA      |                  40.8 |              14.1
 1973 | OAK      |                  53.7 |                27
 2010 | BAL      |                  27.2 |               0.4
 1992 | COL      |                  26.9 |                 0
 1995 | FLA      |                  28.1 |               1.2
 1987 | TOR      |                  36.7 |               9.7
 2005 | CIN      |                  31.6 |               4.3
 2009 | CIN      |                  26.7 |              -0.6
 1965 | PHI      |                  25.9 |              -1.6
 1994 | NYM      |                  28.4 |               0.8
 1972 | ANA      |                  27.6 |                 0
 2002 | NYM      |                  27.6 |                 0
 1994 | HOU      |                  27.2 |              -0.5
 1982 | BOS      |                  27.8 |                 0
 1978 | OAK      |                  27.7 |              -0.1
 2005 | BOS      |                    55 |              27.1
 1971 | LAD      |                    35 |               6.9
 1988 | SEA      |                  28.6 |               0.3
 1996 | WSN      |                  33.1 |               4.7
 1987 | WSN      |                  34.1 |               5.7
 1988 | CLE      |                  26.4 |              -2.1
 1998 | HOU      |                  28.5 |                 0
 1989 | BAL      |                  36.1 |               7.5
 1996 | NYY      |                  33.1 |               4.4
 1989 | ATL      |                  25.9 |              -2.9
 1993 | HOU      |                  28.5 |              -0.4
 2010 | NYM      |                  28.7 |              -0.2
 1999 | WSN      |                    29 |                 0
 1984 | HOU      |                  35.5 |               6.4
 2006 | NYM      |                  29.5 |               0.3
 2005 | ATL      |                  37.4 |               8.2
 1974 | PIT      |                  29.2 |              -0.1
 1988 | TEX      |                  28.9 |              -0.5
 2006 | CIN      |                  29.4 |                 0
 1975 | CHC      |                  29.6 |                 0
 1996 | LAD      |                  30.7 |               0.9
 1973 | NYY      |                  29.8 |                 0
 1991 | ATL      |                  29.5 |              -0.4
 1999 | PHI      |                  39.9 |                10
 1979 | CLE      |                  29.9 |                 0
 1998 | TBD      |                  29.9 |              -0.2
 2005 | STL      |                  29.5 |              -0.7
 1983 | CHW      |                  30.3 |                 0
 2006 | SDP      |                    28 |              -2.3
 2010 | WSN      |                  30.4 |                 0
 1981 | OAK      |                  50.3 |              19.8
 2001 | STL      |                  33.3 |               2.6
 1983 | MIL      |                  29.4 |              -1.3
 1981 | CHC      |                  30.7 |                 0
 1969 | MIL      |                  44.3 |              13.4
 1977 | ANA      |                  29.2 |              -1.8
 1972 | KCR      |                    31 |                 0
 1968 | SFG      |                  29.9 |              -1.1
 1987 | SFG      |                  31.1 |                 0
 2002 | CIN      |                  60.7 |              29.5
 2002 | BOS      |                  46.2 |              14.7
 1977 | STL      |                    34 |               2.5
 1976 | NYM      |                  31.7 |                 0
 2003 | SEA      |                  31.9 |              -0.1
 1987 | TEX      |                  31.1 |                -1
 1983 | OAK      |                  33.8 |               1.6
 1999 | LAD      |                  31.8 |              -0.4
 2001 | PHI      |                  30.9 |              -1.4
 1969 | PHI      |                  32.4 |                 0
 1978 | DET      |                  38.1 |               5.6
 1980 | MIN      |                  32.6 |               0.1
 1993 | TOR      |                  32.8 |               0.1
 1975 | WSN      |                  64.5 |              31.6
 2007 | WSN      |                  32.9 |                 0
 2005 | KCR      |                    33 |                 0
 1993 | SFG      |                  31.7 |              -1.4
 2009 | SEA      |                  31.4 |              -1.8
 1992 | SEA      |                  32.7 |              -0.5
 2007 | SFG      |                  31.9 |              -1.7
 1988 | SDP      |                  33.9 |               0.2
 1982 | ANA      |                  32.6 |              -1.2
 1972 | SFG      |                  36.6 |               2.8
 1969 | HOU      |                  34.1 |                 0
 2000 | STL      |                  34.3 |                 0
 1974 | LAD      |                  34.4 |                 0
 1977 | SFG      |                  39.6 |               5.2
 1987 | DET      |                    34 |              -0.5
 2007 | CIN      |                  37.7 |               3.2
 1986 | ANA      |                  34.9 |               0.1
 1987 | CHW      |                    35 |                 0
 2006 | TEX      |                  37.3 |               2.2
 2005 | ARI      |                  35.1 |                 0
 1986 | TOR      |                  37.7 |               2.6
 2005 | MIL      |                  61.9 |              26.7
 2002 | MIN      |                  46.6 |              11.3
 2001 | CHC      |                  47.7 |              12.4
 2000 | TEX      |                  34.1 |              -1.2
 1978 | LAD      |                  34.6 |              -0.7
 1977 | NYM      |                  36.5 |               0.9
 2007 | BAL      |                  35.8 |                 0
 1997 | COL      |                  39.3 |               3.4
 1999 | TEX      |                  46.7 |              10.7
 2010 | ATL      |                    36 |                 0
 1989 | ANA      |                  56.6 |              20.5
 1979 | TEX      |                  36.1 |                 0
 1986 | PIT      |                  42.2 |               5.9
 1965 | ANA      |                  37.1 |               0.7
 1983 | ANA      |                  38.3 |               1.8
 2002 | ATL      |                    36 |              -0.6
 1985 | CHW      |                  36.6 |                 0
 1984 | MIN      |                  38.5 |               1.7
 1999 | SDP      |                  37.9 |               1.1
 1998 | OAK      |                  36.1 |              -0.7
 2004 | OAK      |                  36.9 |                 0
 1993 | BOS      |                  37.6 |               0.7
 2003 | LAD      |                  46.5 |               9.6
 2003 | BOS      |                  37.1 |                 0
 1977 | TOR      |                  37.3 |                 0
 1979 | WSN      |                  38.5 |               0.8
 1967 | NYM      |                  37.7 |                 0
 1981 | CIN      |                  38.1 |               0.3
 1999 | KCR      |                  40.4 |               2.5
 1988 | WSN      |                  37.9 |                 0
 1978 | MIN      |                  38.2 |               0.3
 2006 | STL      |                    38 |              -0.2
 2007 | KCR      |                  38.4 |                 0
 1988 | PIT      |                  39.3 |               0.2
 1997 | CHC      |                  38.1 |              -1.2
 1978 | ATL      |                  39.4 |                 0
 1989 | HOU      |                  38.7 |              -0.8
 1976 | HOU      |                  39.6 |                 0
 2001 | MIN      |                  55.2 |              15.5
 1990 | WSN      |                  39.7 |                 0
 2007 | FLA      |                    36 |                -4
 2001 | BOS      |                  40.8 |               0.7
 1991 | BOS      |                  40.4 |                 0
 2005 | SDP      |                  45.3 |               4.8
 1999 | ANA      |                  40.6 |                 0
 1987 | STL      |                  41.5 |               0.9
 2006 | SEA      |                    41 |               0.3
 2002 | ANA      |                  41.6 |               0.8
 1979 | STL      |                  42.7 |               1.9
 1968 | NYY      |                  45.1 |               4.2
 1992 | PIT      |                  41.2 |               0.2
 1998 | DET      |                  41.4 |                 0
 1996 | OAK      |                  41.5 |                 0
 1983 | SFG      |                  41.6 |                 0
 1978 | CIN      |                  58.4 |              16.7
 1997 | HOU      |                  51.9 |              10.1
 2007 | CHC      |                  47.7 |               5.7
 1990 | MIN      |                  41.4 |              -0.8
 2003 | TOR      |                  42.2 |                 0
 1999 | OAK      |                  42.5 |                 0
 1982 | STL      |                  51.8 |               9.2
 1977 | CHW      |                  42.5 |              -0.2
 2001 | NYM      |                  50.7 |               7.9
 1986 | CLE      |                  41.9 |              -0.9
 2009 | STL      |                  42.8 |                 0
 2007 | TBD      |                  44.4 |               1.5
 1967 | MIN      |                  53.4 |              10.4
 2002 | SFG      |                  42.8 |              -0.2
 1994 | STL      |                  44.4 |                 1
 1984 | NYY      |                    44 |               0.5
 1995 | TOR      |                  68.1 |              24.5
 1980 | NYM      |                  43.7 |                 0
 1974 | MIL      |                    44 |                 0
 1973 | SFG      |                  46.8 |               2.4
 2005 | COL      |                  43.9 |              -0.5
 1999 | TOR      |                  44.8 |                 0
 2010 | CHW      |                  44.9 |                 0
 2005 | PIT      |                    45 |                 0
 1965 | BOS      |                  45.6 |                 0
 2003 | PHI      |                  42.8 |              -2.9
 1970 | PIT      |                  45.8 |               0.1
 1998 | CIN      |                  45.1 |              -0.6
 1988 | CHW      |                  57.4 |              11.6
 1990 | ANA      |                  45.1 |              -0.7
 1975 | ANA      |                  46.7 |               0.7
 1987 | CLE      |                  46.1 |                 0
 1986 | KCR      |                  47.6 |               1.4
 2004 | BOS      |                  53.9 |               7.5
 1983 | CIN      |                  46.4 |                 0
 1991 | TOR      |                  56.3 |               9.9
 1985 | TEX      |                  47.3 |               0.4
 1988 | BOS      |                    47 |                 0
 2002 | PHI      |                  50.3 |               3.2
 1994 | WSN      |                  47.5 |                 0
 1970 | MIL      |                  48.4 |               0.3
 1992 | OAK      |                  51.2 |               2.9
 2004 | MIL      |                  48.6 |               0.2
 2006 | ARI      |                  48.2 |              -0.4
 1988 | STL      |                  48.7 |                 0
 1994 | MIN      |                  59.4 |              10.6
 1982 | TEX      |                  67.9 |              19.1
 1986 | OAK      |                  48.9 |                 0
 2004 | ANA      |                    49 |               0.1
 1971 | NYY      |                  51.3 |               2.4
 1990 | SEA      |                  52.6 |               3.4
 1981 | MIN      |                  49.5 |               0.3
 1973 | BOS      |                  49.5 |                 0
 1974 | DET      |                  50.8 |               1.2
 1967 | ATL      |                  49.6 |                 0
 1971 | BOS      |                  49.6 |                 0
 1986 | SFG      |                  51.3 |               1.2
 2002 | DET      |                  50.5 |               0.1
 1965 | MIN      |                  66.8 |              15.8
 1993 | ATL      |                  52.1 |                 1
 1996 | PHI      |                  51.3 |                 0
 2000 | WSN      |                  96.3 |                45
 1997 | BAL      |                    50 |              -1.5
 1999 | BAL      |                  53.9 |               2.3
 1979 | ATL      |                  51.7 |                 0
 2004 | DET      |                  50.9 |                -1
 1997 | ANA      |                  51.9 |              -0.3
 1969 | CHC      |                  52.7 |               0.3
 1965 | PIT      |                  51.5 |                -1
 2000 | PIT      |                  68.4 |              15.7
 1998 | PHI      |                  52.9 |              -0.2
 2008 | SFG      |                  53.4 |                 0
 1987 | CIN      |                  51.7 |              -1.7
 1991 | CHW      |                  54.6 |               0.4
 1991 | KCR      |                  54.4 |                 0
 1993 | SDP      |                  59.5 |                 5
 1997 | OAK      |                    58 |               3.5
 1966 | PIT      |                  62.2 |               7.6
 1977 | LAD      |                  65.9 |              10.6
 2009 | ARI      |                  54.6 |              -0.7
 1972 | OAK      |                  55.3 |              -0.4
 1984 | STL      |                  55.7 |                 0
 2002 | KCR      |                  54.9 |                -1
 1979 | HOU      |                  56.1 |              -0.1
 1969 | CIN      |                  57.3 |               0.8
 1985 | ATL      |                  55.7 |                -1
 1982 | OAK      |                  56.7 |                 0
 1970 | STL      |                  56.7 |              -0.2
 2002 | LAD      |                  60.7 |               3.5
 1998 | COL      |                    70 |              12.3
 1995 | ANA      |                  60.1 |               1.3
 1994 | BOS      |                    59 |              -0.4
 1974 | PHI      |                  61.1 |               0.3
 1987 | HOU      |                  85.9 |              24.8
 1976 | DET      |                   137 |              75.8
 1972 | CLE      |                  74.7 |              13.2
 2000 | FLA      |                  61.7 |                 0
 2006 | NYY      |                  61.7 |              -0.4
 1998 | CLE      |                  62.6 |               0.1
 1995 | COL      |                    63 |                 0
 1999 | TBD      |                  70.4 |               7.4
 1973 | SDP      |                  63.6 |                 0
 1996 | TEX      |                  71.4 |               7.3
 1978 | PHI      |                  67.6 |               3.1
 1974 | ATL      |                  64.8 |                 0
 1981 | KCR      |                  98.5 |              33.5
 1967 | STL      |                  85.7 |              20.6
 1996 | HOU      |                    65 |              -0.2
 2005 | WSN      |                  63.7 |              -1.6
 1991 | WSN      |                  66.6 |               1.1
 1985 | DET      |                  68.6 |               2.6
 2006 | TBD      |                  71.1 |               5.1
 1981 | ANA      |                  66.1 |              -0.1
 1970 | CHC      |                  68.1 |               1.4
 1970 | CHW      |                  66.8 |                 0
 1991 | SEA      |                  66.7 |              -0.2
 1984 | OAK      |                  67.2 |              -0.1
 2000 | PHI      |                  67.3 |                 0
 1998 | STL      |                  66.8 |                -1
 1971 | ANA      |                    68 |                 0
 2009 | ANA      |                  68.4 |               0.4
 2001 | TEX      |                  68.5 |               0.4
 1988 | LAD      |                  69.2 |              -0.2
 1969 | CLE      |                  75.3 |               5.6
 1985 | CIN      |                  69.7 |                 0
 1987 | KCR      |                  73.9 |               4.1
 2000 | ATL      |                  75.2 |               4.9
 1980 | CIN      |                  70.6 |                 0
 1993 | PHI      |                  71.1 |                 0
 1979 | NYY      |                  71.2 |                 0
 1986 | MIL      |                  75.7 |               4.2
 1991 | MIN      |                  77.6 |               5.8
 1969 | MIN      |                  96.1 |              22.6
 1981 | LAD      |                  73.8 |                 0
 1995 | KCR      |                  74.3 |               0.5
 2004 | HOU      |                  75.5 |                 0
 1979 | LAD      |                  76.6 |                 0
 1973 | MIL      |                    77 |                 0
 1977 | SDP      |                  76.6 |              -0.7
 1990 | BAL      |                  86.7 |               8.9
 1997 | TOR      |                  88.3 |              10.4
 1989 | CHW      |                  78.2 |                 0
 1966 | OAK      |                  77.7 |              -0.6
 1992 | NYY      |                  79.1 |                 0
 1968 | LAD      |                  79.8 |              -0.1
 1984 | ATL      |                  81.2 |               0.1
 1985 | SFG      |                  82.8 |                 0
 1969 | BOS      |                  83.3 |                 0
 1985 | CHC      |                 113.3 |              29.4
 1998 | CHW      |                    89 |                 5
 1978 | TOR      |                  84.5 |                 0
 2003 | TEX      |                  85.6 |               0.5
 1992 | KCR      |                  85.7 |                 0
 1967 | BAL      |                  99.1 |              12.7
 1973 | BAL      |                  96.7 |               9.3
 1989 | BOS      |                 106.6 |              18.1
 1982 | TOR      |                 105.5 |              16.8
 1981 | NYY      |                  95.9 |               6.5
 1972 | WSN      |                  90.2 |               0.7
 1981 | SEA      |                  99.9 |               9.7
 1990 | CHW      |                  90.1 |              -1.1
 1966 | LAD      |                  96.6 |               3.8
 1971 | KCR      |                  94.7 |               1.6
 1975 | DET      |                  99.7 |               6.3
 1987 | SEA      |                    98 |               4.2
 1977 | MIL      |                  97.4 |               1.6
 1991 | CLE      |                 102.5 |               5.8
 1990 | ATL      |                  99.3 |               2.1
 1968 | BOS      |                  98.8 |                 0
 1981 | SDP      |                 100.7 |                 0
 1971 | STL      |                 103.7 |                 0
 1989 | TOR      |                 114.6 |                 8
 1972 | PIT      |                 107.6 |                 0
 1988 | ANA      |                 109.8 |              -0.1
 1986 | TEX      |                 110.6 |                 0
 1971 | PHI      |                 110.6 |                 0
 1989 | MIN      |                 107.8 |              -2.8
 1976 | OAK      |                   111 |                 0
 1993 | SEA      |                 116.8 |               2.5
 1965 | NYM      |                 117.4 |              -0.1
 1985 | WSN      |                 116.7 |              -0.9
 1977 | WSN      |                 119.7 |                 0
 1965 | CIN      |                 121.3 |               0.2
 1988 | HOU      |                 121.6 |              -0.3
 1990 | NYY      |                 130.6 |               2.8
 1978 | BAL      |                 128.4 |                 0
 1976 | BOS      |                 133.5 |                 0
 1983 | BOS      |                 139.2 |               5.2
 1999 | STL      |                 134.8 |                 0
 1965 | OAK      |                 141.2 |                 6
 1989 | CLE      |                 151.5 |               3.7
 1984 | CHC      |                 157.3 |              -0.6
 1985 | PIT      |                 162.7 |                 0
 1971 | BEN      |                       |                 0
 1970 | BEN      |                       |                 0
 1989 | BOI      |                       |                 0
 2010 | ATl      |                       |                 0
 1990 | ERI      |                       |                 0
 1968 | WSN      |                       |                 0
(1234 rows)

