        name         | cl |        team        |  s_p  |  s_o  | so  |  ip  | outs | so9  | bb9 | go_fo 
---------------------+----+--------------------+-------+-------+-----+------+------+------+-----+-------
 Hall, Matt          | Jr | Missouri St.       | 0.984 | 1.046 | 124 | 90.1 |  271 | 12.4 | 3.3 |  1.09
 Fulmer, Carson      | Jr | Vanderbilt         | 0.998 | 1.055 | 118 | 86.2 |  260 | 12.3 | 3.4 |  0.87
 Gillingham, Luke    | Jr | Navy               | 0.975 | 0.891 | 111 | 83.1 |  250 | 12.0 | 1.5 |  0.97
 Derby, Bubba        | Jr | San Diego St.      | 1.036 | 1.008 | 111 | 83.1 |  250 | 12.0 | 3.2 |  1.82
 Saldivar, Santos    | Sr | Southern U.        | 1.019 | 0.962 | 104 | 78.0 |  234 | 12.0 | 3.0 |  0.86
 Belicek, Trevor     | Sr | A&M-Corpus Chris   | 1.005 | 0.971 | 105 | 78.2 |  236 | 12.0 | 2.3 |  0.86
 Degano, Jeff        | Jr | Indiana St.        | 1.013 | 1.048 | 120 | 91.1 |  274 | 11.8 | 2.8 |  1.17
 Leftwich, Luke      | Jr | Wofford            | 1.024 | 0.975 | 101 | 77.2 |  233 | 11.7 | 2.7 |  1.29
 Rivera, Mariano     | Jr | Iona               | 0.984 | 0.941 | 101 | 78.1 |  235 | 11.6 | 2.6 |  1.02
 Reeves, James       | Jr | Citadel            | 1.000 | 1.014 |  99 | 77.2 |  233 | 11.5 | 2.4 |  0.83
 Clarke, Taylor      | Jr | Col. of Charleston | 1.025 | 1.014 | 117 | 92.2 |  278 | 11.4 | 1.3 |  0.70
 McKay, Brendan      | Fr | Louisville         | 1.000 | 1.049 |  88 | 71.0 |  213 | 11.2 | 3.5 |  0.86
 Fraudin, Matt       | Sr | Gardner-Webb       | 1.012 | 0.990 | 104 | 84.0 |  252 | 11.1 | 2.7 |  1.69
 Kmiec, Sam          | Jr | Winthrop           | 1.000 | 0.984 |  89 | 73.1 |  220 | 10.9 | 2.3 |  1.03
 Lauer, Eric         | So | Kent St.           | 1.006 | 0.985 |  90 | 74.2 |  224 | 10.8 | 2.4 |  1.16
