year,game_date,result,result_url
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lower Columbia 7 def Mt. Hood 3,http://www.nwaacc.org/baseball/gameinfo.php?id=3977
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Bellevue 5 def Lower Columbia 3,http://www.nwaacc.org/baseball/gameinfo.php?id=3978
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Bellevue 9 def Lane 0,http://www.nwaacc.org/baseball/gameinfo.php?id=3972
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lower Columbia 6 def Bellevue 5,http://www.nwaacc.org/baseball/gameinfo.php?id=3974
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Mt. Hood 2 def Lane 1,http://www.nwaacc.org/baseball/gameinfo.php?id=3975
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lane 4 def Columbia Basin 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3967
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Bellevue 3 def Lower Columbia 0,http://www.nwaacc.org/baseball/gameinfo.php?id=3969
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lower Columbia 10 def Pierce 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3970
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Mt. Hood 6 def Columbia Basin 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3971
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Pierce 7 def Everett 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3966
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Mt. Hood 7 def Yakima Valley 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3968
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lane 9 def Everett 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3901
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Columbia Basin 14 def Pierce 6,http://www.nwaacc.org/baseball/gameinfo.php?id=3902
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Bellevue 10 def Mt. Hood 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3903
2011,"2011 NWAACC Championship, Longview, WA.View Bracket",Lower Columbia 9 def Yakima Valley 3,http://www.nwaacc.org/baseball/gameinfo.php?id=3904
2011,2011-05-22,Everett 9 def Bellevue 5,http://www.nwaacc.org/baseball/gameinfo.php?id=3963
2011,2011-05-22,Yakima Valley 5 def Walla Walla 3,http://www.nwaacc.org/baseball/gameinfo.php?id=3964
2011,2011-05-22,Everett 6 def Bellevue 1,http://www.nwaacc.org/baseball/gameinfo.php?id=3965
2011,2011-05-21,Yakima Valley 6 def Treasure Valley 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3944
2011,2011-05-21,Yakima Valley 5 def Walla Walla 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3945
2011,2011-05-21,Lower Columbia 7 def Tacoma 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3954
2011,2011-05-21,Lower Columbia 4 def Tacoma 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3955
2011,2011-05-21,Everett 8 def Skagit Valley 4,http://www.nwaacc.org/baseball/gameinfo.php?id=3960
2011,2011-05-21,Bellevue 4 def Edmonds 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3961
2011,2011-05-21,Everett 7 def Edmonds 6,http://www.nwaacc.org/baseball/gameinfo.php?id=3962
2011,2011-05-20,Walla Walla 3 def Columbia Basin 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3940
2011,2011-05-20,Yakima Valley 8 def Treasure Valley 5,http://www.nwaacc.org/baseball/gameinfo.php?id=3941
2011,2011-05-20,Edmonds 6 def Everett 1,http://www.nwaacc.org/baseball/gameinfo.php?id=3951
2011,2011-05-20,Bellevue 11 def Skagit Valley 1,http://www.nwaacc.org/baseball/gameinfo.php?id=3952
2011,2011-05-20,Treasure Valley 9 def Columbia Basin 3,http://www.nwaacc.org/baseball/gameinfo.php?id=3957
2011,2011-05-20,Walla Walla 6 def Yakima Valley 2,http://www.nwaacc.org/baseball/gameinfo.php?id=3958
