year,game_date,result,result_url
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-25 :: View Bracket",Bellevue 7 def Columbia Basin 5,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2038
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-25 :: View Bracket",Bellevue 3 def Columbia Basin 0,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2039
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-24 :: View Bracket",Bellevue 5 def Mt. Hood 2,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2036
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-24 :: View Bracket",Columbia Basin 11 def Green River 3,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2037
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-23 :: View Bracket",Green River 4 def Skagit Valley 2,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2033
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-23 :: View Bracket",Mt. Hood 9 def Clackamas 1,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2034
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-23 :: View Bracket",Columbia Basin 6 def Bellevue 2,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2035
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-22 :: View Bracket",Green River 5 def Treasure Valley 1,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2029
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-22 :: View Bracket",Bellevue 10 def Mt. Hood 4,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2030
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-22 :: View Bracket",Clackamas 7 def Lower Columbia 5,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2031
2009,"2009 NWAACC Championship, Longview, WA.
	 2009-05-22 :: View Bracket",Columbia Basin 7 def Skagit Valley 6,http://www.nwaacc.org/baseball/archive/2009/gameinfo.php?id=2032
