year,game_date,result,result_url
2008,"2008 NWAACC Championship, Longview, WA.
	 2008-05-26 :: View Bracket",Edmonds 4 def Lower Columbia 3,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=922
2008,"2008 NWAACC Championship, Longview, WA.
	 2008-05-26 :: View Bracket",Edmonds 6 def Lower Columbia 4,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=923
2008,2008-05-25,Lower Columbia 11 def Columbia Basin 1,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=920
2008,2008-05-25,Edmonds 6 def Mt. Hood 1,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=921
2008,2008-05-24,Columbia Basin 4 def Linn-Benton 2,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=917
2008,2008-05-24,Edmonds 8 def Skagit Valley 7,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=918
2008,2008-05-24,Lower Columbia 8 def Mt. Hood 5,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=919
2008,2008-05-23,Mt. Hood 14 def Columbia Basin 3,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=913
2008,2008-05-23,Skagit Valley 9 def Pierce 3,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=914
2008,2008-05-23,Linn-Benton 4 def Wenatchee Valley 2,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=915
2008,2008-05-23,Lower Columbia 5 def Edmonds 1,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=916
2008,2008-05-22,Mt. Hood 7 def Skagit Valley 6,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=852
2008,2008-05-22,Edmonds 6 def Linn-Benton 4,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=853
2008,2008-05-22,Columbia Basin 11 def Pierce 3,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=854
2008,2008-05-22,Lower Columbia 3 def Wenatchee Valley 2,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=855
2008,2008-05-18,Pierce 9 def Tacoma 8,http://www.nwaacc.org/baseball/archive/2008/gameinfo.php?id=912
